Player,REB,AST,STL,BLK,TOV,PF,PTS,Salary
Antonio Blakeney,1.9,0.7,0.2,0.2,0.6,0.7,7.3,1349383
Armoni Brooks,1.9,1.1,0.5,0.2,0.5,1.4,5.3,1910221
Aron Baynes,4.7,1.1,0.2,0.7,0.8,2.5,5.6,5193600
Aron Baynes,5.6,1.6,0.2,0.5,1.2,3.4,11.5,5453280
Aron Baynes,5.2,0.9,0.3,0.4,0.9,2.2,6.1,7000000
Austin Reaves,3.2,1.8,0.5,0.3,0.7,1.4,7.3,925258
Austin Reaves,3,3.4,0.5,0.3,1.5,1.7,13,1563518
Austin Rivers,2.1,2.2,0.6,0.3,0.9,2.7,8.1,13155323
Austin Rivers,2.6,1.7,0.7,0.1,0.7,1.9,8.8,2174318
Austin Rivers,2.3,2.3,0.8,0.1,1,1.8,7.9,3799694
Austin Rivers,1.7,1.3,0.8,0.1,0.8,1.8,6,2401537
Austin Rivers,1.6,1.4,0.5,0.1,0.4,1.5,4.9,1836090
Avery Bradley,2.8,2.4,0.7,0.3,1.4,2.7,9.9,12000000
Avery Bradley,2.3,1.3,0.9,0.1,1,2.2,8.6,6767000
Avery Bradley,2.1,1.7,0.8,0.1,1,2,6.4,5635000
Avery Bradley,2.2,0.8,0.9,0.1,0.6,1.9,6.4,2641691
Ayo Dosunmu,2.8,3.3,0.8,0.4,1.4,2.4,8.8,925258
Ayo Dosunmu,2.8,2.6,0.8,0.3,1.2,2.3,8.6,1563518
Bam Adebayo,7.3,2.2,0.9,0.8,1.5,2.5,8.9,2955840
Bam Adebayo,10.2,5.1,1.1,1.3,2.8,2.5,15.9,3454080
Bam Adebayo,9,5.4,1.2,1,2.6,2.3,18.7,5115492
Bam Adebayo,10.1,3.4,1.4,0.8,2.6,3.1,19.1,28103550
Bam Adebayo,9.2,3.2,1.2,0.8,2.5,2.8,20.4,30351780
Ben McLemore,2.2,0.8,0.6,0.2,0.7,2.2,10.1,2028594
Ben McLemore,1.9,0.7,0.4,0.2,0.8,1.7,7.7,2738124
Ben McLemore,1.6,0.9,0.6,0.2,0.9,1.6,10.2,2389641
Ben Simmons,8.8,7.7,1.4,0.8,3.5,2.6,16.9,6434520
Ben Simmons,7.8,8,2.1,0.6,3.5,3.3,16.4,8113930
Ben Simmons,7.2,6.9,1.6,0.6,3,2.9,14.3,30559200
Ben Simmons,6.3,6.1,1.3,0.6,2.3,3.3,6.9,35448672
Bennedict Mathurin,4.1,1.5,0.6,0.2,1.9,2.1,16.7,6586800
Bismack Biyombo,4.6,0.6,0.2,0.8,0.6,1.9,4.4,17000000
Bismack Biyombo,5.8,0.9,0.2,0.9,0.9,2.2,7.4,17000000
Bismack Biyombo,5.3,1.2,0.3,1.1,1.1,2.1,5,3500000
Bismack Biyombo,4.6,0.6,0.3,0.7,0.7,1.9,5.8,1518213
Bismack Biyombo,4.3,0.9,0.3,1.4,0.8,1.9,4.3,1836090
Blake Griffin,7.5,5.4,0.7,0.4,3.4,2.7,24.5,32088932
Blake Griffin,4.7,3.3,0.4,0.4,2.2,1.5,15.5,34234964
Blake Griffin,4.9,3,0.7,0.3,1.3,2.4,11,33447548
Blake Griffin,4.1,1.9,0.5,0.3,0.6,1.7,6.4,32405817
Blake Griffin,3.8,1.5,0.3,0.2,0.5,1.8,4.1,1836090
Blake Wesley,2.2,2.7,0.7,0.1,1.8,1.8,5,2385480
Boban Marjanović,4.6,0.9,0.3,0.5,1,1.6,7.3,7000000
Bobby Portis,8.1,1.4,0.7,0.4,1.5,2.9,14.2,2494346
Bobby Portis,5.1,1.5,0.5,0.3,1.1,1.7,10.1,15000000
Bobby Portis,7.1,1.1,0.8,0.4,0.8,1.7,11.4,3623000
Bobby Portis,9.1,1.2,0.7,0.7,1.3,2.4,14.6,4347600
Bobby Portis,9.6,1.5,0.4,0.2,1.2,1.6,14.1,10843350
Bogdan Bogdanović,3.5,3.8,1,0.2,1.7,2,14.1,9000000
Bogdan Bogdanović,3.4,3.4,1,0.2,1.7,2.2,15.1,8529386
Bogdan Bogdanović,3.6,3.3,1.1,0.3,1.2,2.3,16.4,18000000
Bogdan Bogdanović,4,3.1,1.1,0.2,1.1,2.1,15.1,18000000
Bogdan Bogdanović,3.1,2.8,0.8,0.3,1.2,1.6,14,18000000
Bojan Bogdanović,4.1,2,0.9,0,1.7,1.7,18,10500000
Bojan Bogdanović,4.1,2.1,0.5,0.1,2.5,1.7,20.2,17000000
Bojan Bogdanović,3.9,1.9,0.6,0.1,1.8,1.6,17,17661000
Bojan Bogdanović,4.3,1.7,0.5,0,1.7,1.7,18.1,18502000
Bojan Bogdanović,3.8,2.6,0.6,0.1,2.3,1.9,21.6,19550000
Bol Bol,5.8,1,0.4,1.2,1.6,1.3,9.1,2200000
Brad Wanamaker,2,2.5,0.9,0.2,1.1,1.9,6.9,1355341
Brad Wanamaker,1.7,2.9,0.7,0.2,1.2,1.5,5.5,2250000
Bradley Beal,5,5.5,1.5,0.7,2.7,2.8,25.6,25434262
Bradley Beal,4.2,6.1,1.2,0.4,3.4,2.2,30.5,25399705
Bradley Beal,4.7,4.4,1.2,0.4,3.1,2.3,31.3,28751774
Bradley Beal,4.7,6.6,0.9,0.4,3.4,2.4,23.2,33724200
Bradley Beal,3.9,5.4,0.9,0.7,2.9,2.1,23.2,43279250
Brandon Boston Jr.,2.2,1,0.5,0.3,0.6,0.8,6.7,925258
Brandon Clarke,5.9,1.4,0.6,0.8,0.9,1.7,12.1,2478840
Brandon Clarke,5.6,1.6,1,0.9,0.6,1.4,10.3,2602920
Brandon Clarke,5.3,1.3,0.6,1.1,0.5,1.9,10.4,2726880
Brandon Clarke,5.5,1.3,0.6,0.7,1,2.3,10,4343920
Brandon Goodwin,1.5,2,0.4,0,0.8,0.9,4.9,1701593
Brandon Ingram,5.1,3,0.5,0.6,2.5,2.9,18.3,5757120
Brandon Ingram,6.1,4.2,1,0.6,3,2.9,23.8,7265485
Brandon Ingram,4.9,4.9,0.7,0.6,2.5,2,23.8,27285000
Brandon Ingram,5.8,5.6,0.6,0.5,2.7,2.2,22.7,29467800
Brandon Ingram,5.5,5.8,0.7,0.4,3.3,2.6,24.7,31650600
Brandon Knight,1.5,1.8,0.5,0.1,0.8,1.6,6.8,14631250
Brook Lopez,4.9,1.2,0.6,2.2,1,2.3,12.5,3382000
Brook Lopez,4.6,1.5,0.7,2.4,1,2.4,12,12093024
Brook Lopez,5,0.7,0.6,1.5,0.9,2.1,12.3,12697675
Brook Lopez,6.7,1.3,0.5,2.5,1.4,2.6,15.9,13906976
Bruce Brown,2.5,1.2,0.5,0.5,0.6,2.4,4.3,838464
Bruce Brown,4.7,4,1.1,0.5,1.7,2.8,8.9,1416852
Bruce Brown,5.4,1.6,0.9,0.4,0.8,2.2,8.8,1663861
Bruce Brown,4.8,2.1,1.1,0.7,0.8,2.4,9,4736102
Bruce Brown,4.1,3.4,1.1,0.6,1.5,2.4,11.5,6479000
Bruno Fernando,3.5,0.9,0.3,0.3,0.8,1.9,4.3,1400000
Bryce McGowens,2,1.2,0.3,0.1,0.9,1,5.3,1075000
Bryn Forbes,2.9,2.1,0.5,0,1,1.9,11.8,3125000
Bryn Forbes,2,1.7,0.5,0,0.9,1.8,11.2,2875000
Bryn Forbes,1.6,0.6,0.3,0,0.6,1.1,10,2337145
Bryn Forbes,1.2,1,0.3,0.1,0.7,1.3,8.8,4500000
Buddy Hield,5,2.5,0.7,0.4,1.8,2.5,20.7,3833760
Buddy Hield,4.6,3,0.9,0.2,2.3,2.3,19.2,4861208
Buddy Hield,4.7,3.6,0.9,0.4,1.8,2.5,16.6,24701834
Buddy Hield,4.4,2.8,0.9,0.3,1.9,2.3,15.6,22477273
Buddy Hield,5,2.8,1.2,0.3,1.7,2,16.8,21177750
CJ McCollum,4,3,0.8,0.4,1.5,2.5,21,25759766
CJ McCollum,4.2,4.4,0.8,0.6,1.8,2.6,22.2,27556959
CJ McCollum,3.9,4.7,0.9,0.4,1.4,1.9,23.1,29354152
CJ McCollum,4.3,5.1,1.1,0.4,2,2,22.1,30864198
CJ McCollum,4.4,5.7,0.9,0.5,2.4,2,20.9,33333333
C.J. Miles,1.8,0.7,0.5,0.3,0.6,1.5,6.4,8333333
Cade Cunningham,5.5,5.6,1.2,0.7,3.7,3.1,17.4,10050120
Caleb Houstan,1.9,0.6,0.2,0.1,0.4,1.2,3.8,2000000
Caleb Martin,2.7,1.3,0.7,0.2,0.6,1.2,5,1517981
Caleb Martin,4.8,1.6,1,0.4,1.1,2,9.6,6479000
Cam Reddish,3.7,1.5,1.1,0.5,1.7,2.3,10.5,4245720
Cam Reddish,4,1.3,1.3,0.3,1.3,2.6,11.2,4458000
Cam Reddish,2.1,1,1,0.3,1.2,1.2,10.1,4670160
Cam Reddish,2.2,1.4,1,0.4,1.2,1.8,9.7,5954454
Cameron Johnson,3.3,1.2,0.6,0.4,0.6,1.5,8.8,4033440
Cameron Johnson,3.3,1.4,0.6,0.3,0.7,1.4,9.6,4235160
Cameron Johnson,4.1,1.5,0.9,0.2,0.7,1.7,12.5,4437000
Cameron Johnson,4.4,1.9,1.2,0.3,0.9,2,15.5,5887899
Cameron Payne,1.8,2.7,0.7,0.2,1.1,1.6,6.3,3440357
Cameron Payne,2.4,3.6,0.6,0.3,1,1.6,8.4,1977011
Cameron Payne,3,4.9,0.7,0.3,1.8,2.1,10.8,6500000
Cameron Payne,2.2,4.5,0.7,0.2,1.7,1.8,10.3,6000000
Cam Thomas,2.4,1.2,0.5,0.1,0.8,1,8.5,2036280
Cam Thomas,1.7,1.4,0.4,0.1,1.1,1,10.6,2138160
Caris LeVert,3.8,3.9,1.1,0.4,1.7,1.9,13.7,1702800
Caris LeVert,4.2,4.4,1.2,0.2,2.6,1.8,18.7,2625718
Caris LeVert,4.6,5.2,1.4,0.6,2.2,2.2,20.2,16203704
Caris LeVert,3.7,4.3,0.9,0.4,1.9,2.3,17,17500000
Caris LeVert,3.8,3.9,1,0.3,1.6,2.3,12.1,18796296
Carmelo Anthony,6.3,1.5,0.8,0.5,1.7,2.9,15.4,2159029
Carmelo Anthony,3.1,1.5,0.7,0.6,0.9,2.1,13.4,1620564
Carmelo Anthony,4.2,1,0.7,0.8,0.9,2.4,13.3,2641691
Cedi Osman,4.7,2.6,0.8,0.1,1.5,2.6,13,2775000
Cedi Osman,3.6,2.4,0.8,0.2,1.4,2.5,11,2907143
Cedi Osman,3.4,2.9,0.9,0.2,1.4,2,10.4,8840580
Cedi Osman,2.2,2,0.8,0.2,1,1.9,10.7,8133334
Cedi Osman,2.3,1.5,0.5,0.1,0.7,1.6,8.7,7426088
Chandler Hutchison,4.2,0.8,0.5,0.1,0.6,1.3,5.2,1991520
Chandler Hutchison,3.9,0.9,1,0.3,1,1.7,7.8,2332320
Charles Bassey,5.5,1.3,0.5,0.9,1.2,2.1,5.7,2674742
Chasson Randle,1.1,2,0.5,0.1,0.9,1.9,5.5,991072
Cheick Diallo,5.2,0.5,0.5,0.5,0.8,1.8,6,1544951
Chimezie Metu,5.6,1,0.9,0.5,1,1.6,8.9,1762796
Chimezie Metu,3,0.6,0.3,0.3,0.5,1.2,4.9,1910860
Chris Boucher,4.5,0.4,0.4,1,0.5,1.8,6.6,1488967
Chris Boucher,6.7,1.1,0.6,1.9,0.8,2.8,13.6,6500000
Chris Boucher,6.2,0.3,0.6,0.9,0.5,2.2,9.4,7020000
Chris Boucher,5.5,0.4,0.6,0.8,0.5,1.9,9.4,12690000
Chris Duarte,4.1,2.1,1,0.2,1.6,1.7,13.1,3749520
Chris Duarte,2.5,1.4,0.5,0.2,0.9,1.4,7.9,3936960
Chris Paul,4.6,8.2,2,0.3,2.6,2.5,15.6,35654150
Chris Paul,5,6.7,1.6,0.2,2.3,2.3,17.6,38506482
Chris Paul,4.5,8.9,1.4,0.3,2.2,2.4,16.4,41358814
Chris Paul,4.4,10.8,1.9,0.3,2.4,2.1,14.7,30800000
Chris Paul,4.3,8.9,1.5,0.4,1.9,2.1,13.9,28400000
Christian Braun,2.4,0.8,0.5,0.2,0.5,1.3,4.7,2808600
Christian Koloko,2.9,0.5,0.4,1,0.3,2.2,3.1,1500000
Christian Wood,6.3,1,0.5,0.9,1.4,1.6,13.1,1645357
Christian Wood,9.6,1.7,0.8,1.2,2,2.1,21,13015874
Christian Wood,10.1,2.3,0.8,1,1.9,2.5,17.9,13666667
Christian Wood,7.3,1.8,0.4,1.1,1.8,2.5,16.6,14317459
Chuma Okeke,4,2.2,1.1,0.5,0.8,1.1,7.8,3121080
Chuma Okeke,5,1.7,1.4,0.6,0.8,1.4,8.6,3277080
Chuma Okeke,3.6,1.4,0.7,0.4,0.6,1.5,4.7,3433320
CJ Elleby,3.9,1.5,0.6,0.3,1,2,5.8,1517981
Clint Capela,12.7,1.4,0.7,1.5,1.4,2.5,16.6,15293104
Clint Capela,13.8,1.2,0.8,1.8,1.6,2.6,13.9,14896552
Clint Capela,14.3,0.8,0.7,2,1.2,2.3,15.2,16000000
Clint Capela,11.9,1.2,0.7,1.3,0.6,2.2,11.1,17103448
Clint Capela,11,0.9,0.7,1.2,0.8,2.1,12,18706897
Coby White,3.5,2.7,0.8,0.1,1.7,1.8,13.2,5307120
Coby White,4.1,4.8,0.6,0.2,2.3,2.6,15.1,5572680
Coby White,3,2.9,0.5,0.2,1.1,2.2,12.7,5837760
Coby White,2.9,2.8,0.7,0.1,1,1.6,9.7,7413955
Cody Martin,3.3,2,0.8,0.2,0.9,1.6,5,1173310
Cody Martin,3.1,1.7,0.7,0.2,0.8,1,4,1517981
Cody Martin,4,2.5,1.2,0.5,0.9,1.6,7.7,1782621
Cody Zeller,6.8,2.1,0.8,0.8,1.3,3.3,10.1,13528090
Cody Zeller,7.1,1.5,0.7,0.4,1.3,2.4,11.1,14471910
