Player,REB,AST,STL,BLK,TOV,PF,PTS,Salary
De'Andre Hunter,4.2,1.4,0.5,0.3,1.2,3,15.4,9835881
De'Anthony Melton,2.7,3.2,1.4,0.5,1.5,2.3,5,949000
De'Anthony Melton,3.7,2.9,1.3,0.3,1.4,1.8,7.6,1416852
De'Anthony Melton,3.1,2.5,1.2,0.6,1.3,1.6,9.1,9571712
De'Anthony Melton,4.5,2.7,1.4,0.5,1.5,1.8,10.8,8805976
De'Anthony Melton,4.1,2.6,1.6,0.5,1.3,2.5,10.1,8250000
Dean Wade,3.4,1.2,0.6,0.3,0.5,1.2,6,1517981
Dean Wade,2.9,1,0.6,0.1,0.3,1.7,5.3,1782621
Dean Wade,3.4,0.8,0.6,0.5,0.4,2,4.7,1930681
Deandre Ayton,10.3,1.8,0.9,0.9,1.8,2.9,16.3,8165160
Deandre Ayton,11.5,1.9,0.7,1.5,2.1,3.1,18.2,9562920
Deandre Ayton,10.5,1.4,0.6,1.2,1.5,2.8,14.4,10018200
Deandre Ayton,10.2,1.4,0.7,0.7,1.6,2.4,17.2,12632950
Deandre Ayton,10,1.7,0.6,0.8,1.8,2.8,18,30913750
DeAndre Jordan,13.1,2.3,0.6,1.1,2.2,2.4,11,22897200
DeAndre Jordan,10,1.9,0.3,0.9,1.3,2,8.3,9881598
DeAndre Jordan,7.5,1.6,0.3,1.1,1.5,2,7.5,10375678
DeAndre Jordan,5.5,0.4,0.3,0.7,0.8,1.5,4.3,11109327
DeAndre Jordan,5.2,0.9,0.3,0.6,1.2,1.8,5.1,9663997
DeAndre' Bembry,4.4,2.5,1.3,0.5,1.7,2.3,8.4,1634640
DeAndre' Bembry,3.5,1.9,1.3,0.4,1.4,2,5.8,2603982
DeAndre' Bembry,2.9,2.1,1,0.4,1.4,1.7,5.7,1737145
DeAndre' Bembry,2.9,1.2,0.9,0.4,0.6,2,5.1,2541217
Dejounte Murray,5.8,4.1,1.7,0.3,1.9,2.2,10.9,2321735
Dejounte Murray,7.1,5.4,1.5,0.1,1.7,2,15.7,14286000
Dejounte Murray,8.3,9.2,2,0.3,2.6,2,21.1,15428880
Dejounte Murray,5.3,6.1,1.5,0.3,2.2,1.4,20.5,16571120
Delon Wright,3.5,3.3,1.2,0.4,1,1.4,8.7,2536898
Delon Wright,3.8,3.3,1.2,0.3,1,1.3,6.9,9473684
Delon Wright,4.3,4.4,1.6,0.5,1.3,1.2,10.2,9000000
Delon Wright,2.9,2.4,1.2,0.2,0.6,0.7,4.4,8526316
Delon Wright,3.6,3.9,1.8,0.3,0.9,1.2,7.4,7804878
DeMar DeRozan,6,6.2,1.1,0.5,2.6,2.3,21.2,27739975
DeMar DeRozan,5.5,5.6,1,0.3,2.4,2.6,22.1,27739975
DeMar DeRozan,4.2,6.9,0.9,0.2,2,2.1,21.6,27739975
DeMar DeRozan,5.2,4.9,0.9,0.3,2.4,2.3,27.9,26000000
DeMar DeRozan,4.6,5.1,1.1,0.5,2.1,2.5,24.5,27300000
DeMarcus Cousins,8.2,3.6,1.3,1.5,2.4,3.6,16.3,5337000
DeMarcus Cousins,6.4,1.9,0.8,0.6,1.6,2.6,8.9,2075655
DeMarcus Cousins,5.6,1.5,0.7,0.4,1.8,2.9,9,1745944
DeMarre Carroll,5.2,1.3,0.5,0.1,1.1,1.7,11.1,15400000
Deni Avdija,4.9,1.2,0.6,0.3,0.6,2.6,6.3,4469160
Deni Avdija,5.2,2,0.7,0.5,1.1,2.3,8.4,4692840
Deni Avdija,6.4,2.8,0.9,0.4,1.6,2.8,9.2,4916160
Dennis Schröder,3.6,4.1,0.8,0.2,2.2,2.4,15.5,15500000
Dennis Schröder,3.6,4,0.7,0.2,2.6,2.2,18.9,15500000
Dennis Schröder,3.5,5.8,1.1,0.2,2.7,2.6,15.4,16000000
Dennis Schröder,3.3,4.6,0.8,0.1,2.2,2.4,13.5,5890000
Dennis Schröder,2.5,4.5,0.8,0.2,1.7,2.2,12.6,1836090
Dennis Smith Jr.,2.9,4.8,1.3,0.4,2.9,2.4,13.6,3819960
Dennis Smith Jr.,2.3,2.9,0.8,0.2,1.7,1.9,5.5,4463640
Dennis Smith Jr.,2.4,3.6,1.2,0.3,1.4,1.4,5.6,1789256
Dennis Smith Jr.,3.1,4.8,1.4,0.5,1.5,2.3,8.8,1836090
Denzel Valentine,3.2,1.7,0.5,0.1,0.7,1.1,6.5,4642800
Derrick Favors,7.4,1.2,0.7,1.4,1.1,2.1,11.8,16000000
Derrick Favors,9.8,1.6,0.6,0.9,1.1,2.1,9,17650000
Derrick Favors,5.5,0.6,0.5,1,0.5,2.1,5.4,9258000
Derrick Favors,4.7,0.6,0.4,0.3,0.2,1.6,5.3,9720900
Derrick Jones Jr.,4,0.6,0.8,0.7,0.7,2.1,7,1512601
Derrick Jones Jr.,3.9,1.1,1,0.6,0.5,2.2,8.5,1645357
Derrick Jones Jr.,3.5,0.8,0.6,0.9,0.6,2.2,6.8,9258000
Derrick Jones Jr.,3.3,0.6,0.5,0.6,0.6,2.1,5.6,9720900
Derrick Jones Jr.,2.4,0.5,0.5,0.6,0.4,1.3,5,3200000
Derrick Rose,2.7,4.3,0.6,0.2,1.6,1.1,18,2176260
Derrick Rose,2.4,5.6,0.8,0.3,2.5,1,18.1,7317073
Derrick Rose,2.6,4.2,1,0.4,1.6,1.1,14.7,7682926
Derrick Rose,3,4,0.8,0.5,1.5,0.6,12,13445120
Derrick White,3.7,3.9,1,0.7,1.4,2.2,9.9,1667160
Derrick White,3.3,3.5,0.6,0.9,1.3,2.2,11.3,1948080
Derrick White,3,3.5,0.7,1,1.3,2.5,15.4,3516284
Derrick White,3.5,4.9,0.9,0.8,1.6,2.3,13.2,15178571
Derrick White,3.6,3.9,0.7,0.9,1.2,2.2,12.4,16892857
Desmond Bane,3.1,1.7,0.6,0.2,0.9,1.8,9.2,1936440
Desmond Bane,4.4,2.7,1.2,0.4,1.5,2.6,18.2,2033160
Desmond Bane,5,4.4,1,0.4,2.2,2.6,21.5,2130240
Devin Booker,4.1,6.8,0.9,0.2,4.1,3.1,26.6,3314365
Devin Booker,4.2,6.5,0.7,0.3,3.8,3,26.6,27285000
Devin Booker,4.2,4.3,0.8,0.2,3.1,2.7,25.6,29467800
Devin Booker,5,4.8,1.1,0.4,2.4,2.6,26.8,31650600
Devin Booker,4.5,5.5,1,0.3,2.7,3,27.8,33833400
Devin Harris,1.6,1.8,0.5,0.2,0.8,2,6.3,2393887
Devin Vassell,2.8,0.9,0.7,0.3,0.4,1.4,5.5,4033440
Devin Vassell,4.3,1.9,1.1,0.6,0.8,2,12.3,4235160
Devin Vassell,3.9,3.6,1.1,0.4,1.5,1.5,18.5,4437000
Devonte' Graham,1.4,2.6,0.5,0,0.7,1,4.7,988464
Devonte' Graham,3.4,7.5,1,0.2,2.9,1.8,18.2,1416852
Devonte' Graham,2.7,5.4,0.9,0.1,1.5,1.4,14.8,1663861
Devonte' Graham,2.3,4.2,0.9,0.2,1.4,1.3,11.9,11000000
Devonte' Graham,1.7,2.7,0.6,0.2,0.7,1.1,7.4,11550000
Dewayne Dedmon,7.5,1.4,1.1,1.1,1.3,3.3,10.8,7200000
Dewayne Dedmon,5.7,0.5,0.6,0.9,1.3,3,5.8,13333333
Dewayne Dedmon,5.8,0.7,0.4,0.6,1,2.6,6.3,5256308
Dāvis Bertāns,4.5,1.7,0.7,0.6,1.1,2.6,15.4,7000000
Dillon Brooks,3.3,2.1,0.9,0.4,1.7,3.8,16.2,1618520
Dillon Brooks,2.9,2.3,1.2,0.4,1.8,3.5,17.2,11400000
Dillon Brooks,3.2,2.8,1.1,0.3,1.6,3.3,18.4,12200000
Dillon Brooks,3.3,2.6,0.9,0.2,1.4,3.3,14.3,11400000
Dion Waiters,2.6,2.8,0.7,0.2,1.5,1.6,12,11550000
Dirk Nowitzki*,3.1,0.7,0.2,0.4,0.4,1.5,7.3,5000000
Domantas Sabonis,9.3,2.9,0.6,0.4,2.2,3.2,14.1,2659800
Domantas Sabonis,12.4,5,0.8,0.5,2.7,3.1,18.5,3529555
Domantas Sabonis,12,6.7,1.2,0.5,3.4,3.3,20.3,19800000
Domantas Sabonis,12.1,5.2,1,0.4,3.1,3.3,18.9,18500000
Domantas Sabonis,12.3,7.3,0.8,0.5,2.9,3.5,19.1,18500000
Donovan Mitchell,4.1,4.2,1.4,0.4,2.8,2.7,23.8,3111480
Donovan Mitchell,4.4,4.3,1,0.2,2.7,2.5,24,3635760
Donovan Mitchell,4.4,5.2,1,0.3,2.8,2.2,26.4,5195501
Donovan Mitchell,4.2,5.3,1.5,0.2,3,2.4,25.9,28103500
Donovan Mitchell,4.3,4.4,1.5,0.4,2.6,2.5,28.3,30913750
Donte DiVincenzo,4.8,2.3,1.3,0.3,1.4,1.7,9.2,2905800
Donte DiVincenzo,5.8,3.1,1.1,0.2,1.4,1.7,10.4,3044160
Donte DiVincenzo,4,2.8,1.1,0.2,1.7,1.6,9,4675830
Donte DiVincenzo,4.5,3.5,1.3,0.1,1.6,1.8,9.4,4500000
Dorian Finney-Smith,4.8,1.2,0.9,0.4,0.9,2.3,7.5,1544951
Dorian Finney-Smith,5.7,1.6,0.6,0.5,1,2.5,9.5,4000000
Dorian Finney-Smith,5.4,1.7,0.9,0.4,0.8,2.3,9.8,4000000
Dorian Finney-Smith,4.7,1.9,1.1,0.5,1,2.3,11,4000000
Dorian Finney-Smith,4.8,1.5,0.8,0.5,0.9,2.2,8.3,12939848
Doug McDermott,1.4,0.9,0.2,0.1,0.5,1.4,7.3,7333334
Doug McDermott,2.5,1.1,0.2,0.1,0.6,1.7,10.3,7333334
Doug McDermott,3.3,1.3,0.3,0.1,0.8,1.8,13.6,7333333
Doug McDermott,2.3,1.3,0.3,0.1,0.8,1.5,11.3,13750000
Doug McDermott,2.2,1.4,0.2,0.1,0.9,1.8,10.2,13750000
Dragan Bender,4,1.2,0.4,0.5,0.8,2,5,4661280
Draymond Green,7.3,6.9,1.4,1.1,2.6,3,7.4,17469565
Draymond Green,6.2,6.2,1.4,0.8,2.3,2.6,8,18539130
Draymond Green,7.1,8.9,1.7,0.8,3,3.1,7,22246956
Draymond Green,7.3,7,1.3,1.1,3,3,7.5,24026712
Draymond Green,7.2,6.8,1,0.8,2.8,3.1,8.5,25806468
Drew Eubanks,4.5,0.8,0.3,0.9,0.8,1.6,5.8,1620564
Drew Eubanks,5.4,1.2,0.4,0.6,1.1,1.7,7.7,2239820
Drew Eubanks,5.4,1.3,0.5,1.3,0.9,2.2,6.6,1836090
Duane Washington Jr.,1.7,1.8,0.5,0.1,1.2,1.4,9.9,950000
Duncan Robinson,3.2,1.4,0.5,0.3,1,2.6,13.5,1416852
Duncan Robinson,3.5,1.8,0.6,0.3,1.1,2.5,13.1,1663861
Duncan Robinson,2.6,1.6,0.5,0.2,0.8,2.5,10.9,15560000
Duncan Robinson,1.6,1.1,0.3,0,0.7,1.8,6.4,16902000
Dwayne Bacon,2.1,1.1,0.3,0.1,0.4,1.7,7.3,1378242
Dwayne Bacon,2.6,1.3,0.6,0.1,0.9,1.3,5.7,1618520
Dwayne Bacon,3.1,1.3,0.6,0.1,0.6,1.4,10.9,1678854
Dwight Howard,7.3,0.7,0.4,1.1,1.2,3.2,7.5,5603850
Dwight Howard,8.4,0.9,0.4,0.9,1.6,2.9,7,1620564
Dwight Howard,5.9,0.6,0.6,0.6,0.8,1.9,6.2,2641691
Dwight Powell,5.3,1.5,0.6,0.6,0.9,2.6,10.6,9631250
Dwight Powell,5.7,1.5,0.9,0.6,0.9,2.6,9.4,10259375
Dwight Powell,4,1.1,0.6,0.5,0.7,2.3,5.9,11080125
Dwight Powell,4.9,1.2,0.5,0.5,0.8,2.7,8.7,11080125
Dwight Powell,4.1,0.9,0.6,0.3,0.9,2.8,6.7,11080125
Dwyane Wade*,4,4.2,0.8,0.5,2.3,1.6,15,2393887
Dylan Windler,3.5,1.1,0.6,0.4,1,1.2,5.2,2137440
Dyson Daniels,3.2,2.3,0.7,0.2,1,1.7,3.8,5508600
E'Twaun Moore,2.4,1.9,0.8,0.2,1.1,2.1,11.9,8808685
E'Twaun Moore,2.3,1.4,0.6,0.2,0.7,1.4,8.3,8664928
Ed Davis,8.6,0.8,0.4,0.4,0.8,2.8,5.8,4449000
Edmond Sumner,1.8,0.9,0.6,0.2,1,1.7,7.5,2160000
Edmond Sumner,1.5,1.3,0.6,0.2,0.9,1.6,7.1,1968175
Elfrid Payton,5.2,7.6,1,0.4,2.7,1.9,10.6,3000000
Elfrid Payton,4.7,7.2,1.6,0.4,2.1,2,10,8000000
Elfrid Payton,3.4,3.2,0.7,0.1,1.6,1.8,10.1,5767000
Elfrid Payton,1.8,2,0.5,0.1,0.9,0.8,3,2239544
Elie Okobo,1.8,2.4,0.6,0.1,1.3,2.1,5.7,1238464
Elie Okobo,1.6,2.1,0.4,0.1,0.7,1,4,1416852
Emmanuel Mudiay,3.3,3.9,0.7,0.3,2.4,1.7,14.8,4294480
Emmanuel Mudiay,2.3,2.1,0.4,0.2,1.4,1.3,7.3,1737145
Enes Freedom,7.4,1,0.4,0.7,1,1.7,8.1,4767000
Enes Freedom,11,1.2,0.5,0.7,1.1,2.3,11.2,5005350
Enes Freedom,9.8,1.7,0.5,0.4,1.8,2.5,13.7,19276070
Eric Bledsoe,4.6,5.5,1.5,0.4,2.1,2,15.9,15000000
Eric Bledsoe,4.6,5.4,0.9,0.4,2.4,2.1,14.9,15625000
Eric Bledsoe,3.4,3.8,0.8,0.3,1.6,1.6,12.2,16875000
Eric Bledsoe,3.4,4.2,1.3,0.4,2.1,1.6,9.9,18125000
Eric Gordon,2.2,1.9,0.6,0.4,1.3,2.1,16.2,13500375
Eric Gordon,2,1.5,0.6,0.4,1.2,1.9,14.4,14057730
Eric Gordon,2.1,2.6,0.5,0.5,1.9,1.6,17.8,16869276
Eric Gordon,2,2.7,0.5,0.3,1.9,1.1,13.4,18218818
Eric Gordon,1.9,2.7,0.6,0.4,1.5,1.1,12.4,19568360
Eric Paschall,4.6,2.1,0.5,0.2,1.6,2.1,14,898310
Eric Paschall,3.2,1.3,0.3,0.2,1.1,1.7,9.5,1517981
Eric Paschall,1.8,0.6,0.2,0.1,0.5,0.9,5.8,1782621
Ersan İlyasova,4.5,0.8,0.5,0.3,0.7,2.6,6.8,7000000
Ersan İlyasova,4.8,0.8,0.4,0.3,0.5,1.5,6.6,7000000
Evan Fournier,3.2,3.6,0.9,0.1,1.9,2.8,15.1,17000000
Evan Fournier,2.6,3.2,1.1,0.2,1.9,2.4,18.5,17000000
Evan Fournier,3,3.4,1.1,0.5,1.7,2.3,17.1,17450000
Evan Fournier,2.6,2.1,1,0.3,1.3,2.3,14.1,17142857
Evan Mobley,8.3,2.5,0.8,1.7,1.9,2.1,15,8075160
Evan Mobley,9,2.8,0.8,1.5,1.8,2.8,16.2,8478720
Evan Turner,4.5,3.9,0.5,0.2,1.6,1.5,6.8,17868853
Facundo Campazzo,2.1,3.6,1.2,0.2,1.1,2,6.1,3100000
Facundo Campazzo,1.8,3.4,1,0.4,1,1.9,5.1,2975000
Frank Jackson,2.2,1.1,0.4,0,0.8,1.5,8.1,1378242
Frank Jackson,1.4,1,0.3,0.1,0.8,1.3,6.3,1618520
Frank Jackson,1.6,1,0.5,0.2,0.7,1.7,10.6,3000000
Frank Kaminsky,3.5,1.3,0.3,0.3,0.9,1.4,8.6,3627842
Frank Kaminsky,4.5,1.9,0.4,0.3,0.9,1.9,9.7,4767000
Frank Kaminsky,4,1.7,0.3,0.4,0.5,1.5,6.6,1620564
Frank Ntilikina,2,2.8,0.7,0.3,1.3,2.4,5.7,4155720
Frank Ntilikina,2.1,3,0.9,0.3,1.2,2.5,6.3,4855800
Frank Ntilikina,1.4,1.2,0.5,0.1,0.5,1.1,4.1,1789256
Frank Ntilikina,1.3,1.2,0.3,0.1,0.6,1.4,2.9,2036318
Franz Wagner,4.5,2.9,0.9,0.4,1.5,2.1,15.2,5007840
Franz Wagner,4.1,3.5,1,0.2,2.1,2.3,18.6,5258280
Fred VanVleet,2.6,4.8,0.9,0.3,1.3,1.7,11,8653847
Fred VanVleet,3.8,6.6,1.9,0.3,2.2,2.4,17.6,9346153
Fred VanVleet,4.2,6.3,1.7,0.7,1.8,2.3,19.6,21250000
Fred VanVleet,4.4,6.7,1.7,0.5,2.6,2.5,20.3,19675926
Fred VanVleet,4.1,7.2,1.8,0.6,2,2.8,19.3,21250000
Furkan Korkmaz,2.2,1.1,0.6,0,0.5,1.3,5.8,1740000
Furkan Korkmaz,2.3,1.1,0.6,0.2,0.8,1.4,9.8,1620564
Furkan Korkmaz,2.1,1.5,0.9,0.2,0.8,1.2,9.1,1762796
Furkan Korkmaz,2.6,1.9,0.5,0.1,0.7,0.9,7.6,4629630
Gabe Vincent,1.9,3.1,0.9,0.2,1.4,2.3,8.7,1669178
Gabe Vincent,2.1,2.5,0.9,0.1,1.4,2.3,9.4,1815677
Garrett Temple,2.9,1.4,1,0.4,0.9,2.7,7.8,8000000
Garrett Temple,3.5,2.5,0.8,0.5,1,1.7,10.3,4767000
Garrett Temple,2.9,2.2,0.8,0.5,1,2.3,7.6,4767000
Garrett Temple,2.4,1.3,0.7,0.4,0.7,1.4,5.2,4910000
Garrison Mathews,2.9,1,0.9,0.4,0.6,2.6,10,2000000
Garrison Mathews,1.4,0.5,0.4,0.1,0.4,1.1,4.8,2000000
Gary Clark,2.6,0.4,0.1,0.5,0.2,1.1,3.7,1427191
Gary Clark,2.9,0.8,0.3,0.2,0.4,0.9,3.1,2000000
Gary Harris,2.8,2.2,1,0.3,1.2,2,12.9,16517857
Gary Harris,2.9,2.1,1.4,0.3,1.1,2.1,10.4,17839286
Gary Harris,2,2,0.7,0.3,0.9,1.8,9.9,19160714
Gary Harris,2,1.8,1,0.1,1,1.8,11.1,20482143
Gary Harris,2,1.2,0.9,0.3,0.6,1.9,8.3,13000000
Gary Payton II,3.5,0.9,1.4,0.3,0.6,1.8,7.1,1939350
Gary Trent Jr.,1.6,1,0.8,0.3,0.3,1.5,8.9,1416852
Gary Trent Jr.,2.6,1.4,1,0.2,0.7,1.6,15.3,1663861
Gary Trent Jr.,2.7,2,1.7,0.3,1,2.1,18.3,16000000
Gary Trent Jr.,2.6,1.6,1.6,0.2,0.8,1.5,17.4,17505000
George Hill,2.5,2.3,0.9,0.1,0.9,1.7,7.6,19000000
George Hill,3,3.1,0.8,0.1,1,1.4,9.4,10133907
George Hill,2,2.4,0.8,0.2,1,1,8.7,9590602
George Hill,2.9,2.2,0.8,0.1,0.8,1.3,6.2,5275491
George Hill,1.8,2.4,0.6,0.1,0.7,1.2,5,4000000
Georges Niang,1.5,0.6,0.2,0.1,0.4,1,4,1512601
Georges Niang,1.9,0.7,0.3,0.1,0.5,1.1,5.9,1678854
Georges Niang,2.4,0.8,0.3,0.1,0.7,1.6,6.9,1783557
Georges Niang,2.7,1.3,0.4,0.2,0.8,2.5,9.2,3300000
Georges Niang,2.4,1,0.4,0.2,0.7,1.9,8.2,3465000
Gerald Green,2.5,0.5,0.5,0.4,0.8,1.7,9.2,2393887
Giannis Antetokounmpo,12.5,5.9,1.3,1.5,3.7,3.2,27.7,24157304
Giannis Antetokounmpo,13.6,5.6,1,1,3.7,3.1,29.5,25842697
Giannis Antetokounmpo,11,5.9,1.2,1.2,3.4,2.8,28.1,27528088
Giannis Antetokounmpo,11.6,5.8,1.1,1.4,3.3,3.2,29.9,39344970
Giannis Antetokounmpo,11.8,5.7,0.8,0.8,3.9,3.1,31.1,42492492
Glenn Robinson III,1.5,0.4,0.3,0.2,0.4,1,4.2,4075000
Glenn Robinson III,4.4,1.5,0.9,0.3,0.9,1.6,11.7,1882867
Goga Bitadze,3.3,0.8,0.2,1.3,0.4,2.1,5.1,2957520
Goga Bitadze,3.5,1.1,0.4,0.8,0.9,2.1,7,3098400
Goran Dragić,3.1,4.8,0.8,0.1,2,2.3,13.7,18109175
Goran Dragić,3.2,5.1,0.7,0.2,2.4,2.1,16.2,19217900
Goran Dragić,3.4,4.4,0.7,0.2,2.4,2.3,13.4,18000000
Goran Dragić,1.4,2.6,0.2,0.1,1.1,1.1,6.3,2226523
Gordon Hayward,4.5,3.4,0.9,0.3,1.5,1.4,11.5,31214295
Gordon Hayward,6.7,4.1,0.7,0.4,1.8,1.8,17.5,32700690
Gordon Hayward,5.9,4.1,1.2,0.3,2.1,1.7,19.6,28500000
Gordon Hayward,4.6,3.6,1,0.4,1.7,1.7,15.9,29925000
Gordon Hayward,4.3,4.1,0.8,0.2,2,1.4,14.7,30075000
Gorgui Dieng,4.1,0.9,0.6,0.5,0.8,1.8,6.4,15170787
Gorgui Dieng,5.6,1.2,0.8,0.9,1,2,7.4,16229213
Gorgui Dieng,3.7,1.3,0.7,0.4,0.8,1.5,6.8,17587688
Grant Williams,2.6,1,0.4,0.5,0.7,2.4,3.4,2379840
Grant Williams,2.8,1,0.5,0.4,0.9,2.6,4.7,2498760
Grant Williams,3.6,1,0.5,0.7,0.8,2.4,7.8,2617800
Grant Williams,4.6,1.7,0.5,0.4,1,2.4,8.1,4306281
Grayson Allen,2.2,1.4,0.3,0.1,0.9,1.4,8.7,2277563
Grayson Allen,3.2,2.2,0.9,0.2,1,1.4,10.6,2545320
Grayson Allen,3.4,1.5,0.7,0.3,0.7,1.5,11.1,4054695
Grayson Allen,3.3,2.3,0.9,0.2,1,1.6,10.4,8500000
Greg Brown III,2.8,0.7,0.5,0.5,0.8,1.9,4.7,925258
Hamidou Diallo,1.9,0.3,0.4,0.2,0.5,1.5,3.7,838464
Hamidou Diallo,3.6,0.8,0.8,0.2,1.1,2.2,6.9,1416852
Hamidou Diallo,5.2,1.9,0.8,0.5,1.5,2.6,11.6,1663861
Hamidou Diallo,4.8,1.3,1.2,0.3,1,2.5,11,5200000
Hamidou Diallo,3.5,1,0.9,0.3,1.3,2.2,9.3,5200000
Harrison Barnes,4.7,1.5,0.6,0.2,1.3,1.6,16.4,24107258
Harrison Barnes,4.9,2.2,0.6,0.2,1.2,1.3,14.5,24147727
Harrison Barnes,6.6,3.5,0.7,0.2,1.6,1.3,16.1,22215909
Harrison Barnes,5.6,2.4,0.7,0.2,1.5,1.2,16.4,20284091
Harrison Barnes,4.5,1.6,0.7,0.1,1,1.3,15,18352273
Harry Giles,3.8,1.5,0.5,0.4,1.3,2.6,7,2207040
Harry Giles,4.1,1.3,0.5,0.4,1,2.6,6.9,2578800
Hassan Whiteside,11.3,0.8,0.6,1.9,1.3,2.7,12.3,25434263
Hassan Whiteside,13.5,1.2,0.4,2.9,1.8,2.9,15.5,27093018
Hassan Whiteside,6,0.6,0.3,1.3,1.1,2,8.1,1620564
Hassan Whiteside,7.6,0.4,0.3,1.6,0.8,2.8,8.2,2401537
Haywood Highsmith,3.5,0.8,0.7,0.3,0.8,1.5,4.4,1752638
Herbert Jones,3.8,2.1,1.7,0.8,1.3,3.1,9.5,1700000
Herbert Jones,4.1,2.5,1.6,0.6,1.3,3.2,9.8,1785000
Ian Clark,1.5,1.6,0.4,0.1,1,1.6,6.7,1757429
Ian Mahinmi,5.7,1.3,0.8,1.2,1.2,3,7.4,15450051
Iman Shumpert,3,1.8,1,0.4,0.8,2,7.5,11011234
Immanuel Quickley,2.1,2,0.5,0.2,0.9,1.8,11.4,2105520
Immanuel Quickley,3.2,3.5,0.7,0,1.3,2.1,11.3,2210640
Immanuel Quickley,4.2,3.4,1,0.2,1.2,2,14.9,2316240
Isaac Bonga,3.4,1.2,0.7,0.3,0.9,2.4,5,1416852
Isaac Okoro,3.1,1.9,0.9,0.4,1.3,2.8,9.6,6400920
Isaac Okoro,3,1.8,0.8,0.3,0.9,2.4,8.8,6720720
Isaac Okoro,2.5,1.1,0.7,0.4,0.6,2.1,6.4,7040880
Isaiah Briscoe,1.9,2.2,0.3,0.1,0.8,1.7,3.5,838464
Isaiah Hartenstein,3.9,1.2,0.4,0.8,1,2.3,5.1,1620564
Isaiah Hartenstein,4.9,2.4,0.7,1.1,1.2,2.5,8.3,1729217
Isaiah Hartenstein,6.5,1.2,0.6,0.8,0.8,2.6,5,7804879
Isaiah Jackson,4.1,0.3,0.7,1.4,1.1,2.6,8.3,2451120
Isaiah Jackson,4.5,0.8,0.5,1.5,0.8,2.4,7.2,2573760
Isaiah Joe,1,0.6,0.3,0.1,0.3,0.9,3.6,1517981
Isaiah Joe,2.4,1.2,0.7,0.1,0.5,1.4,9.5,1836090
Isaiah Livers,2.8,0.8,0.5,0.5,0.6,2,6.7,1563518
Isaiah Roby,5.6,1.8,0.9,0.6,1.9,2.7,8.7,1517981
Isaiah Roby,4.8,1.6,0.8,0.8,1,2.4,10.1,1782621
Isaiah Stewart,6.7,0.9,0.6,1.3,1,2.7,7.9,3121080
Isaiah Stewart,8.7,1.2,0.3,1.1,1.2,3,8.3,3277080
Isaiah Stewart,8.1,1.4,0.4,0.7,1.4,2.7,11.3,3433320
Isaiah Thomas,1.7,3.7,0.3,0.2,1.9,1.9,12.2,2320044
Ish Smith,2.6,3.6,0.5,0.2,1.1,1.9,8.9,6000000
Ish Smith,3.2,4.9,0.9,0.4,1.4,1.6,10.9,6000000
Ish Smith,3.4,3.9,0.7,0.3,0.9,1.4,6.7,6000000
Ish Smith,2.2,3.8,0.7,0.4,1.2,1.2,6.3,4500000
Ivan Rabb,4.2,1.1,0.3,0.3,0.7,1.8,5.8,1378242
Ivica Zubac,6.1,1.1,0.2,0.9,1.2,2.3,8.9,1544951
Ivica Zubac,7.5,1.1,0.2,0.9,0.8,2.3,8.3,6481482
Ivica Zubac,7.2,1.3,0.3,0.9,1.1,2.6,9,7000000
Ivica Zubac,8.5,1.6,0.5,1,1.5,2.7,10.3,7518518
Ivica Zubac,9.9,1,0.4,1.3,1.5,2.9,10.8,10123457
J.J. Barea,2.5,5.6,0.6,0,1.9,1.3,10.9,3710850
JJ Redick,2.4,2.7,0.4,0.2,1.3,1.7,18.1,12250000
JJ Redick,2.5,2,0.3,0.2,1.3,1.6,15.3,13486300
JJ Redick,1.5,1.2,0.3,0.1,0.8,1.1,7.4,13013700
Ja Morant,3.9,7.3,0.9,0.3,3.3,1.6,17.8,8730240
Ja Morant,4,7.4,0.9,0.2,3.2,1.4,19.1,9166800
Ja Morant,5.7,6.7,1.2,0.4,3.4,1.5,27.4,9603360
Ja Morant,5.9,8.1,1.1,0.3,3.4,1.6,26.2,12119440
Jabari Parker,6.6,2.4,0.7,0.5,2.4,2.3,14.5,20000000
Jabari Parker,5.6,1.8,1.2,0.4,1.7,2.6,14,6500000
Jabari Smith Jr.,7.2,1.3,0.5,0.9,1.3,2.9,12.8,8882640
Jabari Walker,2.3,0.6,0.2,0.2,0.5,1.2,3.9,1017781
Jaden Hardy,1.9,1.4,0.4,0.1,1,1.3,8.8,1017781
Jaden Ivey,3.9,5.2,0.8,0.2,3.2,3.3,16.3,7252200
Jaden McDaniels,3.7,1.1,0.6,1,0.7,2.7,6.8,1964760
Jaden McDaniels,4.2,1.1,0.7,0.8,1.1,3.2,9.2,2063280
Jaden McDaniels,3.9,1.9,0.9,1,1.4,3.4,12.1,2161440
Jae Crowder,4.8,1.7,0.8,0.4,1.1,2.1,11.9,7305825
Jae Crowder,5.9,2.5,1.1,0.4,1.1,2.2,10.5,7815533
Jae Crowder,4.7,2.1,0.8,0.5,0.9,2.1,10.1,9258000
Jae Crowder,5.3,1.9,1.4,0.4,0.8,2.6,9.4,9720900
Jae'Sean Tate,5.3,2.5,1.2,0.5,1.4,3.2,11.3,1445967
Jae'Sean Tate,5.4,2.8,0.9,0.5,1.8,3.7,11.8,1517981
Jae'Sean Tate,3.8,2.7,0.7,0.2,1.5,3.4,9.1,7065217
