date,Visiting,GF,Home,GF,Venue,Crowd,temp,hum,wind,precip
2/24/2018,Central Illinois,4,Team USA,7,USA Hockey Arena,734,40,74,10,0.03
2/25/2018,Youngstown,1,Team USA,4,USA Hockey Arena,619,42,74,15,0.04
3/3/2018,Omaha,2,Team USA,7,USA Hockey Arena,1077,34,56,7,0
3/4/2018,Muskegon,5,Team USA,4,USA Hockey Arena,650,32,57,7,0
3/15/2018,Madison,3,Team USA,10,USA Hockey Arena,559,32,57,13,0
3/16/2018,Madison,4,Team USA,6,USA Hockey Arena,814,30,52,14,0
3/23/2018,Chicago,4,Team USA,5,USA Hockey Arena,1355,35,50,9,0
3/24/2018,Chicago,4,Team USA,8,USA Hockey Arena,1267,33,51,9,0
3/30/2018,Youngstown,3,Team USA,2,USA Hockey Arena,1087,40,59,10,0
10/13/2017,Sioux City,1,Tri-City,3,Viaero Center,2162,58,67,14,0
10/20/2017,Omaha,1,Tri-City,4,Viaero Center,1936,66,63,22,0
10/21/2017,Lincoln,0,Tri-City,3,Viaero Center,1982,53,67,17,0
10/27/2017,Lincoln,1,Tri-City,6,Viaero Center,2037,32,47,17,0
11/10/2017,Waterloo,1,Tri-City,0,Viaero Center,1884,30,62,13,0
11/11/2017,Waterloo,0,Tri-City,1,Viaero Center,2673,43,74,4,0
11/17/2017,Des Moines,0,Tri-City,4,Viaero Center,2599,49,72,12,0.09
12/1/2017,Madison,2,Tri-City,5,Viaero Center,1931,39,63,7,0
12/2/2017,Madison,0,Tri-City,3,Viaero Center,2940,41,52,6,0
12/8/2017,Omaha,3,Tri-City,1,Viaero Center,2601,33,61,12,0
12/15/2017,Dubuque,4,Tri-City,2,Viaero Center,2075,36,60,11,0
12/16/2017,Dubuque,0,Tri-City,1,Viaero Center,1922,41,62,12,0
1/5/2018,Sioux City,4,Tri-City,5,Viaero Center,2167,12,88,8,0.001
1/6/2018,Omaha,4,Tri-City,1,Viaero Center,2342,15,79,11,0
1/12/2018,Des Moines,1,Tri-City,3,Viaero Center,1980,5,71,9,0.001
1/13/2018,Des Moines,2,Tri-City,1,Viaero Center,2384,9,81,9,0
1/26/2018,Central Illinois,2,Tri-City,0,Viaero Center,2487,37,68,13,0
1/27/2018,Central Illinois,0,Tri-City,4,Viaero Center,2916,34,65,8,0
2/9/2018,Fargo,3,Tri-City,1,Viaero Center,2632,12,84,19,0
2/10/2018,Fargo,6,Tri-City,3,Viaero Center,2657,6,75,9,0
2/14/2018,Omaha,1,Tri-City,0,Viaero Center,1664,32,75,6,0
3/2/2018,Cedar Rapids,4,Tri-City,1,Viaero Center,2370,47,44,17,0
3/10/2018,Team USA,8,Tri-City,2,Viaero Center,2667,43,60,13,0
3/11/2018,Team USA,9,Tri-City,5,Viaero Center,1924,32,67,15,0
3/23/2018,Sioux Falls,1,Tri-City,2,Viaero Center,2349,55,73,17,0.31
3/24/2018,Sioux Falls,4,Tri-City,3,Viaero Center,3467,37,86,13,0
4/4/2018,Omaha,3,Tri-City,0,Viaero Center,707,37,55,12,0
4/6/2018,Lincoln,6,Tri-City,2,Viaero Center,2529,28,81,17,0.03
10/14/2017,Dubuque,1,Waterloo,0,Young Arena,2813,59,93,11,1.15
10/27/2017,Fargo,3,Waterloo,1,Young Arena,1845,34,78,17,0.01
10/28/2017,Madison,5,Waterloo,1,Young Arena,1961,29,78,10,0
11/17/2017,Dubuque,2,Waterloo,3,Young Arena,2555,37,89,12,0.08
11/18/2017,Green Bay,1,Waterloo,3,Young Arena,2334,33,79,19,0.05
11/23/2017,Cedar Rapids,2,Waterloo,5,Young Arena,2962,36,60,5,0
12/8/2017,Fargo,5,Waterloo,3,Young Arena,2055,27,63,9,0.001
12/9/2017,Fargo,4,Waterloo,2,Young Arena,2585,25,60,14,0.001
12/29/2017,Lincoln,3,Waterloo,4,Young Arena,2220,7,79,8,0.2
12/31/2017,Des Moines,2,Waterloo,5,Young Arena,2603,-10,69,10,0.03
1/6/2018,Central Illinois,2,Waterloo,7,Young Arena,2412,-5,76,9,0
1/14/2018,Omaha,2,Waterloo,5,Young Arena,1986,6,79,9,0.1
1/20/2018,Muskegon,4,Waterloo,1,Young Arena,3062,36,77,2,0
1/27/2018,Cedar Rapids,3,Waterloo,7,Young Arena,3176,36,67,8,0
1/28/2018,Sioux Falls,3,Waterloo,2,Young Arena,1859,22,79,11,0.001
2/2/2018,Tri-City,1,Waterloo,4,Young Arena,2505,8,61,7,0.02
2/3/2018,Tri-City,2,Waterloo,4,Young Arena,2727,28,72,9,0.09
2/6/2018,Chicago,2,Waterloo,3,Young Arena,1450,-2,75,4,0.01
2/10/2018,Cedar Rapids,1,Waterloo,4,Young Arena,3127,6,70,6,0.02
2/24/2018,Lincoln,8,Waterloo,5,Young Arena,3078,27,92,13,0.23
2/27/2018,Sioux City,1,Waterloo,2,Young Arena,2349,46,79,8,0
3/10/2018,Dubuque,1,Waterloo,5,Young Arena,3213,28,77,8,0
3/16/2018,Team USA,1,Waterloo,6,Young Arena,2603,34,70,17,0.09
3/17/2018,Team USA,4,Waterloo,6,Young Arena,2455,37,67,6,0.001
3/24/2018,Sioux City,3,Waterloo,6,Young Arena,2333,31,82,17,0.67
3/31/2018,Dubuque,3,Waterloo,7,Young Arena,2591,33,68,21,0.01
4/3/2018,Sioux City,3,Waterloo,4,Young Arena,2056,25,92,14,0.16
4/6/2018,Sioux Falls,3,Waterloo,5,Young Arena,2953,26,60,20,0
4/7/2018,Sioux Falls,1,Waterloo,4,Young Arena,3263,24,68,9,0
10/7/2017,Central Illinois,4,Youngstown,2,Covelli Centre,1309,61,89,13,0.85
10/8/2017,Central Illinois,5,Youngstown,1,Covelli Centre,521,63,64,9,0
10/20/2017,Green Bay,2,Youngstown,1,Covelli Centre,1510,61,68,13,0
10/21/2017,Muskegon,3,Youngstown,2,Covelli Centre,720,62,75,15,0.95
10/27/2017,Muskegon,1,Youngstown,3,Covelli Centre,736,34,78,17,0.01
11/17/2017,Team USA,8,Youngstown,5,Covelli Centre,1088,37,89,12,0.08
11/18/2017,Chicago,3,Youngstown,4,Covelli Centre,1301,33,79,19,0.05
11/22/2017,Muskegon,3,Youngstown,7,Covelli Centre,702,23,63,8,0
12/1/2017,Team USA,0,Youngstown,2,Covelli Centre,1207,37,55,8,0
12/14/2017,Cedar Rapids,1,Youngstown,2,Covelli Centre,145,21,73,6,0
12/15/2017,Cedar Rapids,3,Youngstown,1,Covelli Centre,1799,31,66,10,0.001
12/28/2017,Madison,7,Youngstown,5,Covelli Centre,1120,9,74,10,0.07
12/29/2017,Madison,4,Youngstown,1,Covelli Centre,1881,7,79,8,0.2
1/15/2018,Team USA,7,Youngstown,1,Covelli Centre,698,8,78,18,0.01
1/19/2018,Tri-City,5,Youngstown,1,Covelli Centre,1742,32,72,10,0
1/20/2018,Tri-City,2,Youngstown,1,Covelli Centre,2728,36,77,2,0
1/27/2018,Dubuque,5,Youngstown,6,Covelli Centre,2745,36,67,8,0
1/28/2018,Dubuque,1,Youngstown,2,Covelli Centre,874,22,79,11,0.001
2/13/2018,Central Illinois,4,Youngstown,5,Covelli Centre,444,17,72,11,0
2/16/2018,Waterloo,1,Youngstown,2,Covelli Centre,1016,17,73,12,0
2/17/2018,Waterloo,2,Youngstown,5,Covelli Centre,2875,24,84,9,0.06
2/22/2018,Omaha,8,Youngstown,1,Covelli Centre,801,29,82,13,0.06
3/9/2018,Des Moines,1,Youngstown,4,Covelli Centre,1371,22,76,5,0
3/10/2018,Des Moines,1,Youngstown,0,Covelli Centre,2208,28,77,8,0
3/31/2018,Team USA,1,Youngstown,6,Covelli Centre,1183,33,68,21,0.01
4/6/2018,Chicago,4,Youngstown,7,Covelli Centre,1089,26,60,20,0
4/7/2018,Chicago,5,Youngstown,2,Covelli Centre,2433,24,68,9,0
