Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
48,2024-09-23,Commanders,Bengals,-7.5,7.5,7.5,0.26,0.74,264562,0,,,,,,,,,,,,,,,,,,,,,,,
49,2024-09-26,Cowboys,Giants,5.5,-5.5,5.5,0.82,0.18,372019,1,,,,,,,,,,,,,,,,,,,,,,,
50,2024-09-29,Broncos,Jets,-8,8,8,0.41,0.59,130741,0,,,,,,,,,,,,,,,,,,,,,,,
51,2024-09-29,Bengals,Panthers,4.5,-4.5,4.5,0.73,0.27,130857,1,,,,,,,,,,,,,,,,,,,,,,,
52,2024-09-29,Eagles,Buccaneers,1,-1,1,0.5,0.5,124374,1,,,,,,,,,,,,,,,,,,,,,,,
53,2024-09-29,Rams,Bears,-3,3,3,0.77,0.23,127414,0,,,,,,,,,,,,,,,,,,,,,,,
54,2024-09-29,Saints,Falcons,-2.5,2.5,2.5,0.73,0.27,118250,0,,,,,,,,,,,,,,,,,,,,,,,
55,2024-09-29,Jaguars,Texans,-5.5,5.5,5.5,0.4,0.6,120366,0,,,,,,,,,,,,,,,,,,,,,,,
56,2024-09-29,Vikings,Packers,-2.5,2.5,2.5,0.78,0.22,152026,0,,,,,,,,,,,,,,,,,,,,,,,
57,2024-09-29,Steelers,Colts,2.5,-2.5,2.5,0.58,0.42,156429,1,,,,,,,,,,,,,,,,,,,,,,,
58,2024-09-29,Patriots,49ers,-10.5,10.5,10.5,0.33,0.67,81637,0,,,,,,,,,,,,,,,,,,,,,,,
59,2024-09-29,Commanders,Cardinals,-3.5,3.5,3.5,0.53,0.47,154500,0,,,,,,,,,,,,,,,,,,,,,,,
60,2024-09-29,Chiefs,Chargers,7,-7,7,0.54,0.46,129792,1,,,,,,,,,,,,,,,,,,,,,,,
61,2024-09-29,Browns,Raiders,2.5,-2.5,2.5,0.5,0.5,77729,1,,,,,,,,,,,,,,,,,,,,,,,
62,2024-09-29,Bills,Ravens,-2.5,2.5,2.5,0.71,0.29,307421,0,,,,,,,,,,,,,,,,,,,,,,,
63,2024-09-30,Titans,Dolphins,-2.5,2.5,2.5,0.49,0.51,196208,0,,,,,,,,,,,,,,,,,,,,,,,
64,2024-09-30,Seahawks,Lions,-4.5,4.5,4.5,0.51,0.49,266763,0,,,,,,,,,,,,,,,,,,,,,,,
65,2024-10-03,Buccaneers,Falcons,-2.5,2.5,2.5,0.7,0.3,342019,0,,,,,,,,,,,,,,,,,,,,,,,
66,2024-10-06,Jets,Vikings,-2.5,2.5,2.5,0.32,0.68,140485,0,,,,,,,,,,,,,,,,,,,,,,,
67,2024-10-06,Dolphins,Patriots,2,-2,2,0.39,0.61,69379,1,,,,,,,,,,,,,,,,,,,,,,,
68,2024-10-06,Panthers,Bears,-4,4,4,0.41,0.59,121047,0,,,,,,,,,,,,,,,,,,,,,,,
69,2024-10-06,Colts,Jaguars,-3.5,3.5,3.5,0.64,0.36,113429,0,,,,,,,,,,,,,,,,,,,,,,,
