Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
206,2024-12-08,Bills,Rams,3.5,-3.5,3.5,0.72,0.28,128782,1,,,,,,,,,,,,,,,,,,,,,,,
207,2024-12-08,Chargers,Chiefs,-4.5,4.5,4.5,0.56,0.44,219341,0,,,,,,,,,,,,,,,,,,,,,,,
208,2024-12-09,Bengals,Cowboys,4.5,-4.5,4.5,0.49,0.51,291446,1,,,,,,,,,,,,,,,,,,,,,,,
209,2024-12-12,Rams,49ers,-3,3,3,0.68,0.32,284651,0,,,,,,,,,,,,,,,,,,,,,,,
210,2024-12-15,Cowboys,Panthers,-2.5,2.5,2.5,0.72,0.28,112843,0,,,,,,,,,,,,,,,,,,,,,,,
211,2024-12-15,Chiefs,Browns,4,-4,4,0.57,0.43,125162,1,,,,,,,,,,,,,,,,,,,,,,,
212,2024-12-15,Dolphins,Texans,-2.5,2.5,2.5,0.62,0.38,124738,0,,,,,,,,,,,,,,,,,,,,,,,
213,2024-12-15,Bengals,Titans,6,-6,6,0.83,0.17,117544,1,,,,,,,,,,,,,,,,,,,,,,,
214,2024-12-15,Commanders,Saints,7.5,-7.5,7.5,0.77,0.23,121340,1,,,,,,,,,,,,,,,,,,,,,,,
215,2024-12-15,Jets,Jaguars,3.5,-3.5,3.5,0.7,0.3,75599,1,,,,,,,,,,,,,,,,,,,,,,,
216,2024-12-15,Ravens,Giants,16.5,-16.5,16.5,0.52,0.48,94259,1,,,,,,,,,,,,,,,,,,,,,,,
217,2024-12-15,Steelers,Eagles,-5.5,5.5,5.5,0.75,0.25,134149,0,,,,,,,,,,,,,,,,,,,,,,,
218,2024-12-15,Colts,Broncos,-4.5,4.5,4.5,0.37,0.63,104200,0,,,,,,,,,,,,,,,,,,,,,,,
219,2024-12-15,Bills,Lions,-2.5,2.5,2.5,0.69,0.31,175301,0,,,,,,,,,,,,,,,,,,,,,,,
220,2024-12-15,Buccaneers,Chargers,-3,3,3,0.68,0.32,90276,0,,,,,,,,,,,,,,,,,,,,,,,
221,2024-12-15,Patriots,Cardinals,-6,6,6,0.33,0.67,82541,0,,,,,,,,,,,,,,,,,,,,,,,
222,2024-12-15,Packers,Seahawks,3,-3,3,0.54,0.46,180289,1,,,,,,,,,,,,,,,,,,,,,,,
223,2024-12-16,Bears,Vikings,-7,7,7,0.22,0.78,231165,0,,,,,,,,,,,,,,,,,,,,,,,
224,2024-12-16,Falcons,Raiders,6,-6,6,0.85,0.15,175775,1,,,,,,,,,,,,,,,,,,,,,,,
225,2024-12-19,Broncos,Chargers,-2.5,2.5,2.5,0.66,0.34,218634,0,,,,,,,,,,,,,,,,,,,,,,,
226,2024-12-21,Texans,Chiefs,-3,3,3,0.61,0.39,143171,0,,,,,,,,,,,,,,,,,,,,,,,
227,2024-12-21,Steelers,Ravens,-7,7,7,0.59,0.41,172600,0,,,,,,,,,,,,,,,,,,,,,,,
228,2024-12-22,Browns,Bengals,-10,10,10,0.19,0.81,127792,0,,,,,,,,,,,,,,,,,,,,,,,
229,2024-12-22,Rams,Jets,3,-3,3,0.76,0.24,113575,1,,,,,,,,,,,,,,,,,,,,,,,
230,2024-12-22,Eagles,Commanders,4,-4,4,0.74,0.26,129792,1,,,,,,,,,,,,,,,,,,,,,,,
231,2024-12-22,Cardinals,Panthers,5.5,-5.5,5.5,0.71,0.29,101494,1,,,,,,,,,,,,,,,,,,,,,,,
232,2024-12-22,Titans,Colts,-4,4,4,0.33,0.67,73448,0,,,,,,,,,,,,,,,,,,,,,,,
233,2024-12-22,Lions,Bears,6.5,-6.5,6.5,0.85,0.15,146594,1,,,,,,,,,,,,,,,,,,,,,,,
234,2024-12-22,Giants,Falcons,-9.5,9.5,9.5,0.39,0.61,88448,0,,,,,,,,,,,,,,,,,,,,,,,
235,2024-12-22,Vikings,Seahawks,2.5,-2.5,2.5,0.67,0.33,120537,1,,,,,,,,,,,,,,,,,,,,,,,
236,2024-12-22,Patriots,Bills,-14,14,14,0.19,0.81,110359,0,,,,,,,,,,,,,,,,,,,,,,,
237,2024-12-22,49ers,Dolphins,2,-2,2,0.34,0.66,98995,1,,,,,,,,,,,,,,,,,,,,,,,
238,2024-12-22,Jaguars,Raiders,-2.5,2.5,2.5,0.7,0.3,71621,0,,,,,,,,,,,,,,,,,,,,,,,
239,2024-12-22,Buccaneers,Cowboys,4.5,-4.5,4.5,0.77,0.23,206042,1,,,,,,,,,,,,,,,,,,,,,,,
240,2024-12-23,Saints,Packers,-14,14,14,0.43,0.57,198328,0,,,,,,,,,,,,,,,,,,,,,,,
241,2024-12-25,Chiefs,Steelers,1.5,-1.5,1.5,0.5,0.5,254763,1,,,,,,,,,,,,,,,,,,,,,,,
242,2024-12-25,Ravens,Texans,6.5,-6.5,6.5,0.61,0.39,279461,1,,,,,,,,,,,,,,,,,,,,,,,
243,2024-12-26,Seahawks,Bears,4,-4,4,0.72,0.28,221305,1,,,,,,,,,,,,,,,,,,,,,,,
244,2024-12-28,Chargers,Patriots,6,-6,6,0.78,0.22,139354,1,,,,,,,,,,,,,,,,,,,,,,,
245,2024-12-28,Broncos,Bengals,-3,3,3,0.56,0.44,186216,0,,,,,,,,,,,,,,,,,,,,,,,
246,2024-12-28,Cardinals,Rams,-6.5,6.5,6.5,0.36,0.64,139213,0,,,,,,,,,,,,,,,,,,,,,,,
247,2024-12-29,Jets,Bills,-10,10,10,0.32,0.68,142040,0,,,,,,,,,,,,,,,,,,,,,,,
248,2024-12-29,Raiders,Saints,1.5,-1.5,1.5,0.51,0.49,75730,1,,,,,,,,,,,,,,,,,,,,,,,
249,2024-12-29,Colts,Giants,7.5,-7.5,7.5,0.76,0.24,114837,1,,,,,,,,,,,,,,,,,,,,,,,
250,2024-12-29,Panthers,Buccaneers,-10,10,10,0.46,0.54,153768,0,,,,,,,,,,,,,,,,,,,,,,,
251,2024-12-29,Titans,Jaguars,0,0,0,0.53,0.47,75200,0,,,,,,,,,,,,,,,,,,,,,,,
252,2024-12-29,Cowboys,Eagles,-7.5,7.5,7.5,0.45,0.55,114999,0,,,,,,,,,,,,,,,,,,,,,,,
253,2024-12-29,Dolphins,Browns,3,-3,3,0.69,0.31,94118,1,,,,,,,,,,,,,,,,,,,,,,,
254,2024-12-29,Packers,Vikings,-1,1,1,0.56,0.44,173584,0,,,,,,,,,,,,,,,,,,,,,,,
255,2024-12-29,Falcons,Commanders,-3.5,3.5,3.5,0.33,0.67,211172,0,,,,,,,,,,,,,,,,,,,,,,,
256,2024-12-30,Lions,49ers,3.5,-3.5,3.5,0.82,0.18,243262,1,,,,,,,,,,,,,,,,,,,,,,,
257,2025-01-04,Browns,Ravens,-20,20,20,0.48,0.52,150305,0,,,,,,,,,,,,,,,,,,,,,,,
258,2025-01-04,Bengals,Steelers,2.5,-2.5,2.5,0.56,0.44,226919,1,,,,,,,,,,,,,,,,,,,,,,,
259,2025-01-05,Bills,Patriots,3,-3,3,0.7,0.3,48775,1,,,,,,,,,,,,,,,,,,,,,,,
260,2025-01-05,Texans,Titans,-2.5,2.5,2.5,0.75,0.25,54622,0,,,,,,,,,,,,,,,,,,,,,,,
261,2025-01-05,Jaguars,Colts,-3.5,3.5,3.5,0.43,0.57,57343,0,,,,,,,,,,,,,,,,,,,,,,,
262,2025-01-05,Commanders,Cowboys,7,-7,7,0.7,0.29,96536,1,,,,,,,,,,,,,,,,,,,,,,,
263,2025-01-05,Saints,Buccaneers,-14.5,14.5,14.5,0.16,0.84,119649,0,,,,,,,,,,,,,,,,,,,,,,,
264,2025-01-05,Panthers,Falcons,-8,8,8,0.38,0.62,89271,0,,,,,,,,,,,,,,,,,,,,,,,
265,2025-01-05,Bears,Packers,-10,10,10,0.22,0.78,72322,0,,,,,,,,,,,,,,,,,,,,,,,
266,2025-01-05,Giants,Eagles,-3,3,3,0.28,0.72,60791,0,,,,,,,,,,,,,,,,,,,,,,,
267,2025-01-05,Chargers,Raiders,7,-7,7,0.8,0.2,78184,1,,,,,,,,,,,,,,,,,,,,,,,
268,2025-01-05,Seahawks,Rams,7,-7,7,0.42,0.58,85999,1,,,,,,,,,,,,,,,,,,,,,,,
269,2025-01-05,Dolphins,Jets,-2,2,2,0.69,0.31,97798,0,,,,,,,,,,,,,,,,,,,,,,,
270,2025-01-05,49ers,Cardinals,-4.5,4.5,4.5,0.59,0.41,62937,0,,,,,,,,,,,,,,,,,,,,,,,
271,2025-01-05,Chiefs,Broncos,-11,11,11,0.77,0.23,120891,0,,,,,,,,,,,,,,,,,,,,,,,
272,2025-01-05,Vikings,Lions,-3,3,3,0.58,0.42,296727,0,,,,,,,,,,,,,,,,,,,,,,,
