Player,Season,Cap,cap_pct,Rk,Team,Cap.Hit,Salary,Signed.Using,Guaranteed,player_season,tag.y,Pos,Age,G,MP,PER,TS,X3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP
Jeff Teague,2018,99093000,0.1917,46,MIN,19000000,19000000,Cap space,38000000,teaguje01_2018,teaguje01,PG,29,70,2311,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4
Jeff Teague,2019,101869000,0.1865,51,MIN,19000000,19000000,Cap space,19000000,teaguje01_2019,teaguje01,PG,30,42,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5
Jeff Teague,2020,109140000,0.1741,58,MIN,19000000,,Cap space,19000000,teaguje01_2020,teaguje01,PG,31,59,1464,14.6,0.557,0.239,0.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,1.9,0.6,2.5,0.082,-0.2,-1.3,-1.5,0.2
Jeff Teague,2021,109140000,0.0235,305,BOS,2564753,,Minimum Salary,2564753,teaguje01_2021,teaguje01,PG,32,55,950,12.3,0.562,0.289,0.37,1.7,8.3,5.1,18.3,1.7,1.2,16.2,17.7,0.8,0.8,1.6,0.079,-1.7,-0.4,-2.1,0
Jeff Withey,2014,58679000,0.0084,498,NOP,490180,490180,Minimum Salary,490180,witheje01_2014,witheje01,C,23,58,684,15.2,0.59,0.008,0.566,8.2,17.4,12.7,5.6,1.1,6.1,11,12,1.2,0.6,1.8,0.128,-0.5,0.7,0.2,0.4
Jeff Withey,2015,63065000,0.0129,433,NOP,816482,,Minimum Salary,816482,witheje01_2015,witheje01,C,24,37,259,17.6,0.57,0,0.781,10.1,17.9,14,6.4,0.8,5.3,12.2,17.3,0.5,0.3,0.8,0.149,-0.4,-0.1,-0.5,0.1
Jeff Withey,2016,70000000,0.0135,407,UTA,947276,1015696,Minimum Salary,947276,witheje01_2016,witheje01,C,25,51,658,17.7,0.577,0.012,0.364,10,20.7,15.4,5,1.7,6.8,13,15.1,1.1,1.3,2.3,0.171,-1,2,1,0.5
Jeff Withey,2017,94143000,0.0108,409,UTA,1015696,,,,witheje01_2017,witheje01,C,26,51,432,18.8,0.588,0.01,0.466,14.3,17.9,16.2,2.5,1.9,6,10.1,14.9,1,0.9,1.8,0.205,-0.4,1.9,1.4,0.4
Jeff Withey,2018,99093000,0.0159,358,DAL,1577320,1795015,,350000,witheje01_2018,witheje01,C,27,9,39,8.3,0.444,0.625,0.125,2.8,26.6,14.2,0,0,6.8,10.6,22,-0.1,0.1,0,-0.054,-4.4,-0.6,-5,0
Jerami Grant,2015,63065000,0.014,419,PHI,884879,845059,Draft Pick,1729938,grantje01_2015,grantje01,SF,20,65,1377,8.7,0.47,0.443,0.548,3.7,12.3,7.8,9.4,1.5,4,16.3,16.5,-0.9,1.4,0.5,0.019,-3.9,0.6,-3.3,-0.5
