sun,mon,tue,wed,thu,fri,sat,apr,may,june,july,aug,winpct,temp,opday,merch,food,fireworks,early,mid,turnstile,nonpaid,paid,percap,nonpaidratio
0,0,0,1,0,0,0,0,0,1,0,0,0.486111111,90,0,0,0,0,0,0,1931,598,1333,11.47205521,0.309684102
0,0,0,0,1,0,0,0,0,1,0,0,0.493150685,90,0,0,1,0,0,0,2197,853,1344,7.468940568,0.388256714
0,0,0,0,0,1,0,0,0,1,0,0,0.5,80,0,0,1,1,0,0,3541,569,2972,10.04076087,0.160689071
0,0,0,0,0,0,1,0,0,1,0,0,0.506666667,78,0,0,1,0,0,0,5528,3677,1851,6.115581511,0.66515919
1,0,0,0,0,0,0,0,0,1,0,0,0.513157895,83,0,0,1,0,0,1,1805,368,1437,8.680422672,0.203878116
0,1,0,0,0,0,0,0,0,1,0,0,0.519480519,66,0,0,0,0,0,0,2599,1435,1164,6.338713904,0.552135437
0,0,0,1,0,0,0,0,0,0,1,0,0.511627907,89,0,0,0,1,0,0,6175,1027,5148,7.018635478,0.166315789
0,0,0,0,1,0,0,0,0,0,1,0,0.505747126,80,0,0,1,0,0,0,4121,2540,1581,6.451689847,0.616355254
0,0,0,0,0,1,0,0,0,0,1,0,0.5,91,0,0,1,0,0,0,3591,2046,1545,5.313531746,0.569757728
0,0,0,0,1,0,0,0,0,0,1,0,0.483516484,87,0,0,1,0,0,0,1738,260,1478,7.1350913,0.149597238
0,0,0,0,1,0,0,0,0,0,1,0,0.47826087,87,0,0,1,0,0,0,1737,326,1411,7.1350913,0.187679908
0,0,0,0,0,0,1,0,0,0,1,0,0.47311828,89,0,0,1,0,0,0,5082,3024,2058,6.480651313,0.595041322
1,0,0,0,0,0,0,0,0,0,1,0,0.468085106,79,0,0,1,0,0,0,2793,767,2026,7.939410095,0.274615109
0,0,0,0,0,1,0,0,0,0,1,0,0.464646465,77,0,0,1,0,0,0,3488,1945,1543,6.270936391,0.557626147
0,0,0,0,0,0,1,0,0,0,1,0,0.46,85,0,0,1,1,0,0,4038,2142,1896,6.51573289,0.530460624
1,0,0,0,0,0,0,0,0,0,1,0,0.465346535,87,0,0,1,0,0,1,3170,555,2615,7.612088152,0.175078864
0,1,0,0,0,0,0,0,0,0,1,0,0.460784314,93,0,0,0,0,0,0,3663,2301,1362,6.172188463,0.628173628
0,0,0,0,0,0,1,0,0,0,1,0,0.476635514,73,0,0,1,1,0,0,3609,1795,1814,5.742444574,0.497367692
0,1,0,0,0,0,0,0,0,0,1,0,0.481818182,83,0,0,0,0,0,0,5142,3565,1577,4.997015385,0.693309996
0,0,1,0,0,0,0,0,0,0,1,0,0.477477477,83,0,0,0,0,1,0,2600,929,1671,6.874475819,0.357307692
0,1,0,0,0,0,0,0,0,0,0,1,0.47826087,77,0,0,0,0,0,1,3329,1545,1784,7.183930493,0.464103334
0,0,1,0,0,0,0,0,0,0,0,1,0.478632479,86,0,0,0,0,0,0,4460,2136,2324,7.844130059,0.478923767
1,0,0,0,0,0,0,0,0,0,0,1,0.491803279,81,0,0,1,0,1,0,2891,618,2273,5.694466079,0.213766863
0,1,0,0,0,0,0,0,0,0,0,1,0.483870968,82,0,0,0,0,0,0,4879,3162,1717,10.36747,0.648083624
0,0,0,1,0,0,0,0,0,0,0,1,0.488,78,0,0,0,0,0,1,4798,3162,1636,6.947544372,0.659024594
0,0,0,1,0,0,0,0,0,0,0,1,0.484126984,78,0,0,0,0,0,0,4798,3162,1636,6.947544372,0.659024594
0,0,0,0,1,0,0,0,0,0,0,1,0.488188976,78,0,0,1,0,0,0,4113,2308,1805,7.645093083,0.561147581
0,0,0,0,0,1,0,0,0,0,0,1,0.484375,74,0,1,1,1,0,0,7359,4409,2950,6.436157755,0.599130317
0,0,0,0,0,0,1,0,0,0,0,1,0.480620155,71,0,1,1,0,0,0,4133,2093,2040,5.946825927,0.506411807
1,0,0,0,0,0,0,0,0,0,0,1,0.484615385,76,0,0,1,0,0,1,2993,1082,1911,5.366190476,0.36151019
0,1,0,0,0,0,0,0,0,0,0,1,0.480916031,69,0,0,0,0,0,0,3843,2364,1479,5.93641863,0.615144418
