date,TeamA,TeamB,bestodds,bestodds,pct bets A,pct bet B,Number of bets,TeamA,TeamB,A_bestodds,B_bestodds,pct bets A,pct bet B,c_Total,c_TotalResult,c_AwaySP,c_HomeSP,c_AwayScore,c_HomeScore
3/30/2024,BOS,SEA,o7.5+100,u7+104,0.59,0.41,18649,BOS,SEA,425,-150,0.26,0.74,7.5,Under,K. Crawford,L. Gilbert,3,4
3/31/2024,ATL,PHI,o8+100,u8-110,0.67,0.33,33220,ATL,PHI,-144,126,0.71,0.29,8,Over,C. Sale,R. Suarez,4,5
3/31/2024,LAA,BAL,o8.5-110,u8.5+100,0.66,0.34,39768,LAA,BAL,128,-140,0.05,0.95,8.5,Under,R. Detmers,T. Wells,4,1
3/31/2024,WAS,CIN,o9.5+100,u9.5-108,0.67,0.33,19907,WAS,CIN,146,-170,0.14,0.86,9.5,Over,J. Irvin,N. Martinez,5,6
3/31/2024,MIL,NYM,o8-108,u8-108,0.57,0.43,16085,MIL,NYM,120,-135,0.57,0.43,8,Under,C. Rea,Ty. Megill,4,1
3/31/2024,PIT,MIA,o8.5+100,u8.5-110,0.76,0.24,19871,PIT,MIA,128,-143,0.55,0.45,8.5,Over,B. Falter,Tr. Rogers,9,7
3/31/2024,TOR,TB,o8-110,u8+100,0.38,0.62,22072,TOR,TB,-120,235,0.78,0.22,8,Over,K. Gausman,S. Armstrong,9,2
3/31/2024,DET,CHW,o8-103,u7.5+100,0.55,0.45,19392,DET,CHW,-144,135,0.54,0.46,7.5,Under,J. Flaherty,E. Fedde,3,2
3/31/2024,NYY,HOU,o9.5-104,u9.5-105,0.57,0.43,21911,NYY,HOU,100,-117,0.38,0.62,9.5,Under,C. Schmidt,J. France,4,3
3/31/2024,MIN,KC,o9-106,u9+100,0.7,0.3,27727,MIN,KC,-120,107,0.74,0.26,9,Over,B. Ober,B. Singer,0,11
3/31/2024,CHC,TEX,o9-109,u9+100,0.73,0.27,20002,CHC,TEX,122,-127,0.22,0.78,9.5,Over,J. Wicks,Jon. Gray,9,5
3/31/2024,CLE,OAK,o8.5-105,u8.5-108,0.41,0.59,29080,CLE,OAK,-118,105,0.89,0.11,8.5,Under,C. Carrasco,P. Blackburn,3,4
3/31/2024,BOS,SEA,o8+100,u7.5+100,0.57,0.43,14005,BOS,SEA,115,-112,0.41,0.59,8,Under,G. Whitlock,Br. Miller,5,1
3/31/2024,SF,SD,o9+100,u8.5+100,0.38,0.62,14227,SF,SD,136,-140,0.35,0.65,9,Over,D. Jefferies,M. King,4,13
3/31/2024,COL,AZ,o9+100,u9-109,0.71,0.29,23133,COL,AZ,180,-198,0.09,0.91,9,Under,R. Feltner,B. Pfaadt,1,5
3/31/2024,STL,LAD,o9+105,u8.5+100,0.7,0.3,46624,STL,LAD,158,-165,0.26,0.74,9,Push,S. Matz,G. Stone,4,5
4/1/2024,ATL,CHW,o9+100,u9-105,0.94,0.06,46175,ATL,CHW,-278,275,0.93,0.07,9,Push,C. Morton,C. Flexen,9,0
4/1/2024,COL,CHC,o7-115,u7+104,0.5,0.5,31438,COL,CHC,215,-225,0.14,0.86,7,Under,Dak. Hudson,S. Imanaga,0,5
4/1/2024,PIT,WAS,o8.5-105,u8.5-105,0.32,0.68,27222,PIT,WAS,100,-104,0.51,0.49,8.5,Over,M. Gonzales,M. Gore,8,4
4/1/2024,KC,BAL,o8-115,u8+100,0.75,0.25,45347,KC,BAL,145,-155,0.12,0.88,8,Over,M. Wacha,D. Kremer,4,6
4/1/2024,CIN,PHI,o8.5+100,u8-105,0.45,0.55,36320,CIN,PHI,126,-141,0.37,0.63,8,Over,A. Abbott,C. Sanchez,6,3
4/1/2024,LAA,MIA,o9+102,u8.5+100,0.73,0.27,21174,LAA,MIA,105,-108,0.08,0.92,9,Over,C. Silseth,M. Meyer,7,4
4/1/2024,TEX,TB,o8.5-104,u8.5-110,0.59,0.41,26349,TEX,TB,110,-120,0.4,0.6,8.5,Over,D. Dunning,R. Pepiot,9,3
4/1/2024,DET,NYM,o7.5+105,u7.5-120,0.08,0.92,28621,DET,NYM,120,-135,0.29,0.71,7.5,Under,R. Olson,S. Manaea,5,0
4/1/2024,TOR,HOU,o9-114,u9-102,0,0,24819,TOR,HOU,130,-145,0.16,0.84,9,Over,B. Francis,R. Blanco,0,10
4/1/2024,NYY,AZ,o10-105,u9.5-102,0.43,0.57,36259,NYY,AZ,-120,108,0.62,0.38,9.5,Under,L. Gil,R. Nelson,5,2
4/1/2024,BOS,OAK,o8.5-104,u8-103,0.7,0.3,37047,BOS,OAK,-150,140,0.96,0.04,8.5,Over,T. Houck,J. Boyle,9,0
4/1/2024,STL,SD,o8-104,u8-105,0.55,0.45,21285,STL,SD,110,-110,0.29,0.71,8,Push,K. Gibson,M. Waldron,6,2
4/1/2024,CLE,SEA,o8-105,u7.5+100,0.13,0.87,23188,CLE,SEA,-112,-102,0.65,0.35,8,Over,T. McKenzie,E. Hancock,4,5
4/1/2024,SF,LAD,o8.5-105,u8.5-104,0.7,0.3,44352,SF,LAD,200,-198,0.29,0.71,8.5,Over,K. Winn,J. Paxton,3,8
4/2/2024,MIN,MIL,o8.5-112,u8.5-104,0.5,0.5,39410,MIN,MIL,100,-115,0.39,0.61,8.5,Under,L. Varland,J. Junis,2,3
4/2/2024,KC,BAL,o8.5-105,u8.5-105,0.75,0.25,36805,KC,BAL,145,-160,0.1,0.9,8.5,Under,A. Marsh,C. Irvin,4,1
4/2/2024,CIN,PHI,o8.5+110,u8+100,0.47,0.53,26934,CIN,PHI,123,-138,0.61,0.39,8,Over,G. Ashcraft,S. Turnbull,4,9
4/2/2024,LAA,MIA,o9-102,u8.5+100,0.54,0.46,36073,LAA,MIA,125,-140,0.23,0.77,9,Under,T. Anderson,J. Luzardo,3,1
4/2/2024,TEX,TB,o8.5+100,u8.5-112,0.64,0.36,29302,TEX,TB,135,-155,0.53,0.47,8.5,Under,A. Heaney,Z. Eflin,2,5
4/2/2024,ATL,CHW,o9+100,u9-113,0.65,0.35,39985,ATL,CHW,-180,185,0.96,0.04,9,Under,R. Lopez,G. Crochet,2,3
4/2/2024,COL,CHC,o8.5-105,u7.5+100,0.72,0.28,33654,COL,CHC,163,-178,0.11,0.89,8.5,Over,K. Freeland,J. Assad,2,12
4/2/2024,TOR,HOU,o8.5-104,u8.5-105,0.27,0.73,36234,TOR,HOU,134,-140,0.31,0.69,8.5,Under,J. Berrios,F. Valdez,2,1
