Team,Season,League,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,ln1divwmin1
Albany,2012,America East Conference,1,34,40.1,24.8,55.5,0.45,7.2,19.8,0.36,15.4,20.4,0.76,12.6,16.9,11.1,21.7,32.8,12.5,5.7,2.8,72.1,3,0.56,0.51,156.6,34.9,69.7,52.1,50.4,16.4,8.4,7.5,1.3,49.9,107.7,103.2,4.5,2277.7,66.7,5,5,0,0,0,0,0,0,89,3,0,1.5,1,0.4,0.28,19,15,0.56,-0.24
Binghamton,2012,America East Conference,9,31,40.2,20.2,50.9,0.4,4.3,14.1,0.3,12.1,17.4,0.7,14.9,17.9,8.2,20.2,28.4,11.2,6,2.2,56.8,9,0.49,0.44,139.8,26.3,69.9,47.3,55.2,20.3,9.1,6.2,1.1,30.9,85.8,106.8,-21,2053,66,9,4,0,0,0,0,2,0,74,-13.9,3,1.55,0.7,0.4,0.24,2,29,0.07,2.65
Boston University,2012,America East Conference,5,32,40.2,22.7,53.7,0.42,6.3,19.8,0.32,12.2,18.2,0.67,13.6,16.8,9.9,22.7,32.6,11.6,5.8,3,63.9,4,0.52,0.48,141.3,31.4,69.5,50.8,51.2,18,8.9,8.6,1.2,42.1,97.2,96.6,0.5,2104.6,65.5,6,5,0,0,0,0,0,2,83,0.3,5,1.51,0.9,0.4,0.23,16,16,0.5,0
Hartford,2012,America East Conference,8,31,40.6,21.1,51,0.41,7.4,23.7,0.31,10.5,15.7,0.67,15.5,19.7,6.6,20.4,27.1,13.1,6.6,2.1,60,7,0.52,0.49,139,21.1,68.4,44.2,62.1,21.2,9.8,6.1,1.2,33.7,89.2,99.9,-10.7,2085.9,66.2,7,5,0,0,0,0,2,0,86,-7.2,8,1.62,0.8,0.4,0.21,9,22,0.29,0.89
Maine,2012,America East Conference,2,29,40.5,25.9,58.5,0.44,5.8,17.9,0.33,11,15,0.73,13.1,18.6,10.3,22.6,32.8,14.1,6.1,4.2,68.6,5,0.53,0.49,150.2,30.7,66.6,48.8,54.4,16.8,8.8,10.4,1.2,47.7,99.7,99.3,0.4,1995.6,67.9,1,18,0,0,0,0,3,3,113,0.2,0,1.54,1.1,0.5,0.19,12,17,0.41,0.34
New Hampshire,2012,America East Conference,7,29,40,21.3,53.3,0.4,7.3,21.3,0.34,11.1,18.2,0.61,13.1,18.1,8.9,22.2,31.1,9.8,5.3,2.4,61.2,6,0.5,0.47,135.2,26.7,70.7,48.1,46,17.6,8,6.2,1.1,35.2,92.5,95,-2.5,1918,66.1,4,7,0,0,0,0,0,0,85,-1.7,2,1.46,0.8,0.4,0.21,13,16,0.45,0.21
Stony Brook,2012,America East Conference,4,32,40.2,24,56.2,0.43,6.2,18.8,0.33,12.2,17.6,0.69,12.3,15.1,13.1,21.8,34.9,11.1,5.5,1.7,66.4,1,0.52,0.48,145.2,40.1,75,56.6,46.2,16.2,8.7,5.4,1.2,45.3,104.4,92.9,11.5,2036.1,63.4,3,8,1,0,0,0,1,0,93,7.3,4,1.46,0.9,0.4,0.22,22,10,0.69,-0.79
UMBC,2012,America East Conference,6,30,40.5,22.9,58.3,0.39,5.1,17.1,0.3,12.4,18.8,0.66,14.6,20.9,10.7,21.3,32,10.3,5.8,1.8,63.2,8,0.48,0.44,135,30.2,66.5,47.4,44.9,18,8.3,4.9,1.1,31.5,89.4,109,-19.6,2121.8,69.9,2,9,0,0,0,0,1,0,82,-13.8,2,1.45,0.7,0.4,0.21,4,26,0.13,1.87
Vermont,2012,America East Conference,3,36,40.4,23.6,53.1,0.44,5.3,15.6,0.34,14.7,19.9,0.74,12.4,17.4,10,23.3,33.4,13.2,6.1,2.4,67.1,2,0.54,0.49,152.4,33.3,70.6,52.8,55.9,16.7,9.4,6.6,1.3,47.4,103.3,93.7,9.5,2339.3,64.3,8,5,0,0,0,0,3,0,92,6.2,0,1.56,1.1,0.5,0.28,24,12,0.67,-0.7
Albany,2013,America East Conference,4,35,40.1,21.7,50,0.44,6.1,16.4,0.37,14.7,20,0.74,13.4,16.1,9,22.6,31.6,11.3,5.5,2,64.3,3,0.55,0.5,154.3,30.7,72.1,52.1,51.8,18.5,8.6,5.9,1.3,42.5,100.9,95.2,5.7,2229.8,63.5,8,5,1,0,0,0,2,0,83,3.7,0,1.52,0.8,0.4,0.3,24,11,0.69,-0.78
Binghamton,2013,America East Conference,9,30,40,19.6,52.7,0.37,5.2,18.2,0.29,11.5,17.8,0.65,15.4,16.9,9.5,24.5,34,8.2,5.8,2.5,55.9,9,0.46,0.42,130.3,26.9,70.6,48.5,42,20.3,8.6,7.3,1.1,30.3,83.6,103.8,-20.2,2004.1,66.8,2,13,0,0,0,0,1,0,77,-13.5,1,1.42,0.5,0.4,0.22,3,27,0.1,2.19
Boston University,2013,America East Conference,2,30,40.3,24.6,54.9,0.45,8,21.6,0.37,10.6,14.5,0.73,12.5,16.8,8.3,22.9,31.2,13.6,7.4,1.8,67.8,4,0.55,0.52,154.8,26.1,68.9,48,55.2,16.9,11.2,4.8,1.2,48.2,102.4,97.4,5,1987.3,65.7,6,9,0,0,0,0,2,0,85,3.3,0,1.55,1.1,0.6,0.19,17,13,0.57,-0.27
Hartford,2013,America East Conference,8,31,40,20.8,50.9,0.41,7.6,22.7,0.33,10.9,15.6,0.7,14.3,18.8,7.9,20.6,28.5,12.3,8.2,2,60.1,5,0.52,0.48,144,25.1,70,46.9,59.2,19.8,12.5,5.9,1.2,38.2,92.6,94.3,-1.7,2012.9,64.9,9,3,0,0,0,0,3,0,80,-1.1,2,1.59,0.9,0.6,0.21,17,14,0.55,-0.2
Maine,2013,America East Conference,3,30,40,24.4,56.3,0.43,5.2,17.7,0.29,12.2,18.6,0.66,15,18.2,10.3,25.5,35.8,12.8,7,4.1,66.3,7,0.51,0.48,138.3,29.7,69.2,50.1,52.4,18.7,10.1,10.3,1.2,46.3,95.3,100.2,-4.9,2086.4,69.5,1,14,0,0,0,0,1,1,97,-3.4,2,1.52,0.9,0.5,0.22,11,19,0.37,0.54
New Hampshire,2013,America East Conference,7,29,40.3,21,54,0.39,6.2,20,0.31,12,18.8,0.64,12.1,17.1,9.8,24.1,33.9,10.5,5.8,2.8,60.2,6,0.48,0.45,133.6,27.3,71,48.5,49.9,16.2,8.9,7.6,1.1,38.7,91.9,95.8,-3.9,1899.3,64.9,4,13,0,0,0,0,3,1,92,-2.6,3,1.5,0.9,0.5,0.22,9,20,0.31,0.8
Stony Brook,2013,America East Conference,1,33,40,23.9,53.9,0.44,5.8,16.5,0.35,14.3,20.3,0.7,11.8,15.6,10.2,25.8,36,12.3,6.4,3.8,68,1,0.54,0.5,150.2,31.9,73.5,53.6,51.5,15.8,9.8,11.6,1.3,52.5,104.1,88,16.1,2155.8,65.3,3,13,1,0,0,0,1,0,93,10.5,3,1.52,1,0.5,0.27,25,8,0.76,-1.14
UMBC,2013,America East Conference,5,31,40.6,23.2,56.9,0.41,6.6,19.7,0.34,10.6,16.8,0.63,14.7,20.2,10.3,21.6,31.9,11.9,7.2,2.2,63.5,8,0.5,0.47,137.5,29,67.7,47.3,51.3,18.7,10.4,6.4,1.1,37,91.8,103.3,-11.5,2145.7,68.1,5,11,0,0,0,0,1,0,86,-7.9,0,1.51,0.8,0.5,0.19,8,23,0.26,1.05
Vermont,2013,America East Conference,6,33,40,21.5,49.3,0.44,4.8,14.9,0.32,15.7,22.1,0.71,12.8,16.2,10.1,23.1,33.2,11.4,6.5,2.8,63.5,2,0.54,0.49,146.8,33.6,71.6,53.3,52.7,17.8,10.5,8.7,1.3,45.6,101.7,94.8,6.9,2061.3,62.5,7,8,0,0,0,0,0,0,87,4.3,3,1.53,0.9,0.5,0.32,21,12,0.64,-0.56
Albany,2014,America East Conference,4,34,40.4,22.5,51,0.44,4.8,13.3,0.36,16.1,21.4,0.75,12.6,17,9.4,23.7,33.1,11.1,5.4,3,65.9,3,0.55,0.49,155.1,31.2,72.2,52.6,49.2,17.3,8.4,8.6,1.3,44.6,102.3,99.4,3,2187.9,63.6,6,7,1,0,0,0,2,1,86,1.9,1,1.49,0.9,0.4,0.32,19,15,0.56,-0.24
Binghamton,2014,America East Conference,8,30,40.5,19.7,51.8,0.38,6.1,19,0.32,15.9,22.9,0.69,14.3,19.9,9.9,21.5,31.4,9.4,6.1,2,61.3,9,0.5,0.44,139.3,28.9,68.7,47.9,47.7,18.7,9.2,6.2,1.2,32.8,91.5,106.4,-14.9,2011.2,66.2,2,13,0,0,0,0,3,0,89,-10,1,1.48,0.7,0.4,0.31,7,23,0.23,1.19
Hartford,2014,America East Conference,6,33,40.1,22.2,48.3,0.46,8,21.3,0.38,13.2,18.8,0.7,13.9,19.2,6.5,19.9,26.4,12.2,5.6,2.1,65.5,4,0.58,0.54,153.7,22.9,68.6,46.1,54.9,19.7,8.7,6,1.4,39.8,101.7,102.4,-0.7,2125.7,64.2,7,7,0,0,0,0,0,1,91,-0.5,2,1.55,0.9,0.4,0.27,17,16,0.52,-0.06
Maine,2014,America East Conference,1,29,40.2,26.2,59,0.44,6.3,18.7,0.34,13.5,19.9,0.68,15.1,20.9,8.5,23.3,31.9,14.4,7.6,2.3,72.1,8,0.53,0.5,145.7,24,64.6,44.5,55.1,18.2,10.1,5.3,1.2,44.9,96.1,110.5,-14.4,2176.2,74.7,5,9,0,0,0,0,5,0,111,-10.8,2,1.55,1,0.5,0.23,6,23,0.21,1.34
New Hampshire,2014,America East Conference,9,30,40.2,19.5,51.8,0.38,7,21.3,0.33,11.9,17.1,0.69,13,19.4,9.1,24,33.1,9.7,4,3.3,57.8,6,0.49,0.44,139.8,27.2,72.4,49.8,50,18,6.2,9.5,1.1,33.8,89.8,100.7,-10.9,1932,64.1,3,13,2,0,0,0,0,3,94,-7,0,1.5,0.7,0.3,0.23,6,24,0.2,1.38
Stony Brook,2014,America East Conference,2,34,40.4,25.3,55.9,0.45,5.4,15.2,0.36,15.4,21.3,0.72,12.5,19,11.2,24.6,35.9,12.8,5.9,3.2,71.4,2,0.55,0.5,152.8,34.5,74.1,54.5,50.5,16.1,8.8,10.1,1.3,50.4,106.2,98.6,7.6,2284.9,66.5,1,14,1,0,1,0,1,1,104,5.1,3,1.51,1,0.5,0.28,23,11,0.68,-0.74
UMass Lowell,2014,America East Conference,7,28,40.2,20.4,51.6,0.39,6.9,21,0.33,13.8,19.6,0.7,13.5,18.5,9.2,21.3,30.5,12,5.9,2.6,61.4,7,0.51,0.46,142.5,28.1,65,46.6,58.8,18.3,9.1,7.1,1.2,38.1,93.9,106,-12,1828.9,65,9,5,0,0,0,0,2,0,84,-7.9,2,1.59,0.9,0.4,0.27,10,18,0.36,0.58
UMBC,2014,America East Conference,5,30,41,22.3,55.6,0.4,5.8,19,0.3,15.2,23.3,0.66,15,23.3,11,21.6,32.6,11.8,8,2.8,65.6,5,0.5,0.45,136,29.8,68.6,47.7,53.1,18.5,11.4,8.6,1.2,37.5,93.1,103.4,-10.3,2114,68.7,8,6,0,0,0,0,4,1,90,-7.2,5,1.53,0.8,0.5,0.27,9,21,0.3,0.84
Vermont,2014,America East Conference,3,33,40.2,23.8,50.7,0.47,5.9,14.8,0.4,17.2,23.8,0.73,12,18.6,9.4,23.7,33.1,12.8,7.2,4.2,70.7,1,0.58,0.53,159.4,32.1,72.9,53.5,54,16.4,11.1,12.4,1.4,53.8,109.2,93.6,15.6,2137.5,64.5,4,11,2,0,0,0,2,2,93,10.1,4,1.54,1.1,0.6,0.34,22,11,0.67,-0.7
Albany,2015,America East Conference,4,33,40.1,22.1,50.5,0.44,6.2,17.3,0.36,14.9,19.7,0.76,11.5,16.5,9.5,22.5,32,10.6,5.7,1.6,65.3,4,0.55,0.5,155.4,31.8,73.9,53.1,47.9,16.3,9.2,5.5,1.3,44.4,105.6,97.8,7.8,2041.6,61.7,2,10,0,0,0,0,0,0,83,4.8,0,1.48,0.9,0.5,0.3,24,9,0.73,-0.98
Binghamton,2015,America East Conference,8,32,40.2,19.8,49.9,0.4,5.3,17.3,0.31,12.8,19.3,0.66,13.5,18,8.2,21.2,29.4,8.7,5.8,2.5,57.7,7,0.49,0.45,136.5,25.4,69.3,46.7,43.9,18.8,9,7.8,1.2,31.5,89.6,103.1,-13.5,2059.3,64.1,6,5,0,0,0,0,1,0,82,-8.7,2,1.44,0.6,0.4,0.26,6,26,0.19,1.46
Hartford,2015,America East Conference,5,30,40.5,21.5,53.2,0.4,7.8,24.1,0.33,11.1,15.9,0.7,12.1,18.4,8.1,22.1,30.2,12.1,6.2,1.6,61.9,5,0.51,0.48,142.8,24.8,71.8,47.6,56.1,16.7,9.6,4.9,1.2,38.9,95.5,98.9,-3.4,1944.8,64,8,3,0,0,0,0,0,0,83,-2.2,0,1.56,1,0.5,0.21,14,16,0.47,0.13
Maine,2015,America East Conference,7,30,40.3,21.6,53.3,0.41,6.6,20.3,0.32,10.7,14.7,0.73,14.4,18.5,7.5,20.9,28.4,13.1,6,1.1,60.4,9,0.51,0.47,145.4,22.7,68.4,44.6,60.7,19.4,8.9,3.1,1.1,34.2,89.7,111.1,-21.4,2019,66.7,9,2,0,0,0,0,1,0,86,-14.4,1,1.61,0.9,0.4,0.2,3,27,0.1,2.19
New Hampshire,2015,America East Conference,1,32,40.8,23.3,53.5,0.44,7.2,19.3,0.37,13.2,19.6,0.68,12.3,18.9,8.9,26.7,35.6,11.4,5.2,2.2,67.1,3,0.54,0.5,148.5,27.7,78.6,53.8,48.9,16.5,7.8,6.2,1.3,44.7,101.2,92.9,8.2,2123.3,65.1,4,5,0,0,0,0,0,0,96,5.5,1,1.49,0.9,0.4,0.25,19,13,0.59,-0.38
Stony Brook,2015,America East Conference,3,35,40.1,23.9,57.1,0.42,5.5,16.5,0.33,12.3,18.5,0.66,11.9,16.5,13.3,25.3,38.7,11.9,5.1,4.2,65.4,2,0.5,0.47,141.2,37.4,76.6,56.3,49.8,15.4,7.9,12.3,1.1,48.9,101.4,93.1,8.3,2258.5,64.3,1,37,4,0,0,0,1,5,89,5.4,0,1.5,1,0.4,0.21,23,12,0.66,-0.65
UMass Lowell,2015,America East Conference,6,29,40.5,21,51.1,0.41,7.7,21.4,0.36,11.6,17.5,0.66,13.2,18,6.6,21,27.6,11.1,6.9,1,61.4,6,0.52,0.49,143.4,20.9,71.1,45.2,53,18.4,10.5,3.1,1.2,35.2,93,100.7,-7.7,1914.5,65.2,5,5,0,0,0,0,2,0,102,-5.1,1,1.53,0.8,0.5,0.23,12,17,0.41,0.34
UMBC,2015,America East Conference,9,30,40.2,19.7,48,0.41,5.1,15.7,0.33,11.6,18,0.64,15.5,15.8,7.1,22,29.1,11.3,6.6,3,56.1,8,0.5,0.46,138.2,22.9,69.9,46.6,57.2,21.7,10.1,8.6,1.2,34.1,86.2,103.1,-16.9,1952.4,64.7,7,4,0,0,0,0,1,0,76,-11,0,1.57,0.7,0.4,0.24,4,26,0.13,1.87
Vermont,2015,America East Conference,2,34,40.3,23.6,50,0.47,5.4,15.1,0.36,14.6,21,0.69,13,19,7.7,24.3,32.1,13.1,6.4,5.1,67,1,0.57,0.52,151.8,26.6,72.4,51.2,55.7,18,9.8,14,1.3,49.3,102.8,90.7,12,2217.3,64.7,3,6,0,0,0,0,4,2,96,7.9,2,1.56,1,0.5,0.29,20,14,0.59,-0.36
Albany,2016,America East Conference,4,33,40.5,25.7,56.1,0.46,5.7,17.8,0.32,18.5,24.7,0.75,12.6,17.6,11.1,26.3,37.4,12.4,6.5,1.6,75.6,2,0.56,0.51,152.9,34.9,74.6,55.7,48.3,15.7,9.5,4.5,1.3,53.7,109.3,95.5,13.8,2281.9,68.4,4,7,0,0,0,0,2,0,108,9.5,3,1.48,1,0.5,0.33,24,9,0.73,-0.98
Binghamton,2016,America East Conference,9,30,40.2,21,53.8,0.39,5.7,20,0.29,13.3,19.5,0.68,14,18.6,8.6,24.2,32.8,11.1,5.4,2.3,60.9,7,0.48,0.44,135.7,24.6,72.1,47.9,52.9,18.2,7.9,6.4,1.1,35.3,89.3,100.6,-11.3,2047,68,6,6,0,0,0,0,1,0,81,-7.7,1,1.53,0.8,0.4,0.25,8,22,0.27,1.01
Hartford,2016,America East Conference,8,33,40.8,23.5,57.8,0.41,9.7,27.3,0.35,14,18.8,0.75,11.6,21.3,6.5,22.3,28.8,12.4,6.7,1.9,70.8,6,0.53,0.49,150.9,18.6,64.6,41.3,52.5,14.9,9.3,4.9,1.2,41.6,98.6,109.3,-10.6,2368.6,70.4,9,4,0,0,0,0,0,1,100,-7.6,3,1.53,1.1,0.6,0.24,10,23,0.3,0.83
Maine,2016,America East Conference,3,30,40.5,27.5,63.6,0.43,7.6,22.4,0.34,13.4,20.4,0.66,16.4,21.3,10.5,23.2,33.7,14.4,8.3,3,76,9,0.52,0.49,142.7,26.6,67.9,45.9,52.5,18.3,10.4,7,1.2,46.7,95.7,109.4,-13.7,2381.2,78.4,5,6,0,0,0,0,1,0,105,-10.9,1,1.53,0.9,0.5,0.21,8,22,0.27,1.01
New Hampshire,2016,America East Conference,7,33,40.3,24.5,58.9,0.42,6.7,20.2,0.33,15.2,21,0.72,11.6,17.7,10.8,27.2,38,11.8,3.8,1.8,71,4,0.52,0.47,147.4,30.1,78.1,53.6,48.1,14.4,5.5,4.9,1.2,46.7,102.1,100.2,2,2292.8,68.9,2,17,0,0,1,0,0,0,100,1.4,0,1.48,1,0.3,0.26,20,13,0.61,-0.43
Stony Brook,2016,America East Conference,2,33,40.2,28.3,60.4,0.47,6.7,18.1,0.37,13,19.3,0.67,11.5,15.8,12.4,26.2,38.6,16.4,6.2,4.5,76.2,1,0.55,0.52,151,36.3,75.3,55.9,58,14.2,9,12.1,1.3,63.2,111.1,93.4,17.7,2264.5,68.4,1,33,1,1,1,0,0,4,103,12.1,0,1.58,1.4,0.5,0.22,26,7,0.79,-1.32
UMass Lowell,2016,America East Conference,1,29,40.3,27.6,58.8,0.47,8.3,22.7,0.36,13.1,19.2,0.69,15.7,20.6,8.2,23.4,31.6,14.7,7.1,2.4,76.6,5,0.56,0.54,151.9,24.4,68.1,46.5,53.1,18.8,9.4,6.2,1.3,48.9,101.5,109.7,-8.2,2188.2,74.8,8,5,0,0,0,0,2,0,108,-6.2,2,1.53,0.9,0.5,0.22,11,18,0.38,0.49
UMBC,2016,America East Conference,6,32,40.3,24.6,55.9,0.44,6.8,20.4,0.33,16.1,23.6,0.68,12.4,20,8.2,22.4,30.6,12.3,7,1.8,72.1,8,0.54,0.5,145.5,24.2,71.6,47,50.1,15.6,9.6,5,1.3,44.7,100.4,112.3,-11.8,2297.5,71.2,7,6,0,0,0,0,2,0,93,-8.5,4,1.5,1,0.6,0.29,7,25,0.22,1.27
Vermont,2016,America East Conference,5,37,40,26.6,55.4,0.48,6.9,18,0.38,14.8,20.9,0.71,13.2,19.4,8.5,25.8,34.3,13.4,5.7,4.4,75,3,0.57,0.54,157.2,27.7,73,51.9,50.2,16.9,8.2,11.4,1.4,53.9,107.3,101,6.3,2585.2,69.9,3,12,2,0,0,0,1,3,99,4.4,1,1.5,1,0.4,0.27,23,14,0.62,-0.5
Albany,2017,America East Conference,4,35,40,25.9,55.5,0.47,5.5,14.7,0.37,14,18.5,0.76,11.9,17.6,10.1,24.7,34.7,12.7,5.1,1.7,71.3,2,0.56,0.52,159.7,32.8,77.5,55.6,49,15.6,7.8,5.6,1.3,50.2,108.4,99.9,8.5,2303.4,65.8,3,12,0,1,0,0,2,0,100,5.6,0,1.49,1.1,0.4,0.25,21,14,0.6,-0.41
Binghamton,2017,America East Conference,7,32,40.2,24,54.9,0.44,7.8,21.4,0.36,12.2,17.3,0.71,12.4,17,7.5,24.7,32.2,12.8,5.2,2.4,68,7,0.54,0.51,150.4,23.3,74,49,53.4,16.4,7.7,6.9,1.2,45.7,99.8,104.2,-4.4,2178.6,67.8,9,4,0,0,0,0,0,0,101,-3,0,1.53,1,0.4,0.22,12,20,0.38,0.51
Hartford,2017,America East Conference,8,32,40.5,22.8,56.7,0.4,8.2,24.3,0.34,12.9,18.5,0.7,14.3,18.9,8.3,23.1,31.4,11.5,7.1,3.7,66.8,8,0.51,0.48,144,23.3,66.3,44.6,50.3,17.9,10,9.1,1.2,41,93.5,107.9,-14.4,2285.2,70.6,8,5,1,0,0,0,1,2,87,-10.3,0,1.5,0.8,0.5,0.23,9,23,0.28,0.93
Maine,2017,America East Conference,9,32,40,23.3,57.8,0.4,6.6,20.8,0.32,11.4,17.4,0.65,13.1,17.6,9.4,24.5,33.9,11.8,5.2,2,64.7,9,0.49,0.46,137.6,26,72.8,48.5,50.5,16.5,7.4,5.3,1.1,39.7,92.7,107.5,-14.8,2232.3,69.8,5,6,0,0,0,0,0,0,96,-10.3,0,1.51,0.9,0.4,0.2,7,25,0.22,1.27
New Hampshire,2017,America East Conference,5,32,40.6,24.5,55.8,0.44,8,22.7,0.35,14.2,19.6,0.73,12.5,15.8,9.5,27.6,37.2,12.5,4,1.8,71.2,3,0.55,0.51,151.5,28.6,78.9,54.4,51,16.1,5.9,5,1.3,49.4,104,96.8,7.3,2188.6,67.4,1,23,1,0,0,0,0,0,103,5,0,1.51,1,0.3,0.26,20,12,0.63,-0.51
Stony Brook,2017,America East Conference,6,32,40,23.7,58.7,0.4,7.8,23.9,0.33,13.9,19.2,0.72,10.2,19.4,10.7,22.9,33.6,12.2,5.4,3.2,69.2,5,0.51,0.47,145.4,29.5,71.7,49.3,51.5,13,8.1,9.4,1.2,46.7,102.6,102.2,0.4,2156.8,67.4,7,5,0,0,0,0,0,0,92,0.3,0,1.52,1.2,0.5,0.24,18,14,0.56,-0.25
UMass Lowell,2017,America East Conference,2,31,40.5,28.3,58.8,0.48,8.3,21.4,0.39,13.5,18.3,0.74,15.3,20.1,8.6,23.8,32.4,16,5.5,2.1,78.4,6,0.58,0.55,160.6,26.8,70.3,49.1,56.4,18.5,7.4,5.4,1.3,51.3,105.3,109.1,-3.8,2306.4,73.4,2,12,2,0,0,0,0,0,102,-2.8,0,1.56,1,0.4,0.23,11,20,0.36,0.59
UMBC,2017,America East Conference,1,34,40.9,28.1,60,0.47,9.7,24.7,0.39,15.1,20.3,0.75,12.1,18.4,8.5,25.8,34.2,14.9,6.6,2.4,81.1,4,0.58,0.55,160.7,25,73.6,49.7,53,14.8,9.1,6.4,1.4,57.6,110.9,105.5,5.4,2488.4,71.6,4,10,1,0,1,0,3,1,120,4,0,1.53,1.2,0.5,0.25,21,13,0.62,-0.48
Vermont,2017,America East Conference,3,35,40,26.9,54.5,0.49,6.5,17.7,0.37,13,18.6,0.7,11.2,15.9,9,24.2,33.2,13.6,5.7,4.3,73.5,1,0.58,0.55,156.3,30.1,75,53.4,50.5,15,8.6,11.4,1.3,57.2,111.3,94.1,17.2,2309.4,66,6,6,0,0,0,0,0,1,94,11.3,0,1.51,1.2,0.5,0.24,29,6,0.83,-1.58
Albany,2018,America East Conference,2,32,40,26.2,57.4,0.46,5.8,15.7,0.37,16,21.3,0.75,11.6,16.5,10.8,24.3,35.1,12.7,4.7,2.8,74.2,2,0.55,0.51,157.7,33.7,75.9,54.7,48.3,14.6,6.9,7.9,1.3,52.6,109.2,100.3,8.9,2175.2,68,5,9,0,0,0,0,1,0,102,6,0,1.48,1.1,0.4,0.28,22,10,0.69,-0.79
Binghamton,2018,America East Conference,6,31,40.2,25.4,57.3,0.44,7.6,21.6,0.35,10.9,17,0.64,12.4,16.8,8.6,24.8,33.4,12.1,5.5,4.2,69.3,6,0.53,0.51,143.4,25.4,74.5,49.7,47.8,15.9,8,11.6,1.2,48,100.8,102.4,-1.6,2130.3,68.4,4,11,0,0,0,0,0,4,113,-1.1,0,1.48,1,0.4,0.19,11,20,0.36,0.59
Hartford,2018,America East Conference,5,33,40.2,25.3,55.8,0.45,8.2,23.7,0.35,11.7,17.2,0.68,12.2,18.2,7.9,24.4,32.3,13.1,6.1,3.7,70.5,5,0.55,0.53,147.7,24.7,73.2,49.4,51.9,16,8.8,11.2,1.3,49.8,102.7,102.4,0.4,2264.4,68.3,7,9,0,0,0,0,1,2,97,0.2,0,1.52,1.1,0.5,0.21,19,14,0.58,-0.31
Maine,2018,America East Conference,9,32,40.5,23.9,58.5,0.41,7,23.3,0.3,12,17.5,0.69,15.5,19.5,9,25.3,34.3,11.8,6.4,2.9,66.9,9,0.5,0.47,139.9,25.1,71.2,48,49.4,18.8,8.9,8.3,1.1,39.9,91.6,103.1,-11.5,2335.9,72.1,9,4,0,0,0,0,0,0,104,-8.4,0,1.49,0.8,0.4,0.21,6,26,0.19,1.46
New Hampshire,2018,America East Conference,8,31,40,23.4,58.2,0.4,8.1,25,0.33,12.9,17.5,0.74,11.7,17.9,11,26.2,37.2,11.9,3.6,1.8,67.8,4,0.51,0.47,146.4,30.8,79.5,54.2,50.8,15,5.4,5.6,1.2,44.9,101.3,100.4,0.9,2076.2,67,1,21,0,0,1,0,0,0,111,0.6,0,1.51,1,0.3,0.22,10,21,0.32,0.74
Stony Brook,2018,America East Conference,7,32,40.3,24.3,58.3,0.42,7.8,23.7,0.33,12.4,18.9,0.66,14,20.2,10.8,24.1,35,13.3,8.2,2.9,68.9,7,0.51,0.48,140.3,29.9,73.1,50.5,54.8,17.2,11.5,8.4,1.2,47,97.3,99.3,-1.9,2265.4,70.2,6,9,0,0,0,0,2,1,101,-1.4,0,1.55,1,0.6,0.21,13,19,0.41,0.38
UMass Lowell,2018,America East Conference,1,30,40.2,26.4,57.3,0.46,7.2,20.7,0.35,16.3,23,0.71,13.5,17.9,9,22.5,31.5,14.5,7,2.9,76.2,8,0.56,0.52,151.5,26.5,69.1,47.3,55,16.5,9.5,7.2,1.3,52.2,104.6,107.8,-3.2,2184.8,72.5,3,13,0,1,0,0,1,0,102,-2.3,0,1.55,1.1,0.5,0.28,12,18,0.4,0.4
UMBC,2018,America East Conference,4,36,40,25.7,58,0.44,10.1,26.1,0.39,11.5,17.8,0.65,12.2,16.4,9,24.1,33,15.2,7.5,2.4,73.1,3,0.55,0.53,147.7,25.9,72.5,48.7,59.1,15.5,10.7,7.3,1.3,54.5,104.8,98.3,6.5,2509,69.7,2,14,1,0,0,0,5,0,98,4.6,0,1.59,1.2,0.6,0.2,25,11,0.69,-0.82
Vermont,2018,America East Conference,3,35,40,25.1,51.5,0.49,7.4,18.5,0.4,16.3,21.6,0.75,11.1,15.1,7.2,24.7,31.9,13.4,3.8,2.5,73.9,1,0.6,0.56,164.2,25.5,78.4,53.4,53.2,15.2,5.8,7.4,1.4,54,112.5,99,13.5,2300.3,65.7,8,7,0,0,0,0,0,0,91,8.9,0,1.53,1.2,0.3,0.32,27,8,0.77,-1.22
Cincinnati,2012,American Athletic Conference,12,37,40.5,25,59.3,0.42,7,20.6,0.34,11.2,17.4,0.65,10.9,15.4,12,21.6,33.7,12.9,8.1,4.6,68.2,5,0.51,0.48,140.7,34.7,67.5,50.4,51.6,14,12.2,12,1.1,51.7,102.7,92.7,10,2454.9,65.5,10,16,0,0,0,0,7,4,101,6.6,2,1.52,1.2,0.7,0.19,26,11,0.7,-0.86
