Team,Season,League,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,ln1divwmin1
Gardner-Webb,2017,Big South Conference,2,33,40.8,27.7,57.7,0.48,6.3,16.7,0.38,15.5,24.8,0.62,14.4,20.3,10.8,26.4,37.1,14.7,8.8,3.6,77.2,3,0.56,0.53,148.2,31.7,73.3,53.1,53.2,17.1,12,9.7,1.3,56.6,105.4,96,9.4,2416.7,71.9,6,8,0,0,0,0,5,0,103,6.9,0,1.53,1,0.6,0.27,19,14,0.58,-0.31
High Point,2017,Big South Conference,6,31,40.6,23.6,54.6,0.43,6.3,16.8,0.38,15.3,20.5,0.74,13.2,17.4,9.5,24.8,34.3,12.5,5.9,3.1,68.8,6,0.54,0.49,155.3,28.8,74.1,51.6,53.1,17,8.6,9.4,1.3,47.2,100.7,100.8,-0.1,2118.4,67.3,2,15,0,0,0,0,0,0,92,-0.1,0,1.53,1,0.5,0.28,15,16,0.48,0.06
Liberty,2017,Big South Conference,8,35,40.4,22.3,51.1,0.44,9.1,25.4,0.36,13,17.5,0.74,10.4,19.1,4.4,22.4,26.8,12.9,6.5,1.9,66.6,4,0.56,0.53,153.7,14.6,76.9,45.2,58.2,14.9,10,6.6,1.3,43.9,101.7,96.8,4.8,2292.6,64.8,9,4,0,0,0,0,0,1,93,3.2,0,1.58,1.2,0.6,0.25,21,14,0.6,-0.41
Longwood,2017,Big South Conference,7,30,40,24.6,55.3,0.45,6.2,18.9,0.33,11.9,16.3,0.73,15.2,18,6.7,22.8,29.5,10.8,5.8,4.1,67.3,9,0.53,0.5,150.2,21.2,66.6,44.7,43.9,19.4,8.1,10.3,1.2,40.1,93.9,112.1,-18.2,2148,71.6,7,7,0,0,0,0,2,0,87,-13,0,1.44,0.7,0.4,0.21,6,24,0.2,1.38
Presbyterian,2017,Big South Conference,10,30,40.2,22.2,53.9,0.41,6,17.4,0.35,10.7,15.6,0.69,15,17.3,9.2,21.8,31,12.1,4.8,2.4,61.2,10,0.5,0.47,144.4,28,68.4,47.9,54.6,19.7,7.1,7.7,1.1,36,91.3,111.6,-20.3,2011.3,66.8,8,4,0,0,0,0,0,0,107,-13.6,0,1.55,0.8,0.3,0.2,5,25,0.17,1.6
Radford,2017,Big South Conference,9,32,40.6,23.3,56.3,0.41,7.7,22.4,0.35,11,16.6,0.67,14.6,17.2,11.3,25.2,36.5,12.3,4.8,3.6,65.3,8,0.51,0.48,142.4,33.1,73.8,53.4,52.8,18.5,7.1,9.1,1.2,43.8,96.9,104.2,-7.3,2156.2,66.3,1,17,2,0,0,0,3,1,91,-4.9,0,1.53,0.8,0.3,0.2,14,18,0.44,0.25
UNC Asheville,2017,Big South Conference,3,33,40.8,27.5,57.8,0.48,8,20.3,0.39,14.1,20.6,0.68,11.6,16.8,7.8,24.2,32,15.5,9.3,1.9,77.1,2,0.57,0.55,155.1,24.1,74.3,49.2,56.4,14.6,13,5.8,1.3,57.6,107.9,95.9,12,2358.2,70.1,4,12,1,0,0,0,5,0,117,8.6,0,1.56,1.3,0.8,0.24,23,10,0.7,-0.84
Winthrop,2017,Big South Conference,1,33,40.9,27,59.3,0.46,9.5,25.4,0.37,15.8,22,0.72,13,18.3,8.9,26.5,35.4,12.8,6.5,5.1,79.2,1,0.57,0.54,154.6,26.4,72.3,50.3,47.5,15.7,8.9,13.1,1.3,56.3,107.4,95.4,12,2434.9,72.1,3,15,1,1,0,0,1,2,106,8.9,0,1.48,1,0.5,0.27,26,7,0.79,-1.32
Campbell,2018,Big South Conference,2,34,40.3,26.2,54.9,0.48,9.2,23.7,0.39,14.3,19.1,0.75,11.9,17,6.4,24.5,30.9,14.2,6.7,4,75.9,3,0.59,0.56,161.6,21.2,74.5,48.9,54.1,15.6,9.6,11.1,1.4,56.5,109,101.9,7.1,2367.2,69.1,8,2,1,1,0,0,1,0,108,5,0,1.54,1.2,0.6,0.26,18,16,0.53,-0.12
Charleston Southern,2018,Big South Conference,4,31,40.6,25.9,57.8,0.45,6.7,20.4,0.33,13.5,18.7,0.72,13.2,16.7,10.3,22.6,32.8,11.9,7.2,3.4,72,5,0.54,0.51,150,30.3,73,50.7,45.9,16.5,10.5,11.8,1.2,49,104,99.4,4.6,2146.2,68.1,10,1,0,0,0,0,1,0,107,3.2,0,1.46,0.9,0.5,0.23,15,16,0.48,0.06
