fga,fg_pct,fga3,fg3_pct,fta,ft_pct,orb,drb,ast,stl,blk,tov,opp_fga,opp_fg_pct,opp_fga3,opp_fg3_pct,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,win
57,31.6,33,21.2,21,76.2,16,16,13,10,4,19,42,59.5,12,50,27,63,7,25,16,15,4,22,FALSE
80,38.7,43,20.9,27,74.1,14,34,21,8,12,12,80,43.8,25,44,19,73.7,13,38,13,3,5,15,FALSE
46,34.8,17,29.4,46,82.6,10,28,8,7,6,12,58,34.5,22,9.1,27,74.1,15,24,8,7,8,12,TRUE
52,44.2,11,18.2,28,82.1,12,29,10,8,4,11,73,37,29,20.7,9,77.8,18,21,10,8,4,9,TRUE
53,58.5,24,54.2,6,100,8,19,18,4,2,9,44,43.2,21,33.3,17,82.4,6,13,10,6,1,9,TRUE
68,39.7,21,42.9,20,60,16,31,15,6,2,11,61,41,28,35.7,14,64.3,7,29,13,2,8,11,TRUE
62,46.8,29,41.4,14,71.4,12,29,16,6,2,12,60,45,23,30.4,12,75,6,24,14,6,3,12,TRUE
53,50.9,16,43.8,14,78.6,7,23,13,5,2,10,44,47.7,11,36.4,21,66.7,5,20,7,6,7,13,TRUE
55,49.1,21,42.9,18,72.2,6,17,13,7,2,11,60,55,20,45,14,71.4,13,25,26,7,1,15,FALSE
54,46.3,26,46.2,23,52.2,9,28,17,8,10,14,65,33.8,35,31.4,14,57.1,18,26,8,4,2,17,TRUE
59,40.7,28,25,24,75,10,28,15,4,4,9,69,43.5,19,36.8,15,66.7,13,30,15,4,3,7,FALSE
51,56.9,26,42.3,22,81.8,4,19,15,8,4,11,48,37.5,24,33.3,38,71.1,14,19,8,3,0,16,TRUE
50,38,10,10,24,50,6,27,13,6,6,17,66,47,24,29.2,14,71.4,11,32,21,5,2,11,FALSE
51,51,14,14.3,31,58.1,10,22,6,5,1,8,53,52.8,17,17.6,17,64.7,7,23,8,4,4,8,TRUE
55,49.1,21,61.9,28,71.4,12,27,16,6,4,15,67,41.8,25,32,24,75,16,22,12,4,4,9,TRUE
67,53.7,34,47.1,17,88.2,10,25,25,9,2,13,61,44.3,28,46.4,16,93.8,10,22,21,8,1,16,FALSE
55,45.5,22,45.5,21,81,6,25,14,1,1,8,58,44.8,17,29.4,14,78.6,7,26,13,1,1,11,TRUE
52,46.2,19,26.3,15,66.7,9,25,11,8,2,14,65,32.3,30,23.3,15,80,20,20,15,9,4,13,TRUE
53,41.5,15,20,20,85,11,23,6,5,3,14,65,43.1,23,30.4,20,80,16,23,15,9,7,13,FALSE
57,38.6,21,33.3,21,81,12,29,14,6,6,7,55,30.9,24,25,7,71.4,10,27,10,5,3,11,TRUE
53,49.1,30,46.7,8,87.5,4,24,22,7,11,6,59,33.9,29,27.6,6,83.3,15,24,11,4,1,13,TRUE
53,49.1,23,34.8,29,82.8,7,19,13,5,3,15,65,46.2,27,44.4,7,71.4,15,23,14,6,2,23,TRUE
58,41.4,21,9.5,19,84.2,11,27,14,13,7,13,58,41.4,10,30,6,33.3,10,24,11,10,3,19,TRUE
