date,AwayTeam,HomeTeam,Away_bestodds,Home_bestodds,pct_bet_home,pct_bet_away,Total,O_bestodds,U_bestodds,pct_bet_over,pct_bet_under,TotalResult,Volume,AwaySP,HomeSP,AwayScore,HomeScore
3/31/2024,NYY,HOU,100,-117,0.62,0.38,9.5,-104,-105,0.57,0.43,Under,21911,C. Schmidt,J. France,4,3
3/31/2024,MIN,KC,-120,107,0.26,0.74,9,-106,100,0.7,0.3,Over,27727,B. Ober,B. Singer,0,11
3/31/2024,CHC,TEX,122,-127,0.78,0.22,9.5,-109,100,0.73,0.27,Over,20002,J. Wicks,Jon. Gray,9,5
3/31/2024,CLE,OAK,-118,105,0.11,0.89,8.5,-105,-108,0.41,0.59,Under,29080,C. Carrasco,P. Blackburn,3,4
3/31/2024,BOS,SEA,115,-112,0.59,0.41,8,100,100,0.57,0.43,Under,14005,G. Whitlock,Br. Miller,5,1
3/31/2024,SF,SD,136,-140,0.65,0.35,9,100,100,0.38,0.62,Over,14227,D. Jefferies,M. King,4,13
3/31/2024,COL,AZ,180,-198,0.91,0.09,9,100,-109,0.71,0.29,Under,23133,R. Feltner,B. Pfaadt,1,5
3/31/2024,STL,LAD,158,-165,0.74,0.26,9,105,100,0.7,0.3,Push,46624,S. Matz,G. Stone,4,5
4/1/2024,ATL,CHW,-278,275,0.07,0.93,9,100,-105,0.94,0.06,Push,46175,C. Morton,C. Flexen,9,0
4/1/2024,COL,CHC,215,-225,0.86,0.14,7,-115,104,0.5,0.5,Under,31438,Dak. Hudson,S. Imanaga,0,5
4/1/2024,PIT,WAS,100,-104,0.49,0.51,8.5,-105,-105,0.32,0.68,Over,27222,M. Gonzales,M. Gore,8,4
4/1/2024,KC,BAL,145,-155,0.88,0.12,8,-115,100,0.75,0.25,Over,45347,M. Wacha,D. Kremer,4,6
4/1/2024,CIN,PHI,126,-141,0.63,0.37,8,100,-105,0.45,0.55,Over,36320,A. Abbott,C. Sanchez,6,3
4/1/2024,LAA,MIA,105,-108,0.92,0.08,9,102,100,0.73,0.27,Over,21174,C. Silseth,M. Meyer,7,4
4/1/2024,TEX,TB,110,-120,0.6,0.4,8.5,-104,-110,0.59,0.41,Over,26349,D. Dunning,R. Pepiot,9,3
4/1/2024,DET,NYM,120,-135,0.71,0.29,7.5,105,-120,0.08,0.92,Under,28621,R. Olson,S. Manaea,5,0
4/1/2024,TOR,HOU,130,-145,0.84,0.16,9,-114,-102,0,0,Over,24819,B. Francis,R. Blanco,0,10
4/1/2024,NYY,AZ,-120,108,0.38,0.62,9.5,-105,-102,0.43,0.57,Under,36259,L. Gil,R. Nelson,5,2
4/1/2024,BOS,OAK,-150,140,0.04,0.96,8.5,-104,-103,0.7,0.3,Over,37047,T. Houck,J. Boyle,9,0
4/1/2024,STL,SD,110,-110,0.71,0.29,8,-104,-105,0.55,0.45,Push,21285,K. Gibson,M. Waldron,6,2
4/1/2024,CLE,SEA,-112,-102,0.35,0.65,8,-105,100,0.13,0.87,Over,23188,T. McKenzie,E. Hancock,4,5
4/1/2024,SF,LAD,200,-198,0.71,0.29,8.5,-105,-104,0.7,0.3,Over,44352,K. Winn,J. Paxton,3,8
4/2/2024,MIN,MIL,100,-115,0.61,0.39,8.5,-112,-104,0.5,0.5,Under,39410,L. Varland,J. Junis,2,3
4/2/2024,KC,BAL,145,-160,0.9,0.1,8.5,-105,-105,0.75,0.25,Under,36805,A. Marsh,C. Irvin,4,1
4/2/2024,CIN,PHI,123,-138,0.39,0.61,8,110,100,0.47,0.53,Over,26934,G. Ashcraft,S. Turnbull,4,9
4/2/2024,LAA,MIA,125,-140,0.77,0.23,9,-102,100,0.54,0.46,Under,36073,T. Anderson,J. Luzardo,3,1
4/2/2024,TEX,TB,135,-155,0.47,0.53,8.5,100,-112,0.64,0.36,Under,29302,A. Heaney,Z. Eflin,2,5
4/2/2024,ATL,CHW,-180,185,0.04,0.96,9,100,-113,0.65,0.35,Under,39985,R. Lopez,G. Crochet,2,3
4/2/2024,COL,CHC,163,-178,0.89,0.11,8.5,-105,100,0.72,0.28,Over,33654,K. Freeland,J. Assad,2,12
4/2/2024,TOR,HOU,134,-140,0.69,0.31,8.5,-104,-105,0.27,0.73,Under,36234,J. Berrios,F. Valdez,2,1
4/2/2024,NYY,AZ,440,-109,0.52,0.48,8.5,105,100,0.65,0.35,Under,44080,N. Cortes Jr.,Z. Gallen,0,7
4/2/2024,STL,SD,148,-135,0.78,0.22,7.5,100,-110,0.71,0.29,Under,35850,M. Mikolas,Y. Darvish,5,2
4/2/2024,BOS,OAK,-145,135,0.05,0.95,8.5,100,105,0.85,0.15,Over,54682,B. Bello,A. Wood,5,4
4/2/2024,CLE,SEA,104,-115,0.32,0.68,7,-118,100,0.38,0.62,Push,34573,S. Bieber,L. Castillo,5,2
4/2/2024,SF,LAD,130,-142,0.84,0.16,8.5,100,-110,0.58,0.42,Over,26682,L. Webb,R. Brasier,4,5
4/3/2024,KC,BAL,150,-165,0.74,0.26,7,-118,102,0.38,0.62,Push,37845,C. Ragans,C. Burnes,3,4
4/3/2024,TEX,TB,107,-120,0.24,0.76,7.5,-110,-104,0.36,0.64,Under,25965,N. Eovaldi,A. Civale,4,1
4/3/2024,LAA,MIA,105,-110,0.71,0.29,8.5,100,100,0.38,0.62,Over,32781,P. Sandoval,A. Puk,10,2
4/3/2024,MIN,MIL,-110,-105,0.3,0.7,9,100,100,0.36,0.64,Over,25314,C. Paddack,J. Ross,7,3
4/3/2024,BOS,OAK,-162,145,0.06,0.94,7.5,-105,-110,0.12,0.88,Under,43166,N. Pivetta,R. Stripling,1,0
4/3/2024,NYY,AZ,-115,105,0.48,0.52,9,-112,102,0.4,0.6,Over,27162,C. Rodon,M. Kelly,6,5
4/3/2024,CIN,PHI,164,-177,0.8,0.2,7.5,-102,-105,0.44,0.56,Under,27621,F. Montas,Z. Wheeler,4,1
4/3/2024,STL,SD,525,-155,0.84,0.16,8.5,100,-110,0.43,0.57,Under,27066,Z. Thompson,J. Musgrove,2,3
4/3/2024,CLE,SEA,135,-150,0.52,0.48,7.5,105,-114,0.6,0.4,Over,18463,L. Allen,G. Kirby,8,0
4/3/2024,PIT,WAS,-145,135,0.23,0.77,8.5,-104,100,0.25,0.75,Under,29433,M. Keller,T. Williams,3,5
4/3/2024,COL,CHC,185,-195,0.93,0.07,7,100,100,0.69,0.31,Over,31549,C. Quantrill,L. Little,8,9
4/3/2024,TOR,HOU,143,-155,0.67,0.33,9,110,-117,0.53,0.47,Under,35563,C. Bassitt,C. Javier,0,8
4/3/2024,SF,LAD,215,-240,0.93,0.07,8.5,-102,-110,0.5,0.5,Over,49724,K. Harrison,T. Glasnow,4,5
4/4/2024,DET,NYM,120,-130,0.67,0.33,7.5,100,-110,0.47,0.53,Over,26662,C. Mize,A. Houser,6,3
4/4/2024,PIT,WAS,-120,110,0.22,0.78,8.5,100,-105,0.35,0.65,Over,38960,M. Perez,Jos. Gray,7,4
