Home,HomeScore,RoadScore,Road,HomeOdds,DrawOdds,RoadOdds,Playoffs,Season,Date
New York Red Bulls,2,0,Columbus Crew,1.88,4.04,5.1,0,2017,4/22/2017
New England Revolution,2,2,DC United,1.73,4.27,6.62,0,2017,4/22/2017
Philadelphia Union,3,3,Montreal Impact,2.06,3.62,3.9,0,2017,4/22/2017
Dynamo Houston,2,0,San Jose Earthquakes,2.1,3.58,4.24,0,2017,4/22/2017
Portland Timbers,2,1,Vancouver Whitecaps,1.73,4.1,5.52,0,2017,4/22/2017
Minnesota United,1,0,Colorado Rapids,2.6,3.75,3.18,0,2017,4/23/2017
New York City,1,2,Orlando City,1.77,4,5.1,0,2017,4/23/2017
Los Angeles Galaxy,0,3,Seattle Sounders,2.17,3.47,3.94,0,2017,4/23/2017
Toronto FC,2,0,Dynamo Houston,1.57,4.66,7,0,2017,4/28/2017
Los Angeles Galaxy,0,0,Philadelphia Union,1.83,3.84,5.14,0,2017,4/29/2017
Minnesota United,0,1,San Jose Earthquakes,2.6,3.5,2.94,0,2017,4/29/2017
New York Red Bulls,2,1,Chicago Fire,1.7,4.2,5.72,0,2017,4/29/2017
FC Dallas,2,2,Portland Timbers,1.72,4,5.79,0,2017,4/29/2017
Columbus Crew,2,3,New York City,1.86,4.33,5.53,0,2017,4/29/2017
Sporting Kansas City,3,0,Real Salt Lake,1.6,4.33,8.06,0,2017,4/29/2017
Seattle Sounders,3,3,New England Revolution,1.66,4.16,6.15,0,2017,4/29/2017
Montreal Impact,1,2,Vancouver Whitecaps,1.93,3.78,4.49,0,2017,4/29/2017
Orlando City,2,0,Colorado Rapids,1.88,3.67,5.31,0,2017,4/29/2017
Atlanta United FC,1,3,DC United,1.65,4.48,5.52,0,2017,4/30/2017
Sporting Kansas City,2,0,New York Red Bulls,1.88,3.77,5.29,0,2017,5/3/2017
Toronto FC,2,1,Orlando City,1.62,4.53,6.3,0,2017,5/3/2017
Colorado Rapids,0,1,Vancouver Whitecaps,2.38,3.3,3.86,0,2017,5/5/2017
DC United,0,1,Montreal Impact,2.04,3.85,4.85,0,2017,5/6/2017
Real Salt Lake,0,3,FC Dallas,3.3,3.48,2.46,0,2017,5/6/2017
Columbus Crew,2,0,New England Revolution,1.93,3.8,4.35,0,2017,5/6/2017
Los Angeles Galaxy,2,2,Chicago Fire,2.16,3.5,4.01,0,2017,5/6/2017
Philadelphia Union,3,0,New York Red Bulls,2.92,3.55,2.62,0,2017,5/6/2017
San Jose Earthquakes,3,0,Portland Timbers,2.27,3.35,3.76,0,2017,5/6/2017
Dynamo Houston,4,0,Orlando City,2,3.9,4,0,2017,5/6/2017
Seattle Sounders,0,1,Toronto FC,1.8,4.15,5.6,0,2017,5/6/2017
Minnesota United,2,0,Sporting Kansas City,3.52,3.65,2.2,0,2017,5/7/2017
New York City,3,1,Atlanta United FC,1.91,4.2,4.25,0,2017,5/7/2017
Columbus Crew,1,2,Toronto FC,2.32,3.75,3.31,0,2017,5/10/2017
Dynamo Houston,2,1,Vancouver Whitecaps,1.83,3.9,4.9,0,2017,5/12/2017
DC United,0,4,Philadelphia Union,1.98,3.92,4.19,0,2017,5/13/2017
Orlando City,2,2,Sporting Kansas City,2.29,3.45,3.55,0,2017,5/13/2017
New England Revolution,4,0,Real Salt Lake,1.6,4.95,7.2,0,2017,5/13/2017
Chicago Fire,4,1,Seattle Sounders,2.32,3.52,3.5,0,2017,5/13/2017
Toronto FC,3,2,Minnesota United,1.47,5.3,8.3,0,2017,5/13/2017
Colorado Rapids,3,0,San Jose Earthquakes,2.4,3.22,3.5,0,2017,5/13/2017
Montreal Impact,2,3,Columbus Crew,2.15,3.7,3.6,0,2017,5/13/2017
FC Dallas,1,1,New York City,1.7,4.7,8,0,2017,5/14/2017
New York Red Bulls,1,3,Los Angeles Galaxy,1.68,4.25,5.75,0,2017,5/14/2017
Portland Timbers,1,1,Atlanta United FC,1.75,4.28,4.82,0,2017,5/14/2017
San Jose Earthquakes,1,1,Orlando City,1.95,3.84,4.9,0,2017,5/17/2017
Philadelphia Union,2,0,Dynamo Houston,2.15,3.8,3.77,0,2017,5/17/2017
Real Salt Lake,2,1,New York City,2.67,3.7,3.1,0,2017,5/17/2017
Chicago Fire,3,0,Colorado Rapids,1.8,4.03,6.17,0,2017,5/17/2017
Sporting Kansas City,3,0,Seattle Sounders,1.9,3.88,5.8,0,2017,5/17/2017
New York Red Bulls,1,1,Toronto FC,2.2,3.66,3.75,0,2017,5/19/2017
FC Dallas,0,1,San Jose Earthquakes,1.56,4.3,7.5,0,2017,5/20/2017
Vancouver Whitecaps,2,0,Sporting Kansas City,2.5,3.41,3.42,0,2017,5/20/2017
Philadelphia Union,2,1,Colorado Rapids,1.89,3.8,5.2,0,2017,5/20/2017
Atlanta United FC,4,1,Dynamo Houston,1.85,3.95,4.62,0,2017,5/20/2017
Montreal Impact,4,1,Portland Timbers,2.3,3.65,3.39,0,2017,5/20/2017
DC United,0,1,Chicago Fire,2.47,3.6,3.5,0,2017,5/20/2017
Seattle Sounders,1,0,Real Salt Lake,1.44,5.35,9.6,0,2017,5/20/2017
Orlando City,0,3,New York City,2.11,3.82,3.62,0,2017,5/21/2017
New England Revolution,2,1,Columbus Crew,1.95,3.94,4.16,0,2017,5/21/2017
Minnesota United,1,2,Los Angeles Galaxy,2.59,3.75,2.95,0,2017,5/21/2017
Chicago Fire,2,1,FC Dallas,2.1,3.8,4.7,0,2017,5/25/2017
Toronto FC,5,0,Columbus Crew,2.14,3.9,4.2,0,2017,5/26/2017
Vancouver Whitecaps,0,1,DC United,1.73,4.03,6,0,2017,5/27/2017
Colorado Rapids,1,0,Sporting Kansas City,2.82,3.25,2.9,0,2017,5/27/2017
Minnesota United,1,0,Orlando City,2.41,3.65,3.14,0,2017,5/27/2017
Real Salt Lake,1,0,Philadelphia Union,2.38,3.63,3.4,0,2017,5/27/2017
New York Red Bulls,2,1,New England Revolution,1.79,4.23,5.17,0,2017,5/27/2017
San Jose Earthquakes,2,4,Los Angeles Galaxy,2.15,3.44,4.41,0,2017,5/27/2017
Seattle Sounders,1,0,Portland Timbers,1.83,4.05,5.12,0,2017,5/27/2017
FC Dallas,0,0,Dynamo Houston,1.69,4.17,5.84,0,2017,5/28/2017
Atlanta United FC,3,1,New York City,2.25,3.9,3.34,0,2017,5/28/2017
Orlando City,2,0,DC United,1.7,4.36,6,0,2017,5/31/2017
New York City,2,2,New England Revolution,1.95,4.16,4.74,0,2017,5/31/2017
Columbus Crew,3,0,Seattle Sounders,1.95,4.1,4.45,0,2017,5/31/2017
Dynamo Houston,5,1,Real Salt Lake,1.65,4.5,5.92,0,2017,5/31/2017
Portland Timbers,2,0,San Jose Earthquakes,1.91,4,5.22,0,2017,6/2/2017
DC United,0,0,Los Angeles Galaxy,2.38,3.66,3.4,0,2017,6/3/2017
Montreal Impact,1,0,New York Red Bulls,2.4,3.66,3.19,0,2017,6/3/2017
Colorado Rapids,2,1,Columbus Crew,2.53,3.41,3.15,0,2017,6/3/2017
New England Revolution,3,0,Toronto FC,2.3,3.7,3.3,0,2017,6/3/2017
FC Dallas,6,2,Real Salt Lake,1.48,5,8,0,2017,6/3/2017
New York City,2,1,Philadelphia Union,1.8,4.4,5.33,0,2017,6/3/2017
Sporting Kansas City,3,0,Minnesota United,1.44,5.2,8.97,0,2017,6/3/2017
Vancouver Whitecaps,3,1,Atlanta United FC,2.1,3.76,3.8,0,2017,6/3/2017
Orlando City,0,0,Chicago Fire,2.35,3.62,3.26,0,2017,6/4/2017
Seattle Sounders,1,0,Dynamo Houston,2,3.82,4.95,0,2017,6/4/2017
Sporting Kansas City,1,1,Montreal Impact,1.55,4.75,7,0,2017,6/10/2017
Chicago Fire,2,0,Atlanta United FC,1.76,4.25,4.8,0,2017,6/10/2017
Portland Timbers,2,0,FC Dallas,2.07,3.8,4.15,0,2017,6/10/2017
San Jose Earthquakes,0,0,Sporting Kansas City,2.84,3.22,3,0,2017,6/17/2017
Real Salt Lake,1,0,Minnesota United,1.85,4.16,5.01,0,2017,6/17/2017
Vancouver Whitecaps,1,1,FC Dallas,2.55,3.48,3.2,0,2017,6/17/2017
New England Revolution,1,2,Chicago Fire,2.1,3.73,3.7,0,2017,6/17/2017
Toronto FC,2,0,DC United,1.44,5.3,8.79,0,2017,6/17/2017
New York City,2,1,Seattle Sounders,2.15,3.75,4,0,2017,6/17/2017
Colorado Rapids,2,1,Portland Timbers,2.74,3.33,3.22,0,2017,6/17/2017
Los Angeles Galaxy,2,2,Dynamo Houston,2.86,3.6,3.75,0,2017,6/17/2017
Atlanta United FC,3,1,Columbus Crew,1.91,4,4.45,0,2017,6/17/2017
Orlando City,3,3,Montreal Impact,2.14,3.7,4.14,0,2017,6/17/2017
Philadelphia Union,0,2,New York Red Bulls,2.42,3.65,3.36,0,2017,6/18/2017
Seattle Sounders,1,1,Orlando City,1.59,4.38,6.9,0,2017,6/21/2017
Colorado Rapids,1,3,Los Angeles Galaxy,2.02,3.55,4.45,0,2017,6/21/2017
DC United,2,1,Atlanta United FC,2.88,3.6,2.75,0,2017,6/21/2017
Minnesota United,3,2,Portland Timbers,3.2,3.86,2.4,0,2017,6/21/2017
Dynamo Houston,1,1,FC Dallas,2.25,3.65,3.85,0,2017,6/23/2017
Toronto FC,2,0,New England Revolution,1.65,4.65,6.1,0,2017,6/23/2017
Atlanta United FC,1,0,Colorado Rapids,1.77,4.75,7.22,0,2017,6/24/2017
Philadelphia Union,1,0,DC United,1.85,4.19,5.42,0,2017,6/24/2017
Los Angeles Galaxy,1,2,Sporting Kansas City,3.73,3.32,2.6,0,2017,6/24/2017
San Jose Earthquakes,2,1,Real Salt Lake,1.88,4.26,5.91,0,2017,6/24/2017
Minnesota United,2,2,Vancouver Whitecaps,2.5,3.58,3,0,2017,6/24/2017
Chicago Fire,4,0,Orlando City,1.62,4.65,7.1,0,2017,6/24/2017
Columbus Crew,4,1,Montreal Impact,1.77,4.46,5.5,0,2017,6/24/2017
New York Red Bulls,0,2,New York City,2.01,3.84,4.11,0,2017,6/24/2017
New York City,3,1,Minnesota United,1.4,6.8,12,0,2017,6/29/2017
Real Salt Lake,0,1,Orlando City,2.14,3.85,3.94,0,2017,6/30/2017
Columbus Crew,0,2,Atlanta United FC,1.84,4.07,4.37,0,2017,7/1/2017
Sporting Kansas City,1,1,Portland Timbers,1.74,4.12,5.68,0,2017,7/1/2017
Montreal Impact,2,0,DC United,1.82,4,5.15,0,2017,7/1/2017
San Jose Earthquakes,2,1,Los Angeles Galaxy,2.04,3.99,5.46,0,2017,7/1/2017
FC Dallas,3,1,Toronto FC,2.11,3.62,3.95,0,2017,7/1/2017
Colorado Rapids,3,1,Dynamo Houston,2.67,3.3,3.6,0,2017,7/1/2017
Chicago Fire,4,0,Vancouver Whitecaps,1.57,4.55,6.22,0,2017,7/1/2017
Philadelphia Union,3,0,New England Revolution,2.17,3.71,3.68,0,2017,7/2/2017
Minnesota United,0,1,Columbus Crew,3.8,3.8,2.16,0,2017,7/4/2017
Colorado Rapids,1,3,Seattle Sounders,2.62,3.44,3,0,2017,7/4/2017
Los Angeles Galaxy,2,6,Real Salt Lake,2.27,3.7,4.18,0,2017,7/4/2017
FC Dallas,4,2,DC United,1.44,5.2,8.22,0,2017,7/4/2017
Orlando City,1,3,Toronto FC,2.85,3.56,2.7,0,2017,7/5/2017
Portland Timbers,2,2,Chicago Fire,2.05,3.88,3.88,0,2017,7/5/2017
New England Revolution,2,3,New York Red Bulls,2.17,3.7,3.6,0,2017,7/5/2017
Dynamo Houston,3,1,Montreal Impact,1.73,4.28,5.9,0,2017,7/5/2017
Vancouver Whitecaps,3,2,New York City,2.72,3.6,2.85,0,2017,7/5/2017
Sporting Kansas City,1,1,Philadelphia Union,1.74,4.01,5.55,0,2017,7/6/2017
Minnesota United,0,0,Dynamo Houston,3.35,3.8,2.38,0,2017,7/19/2017
Los Angeles Galaxy,0,1,Vancouver Whitecaps,2.09,3.86,4,0,2017,7/19/2017
Portland Timbers,1,4,Real Salt Lake,1.65,4.6,5.73,0,2017,7/19/2017
Montreal Impact,2,1,Philadelphia Union,1.89,3.92,4.4,0,2017,7/19/2017
New York City,2,2,Toronto FC,2,4.1,4.9,0,2017,7/19/2017
Seattle Sounders,4,3,DC United,1.57,4.75,6.79,0,2017,7/19/2017
New York Red Bulls,5,1,San Jose Earthquakes,1.68,4.25,5.8,0,2017,7/19/2017
Orlando City,0,1,Atlanta United FC,2.94,3.7,2.67,0,2017,7/21/2017
Columbus Crew,1,0,Philadelphia Union,1.73,4.67,7.28,0,2017,7/22/2017
