Home,HomeScore,RoadScore,Road,HomeOdds,DrawOdds,RoadOdds,Playoffs,Season,Date
Atlanta United FC,4,0,Los Angeles Galaxy,1.4,5.7,8.6,0,2017,9/20/2017
New York City,1,1,Dynamo Houston,1.99,3.85,4.1,0,2017,9/23/2017
Real Salt Lake,2,0,Seattle Sounders,2.2,3.75,3.57,0,2017,9/23/2017
New England Revolution,2,1,Toronto FC,2.62,3.65,3.12,0,2017,9/23/2017
Vancouver Whitecaps,2,1,Colorado Rapids,1.57,4.4,6.86,0,2017,9/23/2017
Philadelphia Union,3,1,Chicago Fire,2.5,3.64,3.01,0,2017,9/23/2017
Columbus Crew,3,2,New York Red Bulls,2.05,3.94,3.81,0,2017,9/23/2017
DC United,4,0,San Jose Earthquakes,2.16,3.71,3.54,0,2017,9/23/2017
Minnesota United,4,1,FC Dallas,3.95,3.81,2,0,2017,9/23/2017
Portland Timbers,3,0,Orlando City,1.62,4.94,6.63,0,2017,9/24/2017
Sporting Kansas City,2,1,Los Angeles Galaxy,1.48,4.82,8.1,0,2017,9/24/2017
Atlanta United FC,2,0,Montreal Impact,1.5,5.33,7.06,0,2017,9/24/2017
Montreal Impact,0,1,New York City,2.48,3.9,3.54,0,2017,9/27/2017
San Jose Earthquakes,1,4,Chicago Fire,2.14,3.88,4.15,0,2017,9/27/2017
FC Dallas,2,0,Colorado Rapids,1.4,5.3,11,0,2017,9/27/2017
Atlanta United FC,3,0,Philadelphia Union,1.44,5.27,7.76,0,2017,9/27/2017
Seattle Sounders,3,0,Vancouver Whitecaps,1.82,4.3,5.42,0,2017,9/27/2017
New York Red Bulls,3,3,DC United,1.53,4.73,6.83,0,2017,9/27/2017
Dynamo Houston,3,3,Los Angeles Galaxy,1.55,4.95,6.64,0,2017,9/27/2017
Orlando City,6,1,New England Revolution,2.31,3.81,3.15,0,2017,9/27/2017
Orlando City,0,0,FC Dallas,2.43,3.8,2.98,0,2017,9/30/2017
New England Revolution,0,0,Atlanta United FC,2.38,3.75,3.16,0,2017,9/30/2017
Sporting Kansas City,0,1,Vancouver Whitecaps,1.67,4.5,7.15,0,2017,9/30/2017
Chicago Fire,1,1,New York City,2.24,3.75,3.48,0,2017,9/30/2017
Los Angeles Galaxy,1,1,Real Salt Lake,3.14,4.19,2.8,0,2017,9/30/2017
Columbus Crew,2,0,DC United,1.55,5.5,8.5,0,2017,9/30/2017
Dynamo Houston,2,1,Minnesota United,1.44,5.7,9.5,0,2017,9/30/2017
Colorado Rapids,2,1,Montreal Impact,2.3,3.6,3.4,0,2017,9/30/2017
San Jose Earthquakes,2,1,Portland Timbers,3,3.65,3.2,0,2017,9/30/2017
Toronto FC,4,2,New York Red Bulls,1.78,4.33,5.57,0,2017,9/30/2017
Philadelphia Union,2,0,Seattle Sounders,2.53,3.6,2.96,0,2017,10/1/2017
Atlanta United FC,2,3,Minnesota United,1.28,6.6,12,0,2017,10/3/2017
Minnesota United,1,1,Sporting Kansas City,4.33,3.84,1.99,0,2017,10/7/2017
Colorado Rapids,1,1,FC Dallas,4,3.7,2.2,0,2017,10/7/2017
New York Red Bulls,3,0,Vancouver Whitecaps,1.63,4.95,7.53,0,2017,10/7/2017
Dynamo Houston,2,1,Sporting Kansas City,2.13,3.68,3.95,0,2017,10/11/2017
New York Red Bulls,0,0,Atlanta United FC,2.15,3.75,3.66,0,2017,10/15/2017
Sporting Kansas City,0,0,Dynamo Houston,1.76,4,5.17,0,2017,10/15/2017
Orlando City,0,1,Columbus Crew,2.76,3.66,2.72,0,2017,10/15/2017
Toronto FC,1,0,Montreal Impact,1.44,7,12,0,2017,10/15/2017
Colorado Rapids,1,0,Real Salt Lake,3.64,3.98,2.38,0,2017,10/15/2017
Vancouver Whitecaps,1,1,San Jose Earthquakes,1.84,4,5,0,2017,10/15/2017
New England Revolution,2,1,New York City,2.97,3.7,2.7,0,2017,10/15/2017
Los Angeles Galaxy,3,0,Minnesota United,1.78,4.72,5.2,0,2017,10/15/2017
Chicago Fire,3,2,Philadelphia Union,1.61,4.5,6.23,0,2017,10/15/2017
Portland Timbers,4,0,DC United,1.44,5.94,11,0,2017,10/15/2017
Seattle Sounders,4,0,FC Dallas,1.91,3.72,4.38,0,2017,10/15/2017
DC United,1,2,New York Red Bulls,2.2,4.01,3.67,0,2017,10/22/2017
Portland Timbers,2,1,Vancouver Whitecaps,1.67,4.9,7.01,0,2017,10/22/2017
Real Salt Lake,2,1,Sporting Kansas City,2.19,3.72,3.51,0,2017,10/22/2017
Atlanta United FC,2,2,Toronto FC,2.1,3.9,3.84,0,2017,10/22/2017
New York City,2,2,Columbus Crew,1.85,4.04,4.66,0,2017,10/22/2017
Montreal Impact,2,3,New England Revolution,2.06,3.93,3.64,0,2017,10/22/2017
Dynamo Houston,3,0,Chicago Fire,2.07,3.9,3.71,0,2017,10/22/2017
Seattle Sounders,3,0,Colorado Rapids,1.29,6.7,15,0,2017,10/22/2017
San Jose Earthquakes,3,2,Minnesota United,1.41,5.7,9.7,0,2017,10/22/2017
FC Dallas,5,1,Los Angeles Galaxy,1.39,5.97,10.26,0,2017,10/22/2017
Philadelphia Union,6,1,Orlando City,1.8,4.29,5.4,0,2017,10/22/2017
Chicago Fire,0,4,New York Red Bulls,2.14,3.62,3.54,1,2017,10/25/2017
Vancouver Whitecaps,5,0,San Jose Earthquakes,1.77,3.9,4.9,1,2017,10/25/2017
Atlanta United FC,(1)Ê0,0Ê(3),Columbus Crew,1.83,4.05,4.33,1,2017,10/26/2017
Dynamo Houston,1,0,Sporting Kansas City,2.2,3.45,3.6,1,2017,10/26/2017
Vancouver Whitecaps,0,0,Seattle Sounders,2.9,3.4,2.75,1,2017,10/29/2017
Dynamo Houston,0,0,Portland Timbers,2.26,3.56,3.31,1,2017,10/30/2017
New York Red Bulls,1,2,Toronto FC,2.5,3.65,2.95,1,2017,10/30/2017
Columbus Crew,4,1,New York City,2.25,3.7,3.57,1,2017,10/31/2017
Seattle Sounders,2,0,Vancouver Whitecaps,1.67,4.55,7,1,2017,11/2/2017
Toronto FC,0,1,New York Red Bulls,2.24,4.42,5.5,1,2017,11/5/2017
Portland Timbers,1,2,Dynamo Houston,1.77,4.1,5,1,2017,11/5/2017
New York City,2,0,Columbus Crew,1.65,4.95,5.69,1,2017,11/5/2017
Columbus Crew,0,0,Toronto FC,3.74,3.78,3.66,1,2017,11/21/2017
Dynamo Houston,0,2,Seattle Sounders,3.14,3.21,3.2,1,2017,11/21/2017
Toronto FC,1,0,Columbus Crew,1.57,4.9,7.5,1,2017,11/29/2017
Seattle Sounders,3,0,Dynamo Houston,1.8,5.6,20,1,2017,11/30/2017
Toronto FC,2,0,Seattle Sounders,1.86,3.73,5,1,2017,12/9/2017
Toronto FC,0,2,Columbus Crew,1.58,4.4,6.46,0,2018,3/3/2018
Orlando City,1,1,DC United,2.38,3.8,4.33,0,2018,3/3/2018
FC Dallas,1,1,Real Salt Lake,1.8,4.11,5.05,0,2018,3/3/2018
Philadelphia Union,2,0,New England Revolution,1.98,3.69,4.29,0,2018,3/3/2018
San Jose Earthquakes,3,2,Minnesota United,1.6,4.3,6.18,0,2018,3/3/2018
Dynamo Houston,4,0,Atlanta United FC,2.58,3.63,2.9,0,2018,3/3/2018
Sporting Kansas City,0,2,New York City,2.14,3.49,3.8,0,2018,3/4/2018
Vancouver Whitecaps,2,1,Montreal Impact,1.87,3.82,4.48,0,2018,3/4/2018
Los Angeles Galaxy,2,1,Portland Timbers,2.25,3.69,3.65,0,2018,3/4/2018
Seattle Sounders,0,1,Los Angeles FC,1.7,4.17,5.31,0,2018,3/4/2018
Dynamo Houston,1,2,Vancouver Whitecaps,1.8,4.25,6.25,0,2018,3/10/2018
Orlando City,1,2,Minnesota United,1.76,4.1,4.9,0,2018,3/10/2018
Real Salt Lake,1,5,Los Angeles FC,1.83,4.11,4.4,0,2018,3/10/2018
New England Revolution,2,1,Colorado Rapids,1.83,3.87,4.6,0,2018,3/10/2018
Columbus Crew,3,2,Montreal Impact,1.57,4.5,6,0,2018,3/10/2018
Chicago Fire,3,4,Sporting Kansas City,2.71,3.37,3.5,0,2018,3/10/2018
New York Red Bulls,4,0,Portland Timbers,2.41,3.52,3.25,0,2018,3/10/2018
Atlanta United FC,3,1,DC United,1.56,4.48,6.5,0,2018,3/11/2018
New York City,2,1,Los Angeles Galaxy,1.57,4.7,7.15,0,2018,3/11/2018
Philadelphia Union,0,0,Columbus Crew,2.29,3.66,3.21,0,2018,3/17/2018
Montreal Impact,1,0,Toronto FC,3,3.66,2.5,0,2018,3/17/2018
Real Salt Lake,1,0,New York Red Bulls,2.2,3.85,3.37,0,2018,3/17/2018
Minnesota United,2,1,Chicago Fire,2.6,3.77,2.79,0,2018,3/17/2018
DC United,2,2,Dynamo Houston,2.39,3.5,3.32,0,2018,3/17/2018
Sporting Kansas City,3,2,San Jose Earthquakes,1.53,4.6,8.27,0,2018,3/17/2018
Atlanta United FC,4,1,Vancouver Whitecaps,1.5,4.8,6.8,0,2018,3/17/2018
FC Dallas,3,0,Seattle Sounders,1.9,3.75,4.96,0,2018,3/18/2018
Vancouver Whitecaps,0,0,Los Angeles Galaxy,1.69,4.22,5.5,0,2018,3/24/2018
FC Dallas,1,1,Portland Timbers,1.65,4.3,5.83,0,2018,3/24/2018
New England Revolution,2,2,New York City,2.38,3.55,3.26,0,2018,3/24/2018
Colorado Rapids,2,2,Sporting Kansas City,3.31,3.19,2.8,0,2018,3/24/2018
New York Red Bulls,3,0,Minnesota United,1.33,6.9,15,0,2018,3/24/2018
Columbus Crew,3,1,DC United,1.88,4.25,5.42,0,2018,3/24/2018
Toronto FC,3,1,Real Salt Lake,1.53,4.75,7.48,0,2018,3/30/2018
Minnesota United,0,1,Atlanta United FC,3.64,3.82,2.11,0,2018,3/31/2018
Seattle Sounders,0,1,Montreal Impact,1.62,4.38,6.1,0,2018,3/31/2018
Dynamo Houston,0,2,New England Revolution,1.77,4.4,5.18,0,2018,3/31/2018
Sporting Kansas City,1,0,DC United,1.6,4.85,7.65,0,2018,3/31/2018
San Jose Earthquakes,1,2,New York City,2.76,3.75,3,0,2018,3/31/2018
Chicago Fire,2,2,Portland Timbers,2.25,3.78,3.37,0,2018,3/31/2018
Colorado Rapids,3,0,Philadelphia Union,2.25,3.6,3.5,0,2018,3/31/2018
Orlando City,4,3,New York Red Bulls,2.63,3.65,3.48,0,2018,3/31/2018
Columbus Crew,1,2,Vancouver Whitecaps,1.65,4.8,7.31,0,2018,3/31/2018
Los Angeles Galaxy,4,3,Los Angeles FC,2.19,3.74,4.1,0,2018,3/31/2018
New England Revolution,4,0,Montreal Impact,1.84,4.01,4.85,0,2018,4/6/2018
Chicago Fire,1,0,Columbus Crew,2.6,3.7,2.85,0,2018,4/7/2018
Philadelphia Union,1,1,San Jose Earthquakes,1.9,3.98,4.4,0,2018,4/7/2018
FC Dallas,1,1,Colorado Rapids,1.52,4.7,7.5,0,2018,4/7/2018
Real Salt Lake,2,1,Vancouver Whitecaps,1.92,4,4.41,0,2018,4/7/2018
Atlanta United FC,5,0,Los Angeles FC,1.64,4.75,5.14,0,2018,4/7/2018
Los Angeles Galaxy,0,2,Sporting Kansas City,2.37,3.65,3.24,0,2018,4/8/2018
Orlando City,3,2,Portland Timbers,2.15,3.9,3.44,0,2018,4/8/2018
New York City,4,0,Real Salt Lake,1.49,5.17,7.64,0,2018,4/11/2018
Philadelphia Union,0,2,Orlando City,1.66,4.54,5.63,0,2018,4/13/2018
Vancouver Whitecaps,0,2,Los Angeles FC,2.44,3.7,3.4,0,2018,4/13/2018
New England Revolution,0,1,FC Dallas,2.15,3.72,3.58,0,2018,4/14/2018
DC United,1,0,Columbus Crew,2.9,3.52,2.57,0,2018,4/14/2018
San Jose Earthquakes,2,2,Dynamo Houston,2.31,3.75,3.4,0,2018,4/14/2018
Portland Timbers,3,2,Minnesota United,1.47,5.55,8.5,0,2018,4/14/2018
New York Red Bulls,3,1,Montreal Impact,1.49,4.8,7.41,0,2018,4/14/2018
Colorado Rapids,2,0,Toronto FC,2.28,3.62,3.98,0,2018,4/14/2018
Chicago Fire,0,1,Los Angeles Galaxy,2.45,3.68,3.3,0,2018,4/14/2018
Atlanta United FC,2,2,New York City,2.04,4.03,3.68,0,2018,4/15/2018
Sporting Kansas City,2,2,Seattle Sounders,1.81,3.92,5.48,0,2018,4/15/2018
Sporting Kansas City,6,0,Vancouver Whitecaps,1.54,4.35,7.23,0,2018,4/20/2018
Los Angeles Galaxy,0,2,Atlanta United FC,2.14,3.97,3.49,0,2018,4/21/2018
FC Dallas,2,0,Philadelphia Union,1.67,4.34,6.73,0,2018,4/21/2018
Columbus Crew,2,2,New England Revolution,1.74,4.21,5.25,0,2018,4/21/2018
Real Salt Lake,3,0,Colorado Rapids,1.85,3.84,4.74,0,2018,4/21/2018
Orlando City,3,2,San Jose Earthquakes,1.76,4.31,4.82,0,2018,4/21/2018
Montreal Impact,3,5,Los Angeles FC,2.43,3.67,3,0,2018,4/21/2018
Dynamo Houston,5,1,Toronto FC,1.35,5.7,11,0,2018,4/21/2018
New York Red Bulls,1,2,Chicago Fire,1.45,5.3,7.82,0,2018,4/21/2018
Portland Timbers,3,0,New York City,2.32,3.85,3.18,0,2018,4/22/2018
Seattle Sounders,3,1,Minnesota United,1.39,5.39,9.7,0,2018,4/22/2018
Vancouver Whitecaps,2,0,Real Salt Lake,2.09,3.82,3.93,0,2018,4/27/2018
New England Revolution,1,0,Sporting Kansas City,2.49,3.7,3.62,0,2018,4/28/2018
Columbus Crew,2,1,San Jose Earthquakes,1.52,4.71,6.83,0,2018,4/28/2018
Minnesota United,2,1,Dynamo Houston,2.88,3.76,2.6,0,2018,4/28/2018
Los Angeles Galaxy,2,3,New York Red Bulls,2.64,3.6,2.92,0,2018,4/28/2018
Atlanta United FC,4,1,Montreal Impact,1.38,6.6,9.5,0,2018,4/28/2018
Toronto FC,2,2,Chicago Fire,1.65,4.39,5.75,0,2018,4/28/2018
Philadelphia Union,3,2,DC United,1.76,3.92,5.3,0,2018,4/28/2018
Los Angeles FC,1,0,Seattle Sounders,1.92,4.05,4.46,0,2018,4/29/2018
New York City,3,1,FC Dallas,1.76,4.3,4.91,0,2018,4/29/2018
Colorado Rapids,1,2,Orlando City,2.14,3.92,4.07,0,2018,4/29/2018
Toronto FC,3,0,Philadelphia Union,1.53,4.66,6.7,0,2018,5/4/2018
San Jose Earthquakes,0,1,Portland Timbers,2.62,3.66,2.75,0,2018,5/5/2018
Sporting Kansas City,1,0,Colorado Rapids,1.58,4.8,8.61,0,2018,5/5/2018
Chicago Fire,1,2,Atlanta United FC,3.43,3.77,2.25,0,2018,5/5/2018
Dynamo Houston,3,2,Los Angeles Galaxy,1.9,4.11,4.26,0,2018,5/5/2018
Montreal Impact,4,2,New England Revolution,2.38,3.72,3.15,0,2018,5/5/2018
New York Red Bulls,4,0,New York City,1.95,3.84,4.14,0,2018,5/5/2018
Minnesota United,1,0,Vancouver Whitecaps,2.3,3.61,3.32,0,2018,5/5/2018
Los Angeles FC,1,1,FC Dallas,2.04,3.85,3.76,0,2018,5/5/2018
Seattle Sounders,0,0,Columbus Crew,1.91,3.82,4.44,0,2018,5/5/2018
Orlando City,3,1,Real Salt Lake,1.78,4.32,5.1,0,2018,5/6/2018
Atlanta United FC,0,2,Sporting Kansas City,1.69,4.3,5.5,0,2018,5/9/2018
Columbus Crew,1,0,Philadelphia Union,1.71,4.4,7,0,2018,5/9/2018
Chicago Fire,1,0,Montreal Impact,1.82,4.02,4.54,0,2018,5/9/2018
Toronto FC,1,2,Seattle Sounders,1.56,4.52,6.32,0,2018,5/9/2018
Los Angeles FC,2,0,Minnesota United,1.32,6.3,10.02,0,2018,5/9/2018
Vancouver Whitecaps,2,2,Dynamo Houston,2.29,3.74,3.22,0,2018,5/11/2018
Colorado Rapids,1,2,New York Red Bulls,3.32,3.58,2.3,0,2018,5/12/2018
Columbus Crew,3,0,Chicago Fire,1.55,5.21,7.1,0,2018,5/12/2018
New England Revolution,3,2,Toronto FC,2.38,4.42,3.75,0,2018,5/12/2018
Real Salt Lake,3,2,DC United,1.87,3.9,4.35,0,2018,5/12/2018
Minnesota United,1,3,San Jose Earthquakes,2.22,3.92,3.5,0,2018,5/12/2018
Montreal Impact,0,2,Philadelphia Union,2.05,4.2,4.1,0,2018,5/12/2018
FC Dallas,3,2,Los Angeles Galaxy,1.79,4.25,5.4,0,2018,5/12/2018
Orlando City,1,2,Atlanta United FC,2.89,3.82,2.49,0,2018,5/13/2018
Los Angeles FC,2,2,New York City,2.13,3.8,3.51,0,2018,5/13/2018
Portland Timbers,1,0,Seattle Sounders,2.07,3.69,4.2,0,2018,5/13/2018
Vancouver Whitecaps,2,2,San Jose Earthquakes,1.71,4.4,5,0,2018,5/16/2018
Toronto FC,2,1,Orlando City,1.73,4.35,6,0,2018,5/18/2018
New England Revolution,0,1,Columbus Crew,2.4,3.8,2.98,0,2018,5/19/2018
San Jose Earthquakes,1,3,DC United,2.08,3.75,3.82,0,2018,5/19/2018
Philadelphia Union,4,1,Real Salt Lake,1.76,4.04,5,0,2018,5/19/2018
New York City,4,0,Colorado Rapids,1.41,5.2,10,0,2018,5/19/2018
Portland Timbers,2,1,Los Angeles FC,2.2,3.78,3.95,0,2018,5/19/2018
FC Dallas,2,2,Vancouver Whitecaps,1.62,4.6,6.45,0,2018,5/19/2018
Atlanta United FC,1,3,New York Red Bulls,1.78,4.3,4.6,0,2018,5/20/2018
Minnesota United,1,1,Sporting Kansas City,4.1,3.89,1.96,0,2018,5/20/2018
Chicago Fire,2,3,Dynamo Houston,2.38,3.75,3.04,0,2018,5/20/2018
Montreal Impact,0,1,Los Angeles Galaxy,2.63,3.88,2.74,0,2018,5/21/2018
Toronto FC,0,1,FC Dallas,1.86,3.8,4.85,0,2018,5/25/2018
Los Angeles Galaxy,1,0,San Jose Earthquakes,1.67,4.65,5.5,0,2018,5/25/2018
Dynamo Houston,3,1,New York City,2.22,3.88,3.5,0,2018,5/25/2018
New York Red Bulls,0,0,Philadelphia Union,1.55,4.61,6.91,0,2018,5/26/2018
Los Angeles FC,1,1,DC United,1.57,5.15,7.5,0,2018,5/26/2018
Orlando City,1,2,Chicago Fire,2.12,4,4.5,0,2018,5/26/2018
Minnesota United,2,0,Montreal Impact,2.25,3.78,3.45,0,2018,5/26/2018
Colorado Rapids,2,3,Portland Timbers,2.64,3.66,2.83,0,2018,5/26/2018
Seattle Sounders,0,1,Real Salt Lake,1.55,4.49,6.89,0,2018,5/26/2018
Vancouver Whitecaps,3,3,New England Revolution,2.05,3.86,3.75,0,2018,5/26/2018
Sporting Kansas City,0,0,Columbus Crew,1.94,3.95,5.42,0,2018,5/27/2018
New England Revolution,1,1,Atlanta United FC,2.81,3.96,2.82,0,2018,5/30/2018
Real Salt Lake,2,1,Dynamo Houston,2.62,3.92,2.8,0,2018,5/30/2018
Los Angeles Galaxy,2,3,FC Dallas,1.98,4.06,4.5,0,2018,5/30/2018
Philadelphia Union,3,1,Chicago Fire,1.51,5.2,6.75,0,2018,5/30/2018
Colorado Rapids,1,2,Vancouver Whitecaps,2.26,3.55,3.41,0,2018,6/1/2018
Montreal Impact,1,0,Dynamo Houston,2.24,4.65,4.3,0,2018,6/2/2018
Real Salt Lake,2,0,Seattle Sounders,2.4,3.62,3.08,0,2018,6/2/2018
New England Revolution,2,1,New York Red Bulls,3.07,3.91,2.44,0,2018,6/2/2018
FC Dallas,2,1,Los Angeles FC,1.73,4.09,5.1,0,2018,6/2/2018
Chicago Fire,2,1,San Jose Earthquakes,1.93,4,3.88,0,2018,6/2/2018
New York City,3,0,Orlando City,1.5,5.3,8,0,2018,6/2/2018
Atlanta United FC,3,1,Philadelphia Union,1.43,5.2,8,0,2018,6/2/2018
Columbus Crew,3,3,Toronto FC,2.23,3.75,3.69,0,2018,6/2/2018
Portland Timbers,1,1,Los Angeles Galaxy,1.75,4.45,5,0,2018,6/2/2018
Sporting Kansas City,4,1,Minnesota United,1.34,5.75,10.97,0,2018,6/3/2018
Philadelphia Union,0,2,Toronto FC,2.63,3.78,3.14,0,2018,6/8/2018
Portland Timbers,0,0,Sporting Kansas City,2.42,3.6,3.04,0,2018,6/9/2018
Chicago Fire,1,1,New England Revolution,2.2,4.1,3.55,0,2018,6/9/2018
FC Dallas,2,0,Montreal Impact,1.47,5,8.67,0,2018,6/9/2018
Dynamo Houston,2,0,Colorado Rapids,1.46,4.7,8.8,0,2018,6/9/2018
Seattle Sounders,2,1,DC United,1.69,3.85,5.9,0,2018,6/9/2018
Los Angeles Galaxy,3,0,Real Salt Lake,1.67,4.3,5.3,0,2018,6/9/2018
San Jose Earthquakes,3,4,Los Angeles FC,2.71,3.85,2.65,0,2018,6/9/2018
Vancouver Whitecaps,5,2,Orlando City,1.86,4.11,4.75,0,2018,6/9/2018
New York City,1,1,Atlanta United FC,2.39,3.86,2.98,0,2018,6/9/2018
Columbus Crew,1,1,New York Red Bulls,2.02,4.2,4.04,0,2018,6/9/2018
Columbus Crew,0,2,Atlanta United FC,2.06,3.89,3.65,0,2018,6/13/2018
New York Red Bulls,2,1,Seattle Sounders,1.59,4.2,6.7,0,2018,6/13/2018
Colorado Rapids,2,2,Chicago Fire,2.21,3.51,3.63,0,2018,6/13/2018
San Jose Earthquakes,2,2,New England Revolution,2.27,3.82,3.2,0,2018,6/13/2018
Montreal Impact,3,0,Orlando City,1.8,4.4,4.5,0,2018,6/13/2018
Toronto FC,4,4,DC United,1.61,4.65,7.15,0,2018,6/13/2018
Real Salt Lake,1,1,San Jose Earthquakes,1.66,4.33,5.41,0,2018,6/23/2018
Seattle Sounders,1,1,Chicago Fire,1.64,4.16,6.29,0,2018,6/23/2018
Los Angeles FC,2,0,Columbus Crew,2.41,3.64,3.09,0,2018,6/23/2018
New York Red Bulls,3,0,FC Dallas,1.8,3.95,5.1,0,2018,6/23/2018
Sporting Kansas City,3,2,Dynamo Houston,1.94,3.79,4.33,0,2018,6/23/2018
Colorado Rapids,3,2,Minnesota United,1.93,3.85,4.4,0,2018,6/23/2018
Philadelphia Union,4,0,Vancouver Whitecaps,1.95,4.2,4.5,0,2018,6/23/2018
Atlanta United FC,1,1,Portland Timbers,1.58,4.9,5.8,0,2018,6/24/2018
New York City,2,1,Toronto FC,1.82,4.21,4.51,0,2018,6/24/2018
Minnesota United,0,1,FC Dallas,3.32,3.75,2.25,0,2018,6/29/2018
Montreal Impact,2,0,Sporting Kansas City,3.02,3.6,2.88,0,2018,6/30/2018
Columbus Crew,2,1,Real Salt Lake,1.62,4.81,7.5,0,2018,6/30/2018
New England Revolution,3,2,DC United,1.74,4.1,5,0,2018,6/30/2018
Chicago Fire,3,2,New York City,2.88,3.75,2.7,0,2018,6/30/2018
San Jose Earthquakes,3,3,Los Angeles Galaxy,2.67,3.83,2.7,0,2018,6/30/2018
Atlanta United FC,4,0,Orlando City,1.3,6.5,11,0,2018,6/30/2018
Los Angeles FC,4,1,Philadelphia Union,1.67,4.35,5.6,0,2018,6/30/2018
Seattle Sounders,2,3,Portland Timbers,2.33,3.5,3.3,0,2018,6/30/2018
Vancouver Whitecaps,0,1,Colorado Rapids,1.76,4.5,7.5,0,2018,7/1/2018
Dynamo Houston,2,2,Los Angeles FC,2,4,3.68,0,2018,7/3/2018
Colorado Rapids,1,2,Seattle Sounders,2.42,3.48,3.15,0,2018,7/4/2018
Los Angeles Galaxy,2,2,DC United,1.68,4.38,5.32,0,2018,7/4/2018
FC Dallas,3,2,Atlanta United FC,2.4,3.76,3.05,0,2018,7/4/2018
Real Salt Lake,4,2,Sporting Kansas City,2.62,3.58,2.88,0,2018,7/4/2018
Minnesota United,4,3,Toronto FC,3.1,3.85,2.5,0,2018,7/4/2018
New England Revolution,0,0,Seattle Sounders,1.7,4.5,5,0,2018,7/7/2018
Philadelphia Union,0,2,Atlanta United FC,2.44,3.85,2.9,0,2018,7/7/2018
Real Salt Lake,2,0,FC Dallas,2.2,3.9,3.5,0,2018,7/7/2018
Montreal Impact,2,1,Colorado Rapids,1.69,4.3,5.7,0,2018,7/7/2018
Portland Timbers,2,1,San Jose Earthquakes,1.53,4.75,6.25,0,2018,7/7/2018
Sporting Kansas City,2,2,Toronto FC,2.13,3.75,4.07,0,2018,7/7/2018
Dynamo Houston,3,0,Minnesota United,1.5,5.45,7.5,0,2018,7/7/2018
Vancouver Whitecaps,3,2,Chicago Fire,1.81,4.33,4.3,0,2018,7/7/2018
Los Angeles Galaxy,4,0,Columbus Crew,2.23,3.66,3.48,0,2018,7/7/2018
Los Angeles FC,4,1,Orlando City,1.5,5.1,7.1,0,2018,7/7/2018
New York City,1,0,New York Red Bulls,2.6,3.91,2.79,0,2018,7/8/2018
New York City,3,0,Montreal Impact,1.62,4.5,7.5,0,2018,7/11/2018
Chicago Fire,3,4,Philadelphia Union,2.31,3.82,4.75,0,2018,7/11/2018
Colorado Rapids,0,0,Dynamo Houston,3.01,3.55,2.8,0,2018,7/14/2018
New York City,2,0,Columbus Crew,2.06,4,5.5,0,2018,7/14/2018
Montreal Impact,2,0,San Jose Earthquakes,1.85,4.3,5.18,0,2018,7/14/2018
Orlando City,2,1,Toronto FC,2.8,4.1,2.76,0,2018,7/14/2018
New England Revolution,2,3,Los Angeles Galaxy,2.05,4.15,4.44,0,2018,7/14/2018
DC United,3,1,Vancouver Whitecaps,2.05,4.33,5.1,0,2018,7/14/2018
FC Dallas,3,1,Chicago Fire,1.6,5.9,10,0,2018,7/14/2018
New York Red Bulls,3,2,Sporting Kansas City,1.95,4.45,5.55,0,2018,7/14/2018
Minnesota United,3,2,Real Salt Lake,2.4,3.84,3,0,2018,7/14/2018
Los Angeles FC,0,0,Portland Timbers,1.85,4.8,5,0,2018,7/15/2018
Atlanta United FC,1,1,Seattle Sounders,1.55,5.38,8.5,0,2018,7/15/2018
Minnesota United,2,1,New England Revolution,2.38,3.99,3.26,0,2018,7/18/2018
Dynamo Houston,1,1,FC Dallas,2.21,3.81,3.66,0,2018,7/21/2018
Chicago Fire,1,2,Toronto FC,2.99,3.86,2.54,0,2018,7/21/2018
Philadelphia Union,1,3,Los Angeles Galaxy,1.8,4.3,4.35,0,2018,7/21/2018
Seattle Sounders,2,0,Vancouver Whitecaps,1.9,3.85,4.5,0,2018,7/21/2018
New York Red Bulls,2,0,New England Revolution,1.44,5.4,8,0,2018,7/21/2018
Real Salt Lake,2,2,Colorado Rapids,1.61,4.33,6.15,0,2018,7/21/2018
Portland Timbers,2,2,Montreal Impact,1.67,4.33,5.62,0,2018,7/21/2018
Atlanta United FC,3,1,DC United,1.5,5.28,7.1,0,2018,7/21/2018
Columbus Crew,3,2,Orlando City,1.42,5.52,8.03,0,2018,7/21/2018
Minnesota United,5,1,Los Angeles FC,3.35,4,2.5,0,2018,7/22/2018
DC United,0,1,New York Red Bulls,2.92,3.94,2.43,0,2018,7/25/2018
San Jose Earthquakes,0,1,Seattle Sounders,2.48,3.68,2.92,0,2018,7/25/2018
Dynamo Houston,1,3,Philadelphia Union,1.77,4.2,4.7,0,2018,7/25/2018
Orlando City,0,2,New York City,2.93,3.94,2.48,0,2018,7/26/2018
Los Angeles FC,2,2,Los Angeles Galaxy,1.83,4.5,3.97,0,2018,7/26/2018
San Jose Earthquakes,0,0,Real Salt Lake,2.23,3.95,3.17,0,2018,7/28/2018
Montreal Impact,1,2,Atlanta United FC,3.18,3.71,2.33,0,2018,7/28/2018
DC United,2,1,Colorado Rapids,1.64,4.2,6.02,0,2018,7/28/2018
Portland Timbers,2,1,Dynamo Houston,1.7,4.25,5.2,0,2018,7/28/2018
New York Red Bulls,2,3,Columbus Crew,1.9,4.22,5.27,0,2018,7/28/2018
