Week_of_season,Visitor,Hometeam,HomeScore,AwayScore,HomeSpread,AwaySpread,Total,pct_bets_vis_spread,pct_bets_home_spread,volume,pct_bets_over,pct_bets_under,,,,,,,,,,,
17,Broncos,Bengals,30,24,-3,3,50.5,0.56,0.44,186216,0.64,0.36,,,,,,,,,,,
17,Cardinals,Rams,13,9,-6.5,6.5,48,0.36,0.64,139213,0.66,0.34,,,,,,,,,,,
17,Jets,Bills,40,14,-10,10,44.5,0.32,0.68,142040,0.7,0.3,,,,,,,,,,,
17,Raiders,Saints,10,25,1.5,-1.5,37.5,0.51,0.49,75730,0.76,0.24,,,,,,,,,,,
17,Colts,Giants,45,33,7.5,-7.5,40.5,0.76,0.24,114837,0.76,0.24,,,,,,,,,,,
17,Panthers,Buccaneers,48,14,-10,10,47.5,0.46,0.54,153768,0.68,0.32,,,,,,,,,,,
17,Titans,Jaguars,20,13,0,0,38.5,0.53,0.47,75200,0.73,0.27,,,,,,,,,,,
17,Cowboys,Eagles,41,7,-7.5,7.5,37.5,0.45,0.55,114999,0.86,0.14,,,,,,,,,,,
17,Dolphins,Browns,3,20,3,-3,32.5,0.69,0.31,94118,0.83,0.17,,,,,,,,,,,
17,Packers,Vikings,27,25,-1,1,49,0.56,0.44,173584,0.8,0.2,,,,,,,,,,,
17,Falcons,Commanders,30,24,-3.5,3.5,46.5,0.33,0.67,211172,0.72,0.28,,,,,,,,,,,
17,Lions,49ers,34,40,3.5,-3.5,50.5,0.82,0.18,243262,0.62,0.38,,,,,,,,,,,
18,Browns,Ravens,35,10,-20,20,42,0.48,0.52,150305,0.82,0.18,,,,,,,,,,,
18,Bengals,Steelers,17,19,2.5,-2.5,48.5,0.56,0.44,226919,0.77,0.23,,,,,,,,,,,
18,Bills,Patriots,23,16,3,-3,36.5,0.7,0.3,48775,0.85,0.15,,,,,,,,,,,
18,Texans,Titans,14,23,-2.5,2.5,36.5,0.75,0.25,54622,0.78,0.22,,,,,,,,,,,
18,Jaguars,Colts,26,23,-3.5,3.5,45.5,0.43,0.57,57343,0.77,0.23,,,,,,,,,,,
18,Commanders,Cowboys,19,23,7,-7,43.5,0.7,0.29,96536,0.81,0.19,,,,,,,,,,,
18,Saints,Buccaneers,27,19,-14.5,14.5,44.5,0.16,0.84,119649,0.82,0.18,,,,,,,,,,,
18,Panthers,Falcons,38,44,-8,8,48.5,0.38,0.62,89271,0.66,0.34,,,,,,,,,,,
18,Bears,Packers,22,24,-10,10,41.5,0.22,0.78,72322,0.78,0.22,,,,,,,,,,,
18,Giants,Eagles,20,13,-3,3,36,0.28,0.72,60791,0.85,0.15,,,,,,,,,,,
18,Chargers,Raiders,20,34,7,-7,42,0.8,0.2,78184,0.46,0.54,,,,,,,,,,,
18,Seahawks,Rams,25,30,7,-7,38.5,0.42,0.58,85999,0.55,0.45,,,,,,,,,,,
18,Dolphins,Jets,32,20,-2,2,39.5,0.69,0.31,97798,0.5,0.5,,,,,,,,,,,
18,49ers,Cardinals,47,24,-4.5,4.5,43,0.59,0.41,62937,0.87,0.13,,,,,,,,,,,
18,Chiefs,Broncos,38,0,-11,11,40.5,0.77,0.23,120891,0.84,0.16,,,,,,,,,,,
18,Vikings,Lions,31,9,-3,3,56.5,0.58,0.42,296727,0.76,0.24,,,,,,,,,,,
