Week_of_season,Visitor,Hometeam,HomeScore,AwayScore,HomeSpread,AwaySpread,Total,pct_bets_vis_spread,pct_bets_home_spread,volume,pct_bets_over,pct_bets_under,,,,,,,,,,,
4,Vikings,Packers,29,31,-2.5,2.5,44.5,0.78,0.22,152026,0.89,0.11,,,,,,,,,,,
4,Steelers,Colts,27,24,2.5,-2.5,41,0.58,0.42,156429,0.85,0.15,,,,,,,,,,,
4,Patriots,49ers,30,13,-10.5,10.5,42,0.33,0.67,81637,0.92,0.08,,,,,,,,,,,
4,Commanders,Cardinals,14,42,-3.5,3.5,48.5,0.53,0.47,154500,0.88,0.12,,,,,,,,,,,
4,Chiefs,Chargers,10,17,7,-7,41.5,0.54,0.46,129792,0.9,0.1,,,,,,,,,,,
4,Browns,Raiders,20,16,2.5,-2.5,37,0.5,0.5,77729,0.91,0.09,,,,,,,,,,,
4,Bills,Ravens,35,10,-2.5,2.5,47.5,0.71,0.29,307421,0.78,0.22,,,,,,,,,,,
4,Titans,Dolphins,12,31,-2.5,2.5,37.5,0.49,0.51,196208,0.8,0.2,,,,,,,,,,,
4,Seahawks,Lions,42,29,-4.5,4.5,47,0.51,0.49,266763,0.68,0.32,,,,,,,,,,,
5,Buccaneers,Falcons,36,30,-2.5,2.5,44,0.7,0.3,342019,0.75,0.25,,,,,,,,,,,
5,Jets,Vikings,23,17,-2.5,2.5,42,0.32,0.68,140485,0.86,0.14,,,,,,,,,,,
5,Dolphins,Patriots,10,15,2,-2,37,0.39,0.61,69379,0.76,0.24,,,,,,,,,,,
5,Panthers,Bears,36,10,-4,4,40.5,0.41,0.59,121047,0.81,0.19,,,,,,,,,,,
5,Colts,Jaguars,37,34,-3.5,3.5,44.5,0.64,0.36,113429,0.61,0.39,,,,,,,,,,,
5,Bills,Texans,23,20,-1,1,47.5,0.72,0.28,146473,0.66,0.34,,,,,,,,,,,
5,Ravens,Bengals,38,41,2.5,-2.5,48.5,0.57,0.43,158635,0.77,0.23,,,,,,,,,,,
5,Browns,Commanders,34,13,-3,3,43.5,0.51,0.49,122683,0.81,0.19,,,,,,,,,,,
5,Raiders,Broncos,34,18,-3,3,36,0.55,0.45,99298,0.83,0.17,,,,,,,,,,,
5,Cardinals,49ers,23,24,-7,7,49,0.47,0.53,121608,0.78,0.22,,,,,,,,,,,
5,Giants,Seahawks,20,29,-7,7,42.5,0.29,0.71,123249,0.8,0.2,,,,,,,,,,,
5,Packers,Rams,19,24,3,-3,49.5,0.61,0.39,146417,0.75,0.25,,,,,,,,,,,
5,Cowboys,Steelers,17,20,-2.5,2.5,43.5,0.63,0.37,240571,0.72,0.28,,,,,,,,,,,
5,Saints,Chiefs,26,13,-5.5,5.5,43,0.59,0.41,345003,0.82,0.18,,,,,,,,,,,
6,49ers,Seahawks,24,36,3.5,-3.5,48.5,0.7,0.3,319558,0.69,0.31,,,,,,,,,,,
6,Jaguars,Bears,35,16,1.5,-1.5,44.5,0.27,0.73,140838,0.78,0.22,,,,,,,,,,,
6,Commanders,Ravens,30,23,-7,7,50.5,0.29,0.71,169288,0.74,0.26,,,,,,,,,,,
6,Texans,Patriots,21,41,6.5,-6.5,39.5,0.79,0.21,136900,0.84,0.16,,,,,,,,,,,
6,Browns,Eagles,20,16,-8.5,8.5,42,0.38,0.62,103751,0.76,0.24,,,,,,,,,,,
6,Colts,Titans,17,20,-2.5,2.5,41.5,0.72,0.28,99308,0.8,0.2,,,,,,,,,,,
6,Cardinals,Packers,34,13,-5.5,5.5,47,0.58,0.42,127555,0.68,0.32,,,,,,,,,,,
6,Buccaneers,Saints,27,51,3.5,-3.5,42.5,0.66,0.34,131084,0.76,0.24,,,,,,,,,,,
6,Steelers,Raiders,13,32,3.5,-3.5,37,0.74,0.26,82601,0.83,0.17,,,,,,,,,,,
6,Chargers,Broncos,16,23,3,-3,37,0.4,0.6,103064,0.79,0.21,,,,,,,,,,,
6,Lions,Cowboys,9,47,3.5,-3.5,53.5,0.68,0.32,195329,0.7,0.3,,,,,,,,,,,
6,Falcons,Panthers,20,38,6,-6,46,0.79,0.21,130978,0.7,0.3,,,,,,,,,,,
6,Bengals,Giants,7,17,4,-4,46.5,0.75,0.25,256292,0.75,0.25,,,,,,,,,,,
6,Bills,Jets,20,23,1,-1,42,0.79,0.21,348315,0.65,0.35,,,,,,,,,,,
7,Broncos,Saints,10,33,2.5,-2.5,37,0.55,0.45,281511,0.87,0.13,,,,,,,,,,,
7,Patriots,Jaguars,32,16,-7,7,42.5,0.62,0.38,101681,0.83,0.17,,,,,,,,,,,
7,Dolphins,Colts,16,10,-3,3,44,0.45,0.55,83854,0.72,0.28,,,,,,,,,,,
7,Seahawks,Falcons,14,34,-3,3,51.5,0.5,0.5,142015,0.77,0.23,,,,,,,,,,,
7,Texans,Packers,24,22,-3,3,47.5,0.67,0.33,130080,0.85,0.15,,,,,,,,,,,
7,Bengals,Browns,14,21,5,-5,42.5,0.75,0.25,113747,0.82,0.18,,,,,,,,,,,
7,Eagles,Giants,3,28,3,-3,42,0.78,0.22,139475,0.76,0.24,,,,,,,,,,,
7,Lions,Vikings,29,31,-1.5,1.5,50,0.74,0.26,178411,0.75,0.25,,,,,,,,,,,
7,Titans,Bills,34,10,-9.5,9.5,41,0.19,0.81,97652,0.89,0.11,,,,,,,,,,,
7,Panthers,Commanders,40,7,-10,10,51,0.18,0.82,125187,0.69,0.31,,,,,,,,,,,
7,Raiders,Rams,20,15,-7,7,43.5,0.39,0.61,80723,0.77,0.23,,,,,,,,,,,
7,Chiefs,49ers,18,28,-2.5,2.5,48,0.78,0.22,166491,0.68,0.32,,,,,,,,,,,
7,Jets,Steelers,37,15,2.5,-2.5,40,0.59,0.41,229302,0.67,0.33,,,,,,,,,,,
7,Ravens,Buccaneers,31,41,4,-4,51,0.64,0.36,298318,0.79,0.21,,,,,,,,,,,
7,Chargers,Cardinals,17,15,1.5,-1.5,44.5,0.57,0.43,204179,0.67,0.33,,,,,,,,,,,
8,Vikings,Rams,30,20,2.5,-2.5,47,0.7,0.3,285302,0.71,0.29,,,,,,,,,,,
8,Cardinals,Dolphins,27,28,-4.5,4.5,46.5,0.5,0.5,126056,0.73,0.27,,,,,,,,,,,
8,Jets,Patriots,25,22,7,-7,41,0.77,0.23,89897,0.74,0.26,,,,,,,,,,,
8,Falcons,Buccaneers,26,31,1.5,-1.5,48,0.62,0.38,118271,0.83,0.17,,,,,,,,,,,
8,Titans,Lions,52,14,-12.5,12.5,45.5,0.12,0.88,96435,0.86,0.14,,,,,,,,,,,
8,Packers,Jaguars,27,30,3.5,-3.5,49,0.8,0.2,160140,0.71,0.29,,,,,,,,,,,
8,Colts,Texans,23,20,-5,5,45,0.23,0.77,106613,0.79,0.21,,,,,,,,,,,
8,Ravens,Browns,29,24,7,-7,44.5,0.82,0.18,151956,0.85,0.15,,,,,,,,,,,
8,Eagles,Bengals,17,37,-2.5,2.5,47.5,0.64,0.36,146064,0.72,0.28,,,,,,,,,,,
8,Bills,Seahawks,10,31,3,-3,45,0.66,0.34,116261,0.83,0.17,,,,,,,,,,,
