NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Ollie Schniederjans,30,2017,1935669,0,28,88,18,5,0,70.4,300.7,51.9,65.3,1.778,54.5,3.784
Rafa Cabrera Bello,39,2017,1934675,0,19,60,13,4,0,71.1,291.7,61.4,62.7,1.774,53.3,3.483
Jamie Lovemark,36,2017,1886972,0,28,97,22,4,0,69.6,304.9,57.4,66.1,1.77,53.2,3.68
Sean O'Hair,41,2017,1873856,0,25,84,17,5,0,70.9,297.5,60.6,66.4,1.778,51.4,3.595
James Hahn,42,2017,1841314,0,28,96,20,4,0,70.8,293.9,63.1,66.1,1.792,48,3.385
Chez Reavie,42,2017,1819207,0,28,95,20,4,0,70,285.2,71.4,67.3,1.756,52.3,3.674
Bryson DeChambeau,30,2017,1817054,0,31,90,14,2,1,69.9,299.4,58.3,65.5,1.785,46,3.567
Luke List,39,2017,1813219,0,31,98,19,3,0,70.1,311.5,55.6,69.1,1.78,46.4,3.99
Martin Laird,41,2017,1759706,0,25,83,17,5,0,70.5,296.9,65.7,65.9,1.765,47.2,3.47
Ryan Moore,41,2017,1751851,0,24,79,18,2,0,70.9,288,67.9,65,1.764,47.3,3.544
Scott Brown,40,2017,1748324,0,29,91,18,2,0,70.8,289,63.9,64.3,1.76,52.7,3.56
Kevin Na,40,2017,1728351,0,26,83,18,5,0,69.4,283.7,61.3,65.5,1.755,54.5,3.759
Adam Scott,43,2017,1695144,0,16,58,13,4,0,70.6,307,56.7,67,1.78,53.8,3.776
Russell Knox,38,2017,1643924,0,24,71,14,4,0,69.7,288.6,67.6,66.6,1.785,37.9,3.662
Kelly Kraft,35,2017,1638045,0,27,72,11,3,0,70.5,291.9,60.1,63.1,1.781,42.7,3.306
Brandt Snedeker,43,2017,1625806,0,15,50,12,4,0,70,281.6,63.6,67.1,1.752,56.3,4.06
Danny Lee,33,2017,1611331,0,32,91,16,4,0,69.3,291.1,62.7,66.1,1.751,53.7,3.703
Graham DeLaet,42,2017,1603666,0,25,76,15,6,0,70.4,301.1,63.7,68.6,1.781,40,3.618
Robert Streb,36,2017,1588287,0,30,94,18,3,0,70.7,294.3,57.6,65.2,1.772,45.7,3.447
Emiliano Grillo,31,2017,1567015,0,25,87,20,2,0,70.9,293.3,65.4,67,1.784,53.3,3.632
Bud Cauley,34,2017,1553685,0,28,88,17,5,0,70.3,295.9,60.1,67.4,1.771,46.8,3.591
Rod Pampling,54,2017,1539422,0,22,71,13,1,1,72,287.8,60.8,64,1.817,47.8,3.099
Kevin Tway,35,2017,1472613,0,27,88,19,3,0,70.5,309.2,52.5,64.7,1.766,45.7,3.636
Grayson Murray,30,2017,1468729,0,30,91,17,2,1,70.3,308.2,56,64,1.746,51.6,3.846
Stewart Cink,50,2017,1463922,0,26,93,20,3,0,70.1,296.7,55.1,68.8,1.764,38.4,3.86
Jonas Blixt,39,2017,1408288,0,25,70,11,1,1,71.2,288.8,60.1,61.5,1.741,55.3,3.486
J.B. Holmes,41,2017,1353584,0,23,76,18,2,0,71.1,307.5,51.3,62.6,1.766,42.9,3.711
Patrick Rodgers,31,2017,1346322,0,27,75,11,3,0,70.5,306.3,52.9,65.8,1.822,39.8,3.253
Chad Campbell,49,2017,1329941,0,29,97,20,3,0,70.1,285.6,67.2,69.1,1.794,53,3.361
Scott Piercy,45,2017,1317452,0,22,67,14,4,0,71,295.9,59.7,66.7,1.771,38,4.06
Branden Grace,35,2017,1315054,0,20,63,15,2,0,71,292,58.5,66.4,1.813,50.5,3.206
Kevin Streelman,45,2017,1313327,0,26,89,19,2,0,70,294,66,66.7,1.791,49.7,3.404
Chris Stroud,42,2017,1308445,0,22,59,9,2,0,70.6,286.8,65.7,66.2,1.754,45.5,3.729
Cody Gribble,33,2017,1305554,0,28,78,11,2,1,70.5,297.2,54.8,62.7,1.747,49.6,3.59
Morgan Hoffmann,34,2017,1278568,0,29,88,16,1,0,70.9,293.9,60.4,63.6,1.77,54.4,3.466
C.T. Pan,32,2017,1267649,0,29,87,14,3,0,70.1,287.2,64.2,67.2,1.808,54.2,3.126
Ross Fisher,43,2017,1258083,0,10,30,7,3,0,71.2,0,0,0,0,0,3.433
Nick Taylor,35,2017,1255259,0,29,96,20,4,0,69.9,291.6,61.7,66.1,1.796,47.7,3.354
Byeong Hun An,32,2017,1236090,0,22,73,17,3,0,70.4,300.3,57.2,64,1.789,48.9,3.397
William McGirt,44,2017,1225005,0,28,84,16,3,0,70.3,285.2,70,67.2,1.797,46.8,3.19
Bubba Watson,45,2017,1223129,0,22,63,13,4,0,71.3,305.8,59.5,62.9,1.791,46.3,3.492
Chris Kirk,38,2017,1216047,0,28,84,16,3,0,70.1,287,63.9,66.7,1.74,51.3,3.643
Jim Herman,46,2017,1205632,0,25,76,13,2,0,69.9,292.5,69,68.1,1.792,37.6,3.421
Alex Noren,41,2017,1205516,0,11,36,9,3,0,71.6,0,0,0,0,0,3.083
Jason Kokrak,38,2017,1173709,0,28,95,20,1,0,71.1,306.4,59.3,66.8,1.806,36.8,3.653
Whee Kim,32,2017,1125368,0,27,73,11,2,0,69.8,290,55.4,62.6,1.745,53.3,3.411
J.J. Spaun,33,2017,1122611,0,29,88,17,3,0,69.1,291.5,65.1,67.1,1.784,45.5,3.42
Patton Kizzire,38,2017,1110395,0,28,76,12,2,0,71.3,293,52.5,63.5,1.766,50,3.592
Tyrrell Hatton,32,2017,1103224,0,13,37,8,3,0,69.4,0,0,0,0,0,3.081
Jimmy Walker,45,2017,1101162,0,21,65,14,1,0,71.5,295.7,56.6,59.7,1.771,57.9,3.4
S.Y. Noh,32,2017,1080706,0,31,88,15,3,0,69.9,298.5,53.1,65.6,1.764,61.9,3.602
David Lingmerth,36,2017,1070754,0,23,75,16,1,0,70.9,290.6,63.7,63.1,1.741,56.1,3.667
Michael Kim,30,2017,1018204,0,28,90,18,1,0,70.5,289.6,59.7,65.7,1.771,53.5,3.656
Steve Stricker,57,2017,1002036,0,13,44,10,2,0,70.8,0,0,0,0,0,3.227
Camilo Villegas,42,2017,971420,0,25,72,12,2,0,70.6,288.7,54.4,61.9,1.743,47,3.792
Ryan Blaum,40,2017,962768,0,29,96,21,2,0,70.5,284.1,60.9,65.3,1.759,50.7,3.646
Luke Donald,46,2017,958850,0,18,49,7,1,0,69.6,278.5,56.5,61.9,1.75,64.4,3.061
Scott Stallings,38,2017,955337,0,27,78,14,3,0,69.7,297.6,57,67.9,1.792,44.3,3.359
Brian Gay,52,2017,942372,0,25,78,14,3,0,70.3,278.7,65.5,63.5,1.748,54.2,3.372
Harold Varner III,33,2017,918779,0,31,100,19,1,0,70.1,302.4,59.6,67.7,1.799,48,3.54
Derek Fathauer,38,2017,898491,0,27,76,13,1,0,70.4,286.5,55.5,62.8,1.757,44.4,3.632
D.A. Points,47,2017,893700,0,22,68,12,1,1,71.3,278.1,65.8,66.8,1.779,47.5,3.353
Martin Kaymer,39,2017,892354,0,10,36,10,1,0,71.2,0,0,0,0,0,3.556
Richy Werenski,32,2017,890262,0,26,74,14,2,0,70.5,291.2,65.9,67.4,1.786,44.7,3.514
Robert Garrigus,46,2017,880905,0,26,74,12,2,0,69.3,300.7,59.5,68.6,1.764,48.5,3.892
Dominic Bozzelli,32,2017,868519,0,24,65,9,3,0,71.3,294.4,56.6,62,1.783,43.2,3.569
Geoff Ogilvy,46,2017,867249,0,25,72,13,1,0,71,286.5,62.6,65.5,1.804,57.5,3.139
Harris English,34,2017,864959,0,27,76,13,2,0,70.8,301.9,51.4,64,1.792,59,3.592
Brandon Hagy,32,2017,861227,0,26,77,15,1,0,70.6,312.7,52.5,64.5,1.787,54.7,3.662
Ben Martin,36,2017,850319,0,27,80,14,2,0,70.8,291.7,63.7,65.8,1.784,52.9,3.638
Shane Lowry,36,2017,831411,0,16,49,11,1,0,71.1,296.4,65.8,67.6,1.785,47.8,3.796
Martin Flores,42,2017,830057,0,27,81,16,2,0,70.4,300.6,52.8,70.6,1.79,50,3.37
Daniel Summerhays,40,2017,826124,0,29,95,19,1,0,70.5,287.1,63.7,63.4,1.774,49.1,3.305
Nick Watney,42,2017,824162,0,23,69,13,1,0,70.7,300.9,55.7,66.4,1.807,56.1,3.319
Blayne Barber,34,2017,823082,0,25,72,12,1,0,70.1,291.2,61.6,67.6,1.762,50.4,3.722
Hideto Tanihara,45,2017,816347,0,11,30,7,1,0,72.1,0,0,0,0,0,2.9
Tyrone Van Aswegen,42,2017,806410,0,32,97,18,1,0,70.8,287.2,59.8,66.4,1.793,60.8,3.433
David Hearn,44,2017,800710,0,29,85,15,2,0,70.9,281,66.8,64.7,1.794,55.3,3.282
Vaughn Taylor,48,2017,797385,0,26,85,18,0,0,69.8,282.4,68.3,66.7,1.759,55.8,3.647
Cameron Tringale,36,2017,792814,0,28,84,15,3,0,70.1,280.9,58.2,64.4,1.775,52.9,3.429
Zac Blair,33,2017,788352,0,32,100,20,1,0,69.9,272.7,69.7,64.7,1.778,56.3,3.26
Smylie Kaufman,31,2017,784758,0,26,72,11,1,0,70.2,304.8,54.8,65.3,1.767,48.7,3.597
Ryan Palmer,47,2017,772560,0,20,53,8,2,0,71.2,303.2,57.8,66.5,1.847,43.6,3.189
Bernd Wiesberger,38,2017,769314,0,10,34,9,0,0,71.7,0,0,0,0,0,2.941
John Huh,33,2017,767575,0,28,88,17,2,0,70.6,287.1,64.1,65.8,1.79,57.2,3.341
Trey Mullinax,31,2017,758141,0,28,83,15,1,0,69.7,309.6,54.6,67,1.758,53.5,3.795
Aaron Baddeley,43,2017,755356,0,20,57,10,2,0,71.4,292.6,52.2,62.6,1.755,58.4,3.491
Haotong Li,28,2017,751972,0,5,16,3,1,0,73,0,0,0,0,0,2.813
Rory Sabbatini,47,2017,741617,0,23,66,12,1,0,69.2,291.6,64.9,67.4,1.769,52,3.773
Greg Owen,52,2017,738711,0,17,42,6,1,0,69.4,0,0,0,0,0,3.595
J.J. Henry,48,2017,734874,0,29,86,16,2,0,70.9,294.1,62.6,69.4,1.822,40.3,2.977
Søren Kjeldsen,48,2017,722913,0,17,49,10,1,0,71.8,273.6,69.2,62,1.755,49,3.347
Billy Hurley III,41,2017,719579,0,25,80,15,1,0,71.1,276.9,60.6,63.6,1.772,43.5,3.575
Ricky Barnes,43,2017,697624,0,31,92,17,0,0,70.9,284.9,54.3,63.5,1.762,51,3.337
Chad Collins,45,2017,693743,0,26,63,6,2,0,70.2,281.4,59.3,60.9,1.779,53.2,3.079
Matt Fitzpatrick,29,2017,687437,0,12,38,9,0,0,71.7,0,0,0,0,0,3.5
Johnson Wagner,43,2017,685306,0,26,63,7,2,0,71.2,288.1,63.2,66.9,1.787,51.5,3.302
Sam Saunders,36,2017,678117,0,24,71,12,1,0,69.6,293.6,64.7,65.2,1.751,53.7,3.873
J.T. Poston,30,2017,662565,0,28,87,17,1,0,70.5,295.5,59.4,65.5,1.747,42,3.828
Séamus Power,37,2017,646181,0,25,81,18,1,0,69.2,298.1,53.3,65.6,1.761,55.7,3.691
Graeme McDowell,44,2017,639770,0,17,56,11,0,0,70.9,279.5,69.9,62.6,1.742,50.5,3.732
Cameron Percy,49,2017,623694,0,23,66,13,1,0,69.5,292.5,60.2,69.9,1.806,52.9,3.364
Ben Crane,48,2017,618483,0,26,79,16,1,0,70.8,278.5,68,65.7,1.778,54.5,3.329
Alex Cejka,53,2017,618171,0,28,78,14,1,0,71.2,282.1,67.2,65.6,1.808,46.6,3.051
Brian Stuard,41,2017,588806,0,31,87,15,0,0,71.4,272.6,71.3,63.3,1.771,46.4,3.345
Lee Westwood,50,2017,581199,0,10,34,9,0,0,72.3,0,0,0,0,0,3.059
Troy Merritt,38,2017,569682,0,28,76,11,1,0,71,290.2,61,64.8,1.778,52.4,3.513
Michael Thompson,38,2017,568991,0,21,57,8,1,0,69.8,284.8,61.7,63.7,1.788,58.2,3.053
Sebastián Muñoz,31,2017,563900,0,17,49,8,1,0,71.1,296,54.5,63.2,1.781,48.7,3.673
Jim Furyk,53,2017,558097,0,18,51,9,1,0,71.2,271.4,72.1,66.1,1.794,45.6,3.02
Rick Lamb,--,2017,524372,0,19,50,7,1,0,71.3,298,64.8,66.9,1.774,48.8,3.46
Jonathan Randolph,--,2017,511032,0,22,63,12,1,0,71.4,287.7,64.2,62.9,1.78,45.9,3.46
Matt Jones,43,2017,510622,0,20,56,10,0,0,70.6,302.6,57.1,63.1,1.778,57.1,3.554
Scott Hend,50,2017,501635,0,6,22,5,2,0,71.2,0,0,0,0,0,3.318
Henrik Norlander,36,2017,498914,0,5,18,4,1,0,69,0,0,0,0,0,4.111
Tag Ridings,49,2017,489927,0,20,59,13,1,0,70.5,301.6,58.2,65.9,1.761,47.3,3.729
Spencer Levin,39,2017,469730,0,31,86,13,1,0,70.2,279,67.8,65.6,1.8,47.9,3.035
Chris Wood,36,2017,456562,0,9,28,7,0,0,71.9,0,0,0,0,0,3.036
Kyle Reifers,40,2017,454570,0,32,88,14,0,0,71.3,286.1,65.1,66,1.817,48.7,2.898
Julián Etulain,35,2017,448214,0,22,63,12,1,0,70.9,293.5,63.3,66.8,1.785,42.9,3.429
Ryan Armour,48,2017,443006,0,20,59,10,1,0,70.5,278.8,72.7,70,1.799,37.3,3.339
Andres Gonzales,40,2017,422078,0,24,70,13,1,0,69.5,299.2,55.8,67.7,1.78,53.7,3.6
Boo Weekley,50,2017,416929,0,27,75,11,1,0,69.2,289.9,71.7,68.6,1.83,44.6,3.293
Retief Goosen,55,2017,414363,0,19,46,6,1,0,71.1,291.8,57.8,63.9,1.8,52.3,3.391
Tim Wilkinson,45,2017,411459,0,22,59,10,0,0,69.4,279.5,65.7,64,1.76,61.1,3.356
Shawn Stefani,42,2017,404377,0,26,70,10,1,0,69.6,294,60.5,66.5,1.793,45.7,3.243
Ryan Brehm,37,2017,396258,0,25,78,15,0,0,69.9,311.5,51.9,67.4,1.799,47.9,3.487
Tom Hoge,34,2017,373092,0,17,46,8,1,0,70.8,285.1,56,66.1,1.751,58.1,3.848
Roberto Castro,38,2017,367362,0,25,69,10,0,0,70.9,280.5,66.4,63.7,1.819,48.9,2.913
Curtis Luck,27,2017,362230,0,12,34,6,1,0,72.2,0,0,0,0,0,3.618
Andy Sullivan,36,2017,360639,0,7,22,6,0,0,72,0,0,0,0,0,3.182
Peter Malnati,36,2017,358541,0,29,86,16,0,0,70.1,282.3,63.1,62.5,1.753,53.1,3.453
Matt Every,40,2017,351412,0,30,71,7,0,0,71.4,297.7,48.4,60.2,1.751,41.3,3.592
Joel Dahmen,36,2017,344824,0,16,42,6,1,0,70.9,0,0,0,0,0,3.476
Greg Chalmers,50,2017,344631,0,28,72,9,0,0,70.6,278,59.8,59.9,1.757,50,3.236
Vijay Singh,61,2017,337305,0,18,48,6,0,0,71.9,0,0,0,0,0,3.208
Rafael Campos,35,2017,333979,0,4,14,3,2,0,69.7,0,0,0,0,0,4.429
Fabián Gómez,45,2017,332352,0,21,60,10,0,0,70,285.1,61.8,64.7,1.779,51.4,3.367
John Peterson,34,2017,329705,0,15,39,6,0,0,70.9,0,0,0,0,0,3.308
Jonathan Byrd,46,2017,328337,0,9,29,7,1,0,69.1,0,0,0,0,0,4
Ryo Ishikawa,32,2017,319748,0,20,56,8,1,0,71.6,288.8,51.9,63.3,1.777,48.9,3.286
Steve Wheatcroft,46,2017,309518,0,17,47,8,1,0,71.2,280.5,68.2,61,1.781,45.5,3.085
Jeunghun Wang,28,2017,307605,0,10,28,6,0,0,73.3,0,0,0,0,0,2.821
Andrew Johnston,--,2017,293233,0,13,38,7,1,0,72,0,0,0,0,0,3.211
K.J. Choi,53,2017,292716,0,25,66,10,0,0,71.2,282.2,66.2,63,1.777,51.1,3.152
Matthew Southgate,35,2017,281000,0,1,4,1,1,0,69,0,0,0,0,0,3.5
Joost Luiten,38,2017,279237,0,5,14,4,0,0,71,0,0,0,0,0,3.214
Hunter Mahan,41,2017,277235,0,26,71,10,0,0,71.5,294.5,63.4,64.6,1.802,55.2,3.141
Andrew Loupe,35,2017,273070,0,21,52,6,1,0,72.7,311.3,45.9,59.8,1.802,39.8,3.038
Peter Uihlein,34,2017,272529,0,7,23,5,1,0,70.9,0,0,0,0,0,3.478
Will MacKenzie,49,2017,272288,0,16,48,8,0,0,69.3,0,0,0,0,0,3.438
Brett Stegmaier,40,2017,271031,0,27,76,12,0,0,71.7,288.7,64.7,66.7,1.797,44.6,3.276
Mark Hubbard,34,2017,267968,0,27,74,12,0,0,71.3,282.7,60.4,65.4,1.811,50.4,3.041
Gonzalo Fernandez-Castaño,43,2017,258162,0,22,56,8,0,0,70.9,292.1,53.3,62.2,1.78,47.6,3.268
Thorbjørn Olesen,34,2017,257917,0,6,20,4,1,0,72,0,0,0,0,0,3.2
Davis Love III,59,2017,257270,0,13,35,6,1,0,70.9,0,0,0,0,0,3.486
Jordan Smith,31,2017,250000,0,1,4,1,1,0,70.8,0,0,0,0,0,3.5
Thongchai Jaidee,54,2017,246500,0,5,14,4,0,0,72,0,0,0,0,0,2.714
Brian Campbell,31,2017,237537,0,20,52,7,0,0,70,296,58.2,63.3,1.75,57.1,3.423
Kyung-tae Kim,37,2017,236208,0,5,16,5,0,0,73.6,0,0,0,0,0,2.375
Bill Lunde,48,2017,233984,0,8,18,2,1,0,71.3,0,0,0,0,0,3.5
Ken Duke,55,2017,225907,0,26,72,12,0,0,70.5,274.2,68.6,63.7,1.791,52,3.111
Rob Oppenheim,44,2017,224190,0,4,12,2,1,0,72,0,0,0,0,0,2.917
Yuta Ikeda,38,2017,222562,0,10,26,5,0,0,73,0,0,0,0,0,3.423
Steven Alker,52,2017,218681,0,23,64,11,0,0,69.9,276.9,67.5,65.2,1.781,51,3.375
Danny Willett,36,2017,217975,0,11,26,5,0,0,74.6,0,0,0,0,0,2
Bryce Molder,45,2017,216892,0,26,74,11,0,0,71.6,277,57.6,61.8,1.778,57.2,3.108
Angel Cabrera,54,2017,210479,0,16,33,3,1,0,72.5,0,0,0,0,0,2.879
Aaron Wise,27,2017,209488,0,6,20,4,1,0,70.7,0,0,0,0,0,3.45
Stuart Appleby,52,2017,206607,0,16,35,4,0,0,72,0,0,0,0,0,3.029
Andres Romero,42,2017,196518,0,10,32,6,0,0,70.6,0,0,0,0,0,3.875
Mark Anderson,38,2017,188806,0,20,52,6,1,0,71,283.8,60,65.6,1.796,51.3,3.308
Fabrizio Zanotti,40,2017,187870,0,6,17,3,0,0,71.8,0,0,0,0,0,2.412
Miguel Angel Carballo,44,2017,186623,0,22,58,8,0,0,70.4,288.1,63.6,64.9,1.802,45.5,3.207
Brett Drewitt,33,2017,184388,0,19,53,8,0,0,71.6,286.4,60.7,64.8,1.803,50,3.321
Hiroshi Iwata,43,2017,179133,0,10,25,2,1,0,71.7,0,0,0,0,0,3.24
Chan Kim,33,2017,175333,0,2,6,1,0,0,71.2,0,0,0,0,0,2.833
Nicholas Lindheim,39,2017,175107,0,21,56,9,0,0,71.5,287.1,56.2,65.7,1.772,53.9,3.536
Padraig Harrington,52,2017,171407,0,11,28,4,0,0,71.5,0,0,0,0,0,2.821
Brad Fritsch,46,2017,166440,0,18,52,9,0,0,71.5,288.3,56.4,64.2,1.8,48.2,3.596
Jason Bohn,50,2017,165910,0,28,72,9,0,0,70.8,275.9,63.7,63.1,1.814,39.6,2.722
Dicky Pride,54,2017,165022,0,7,20,4,0,0,69.7,0,0,0,0,0,3.3
Carl Pettersson,46,2017,164621,0,27,61,6,0,0,69.6,280.2,51.9,57.9,1.748,48,3.066
Richard Bland,51,2017,160000,0,2,8,2,0,0,70.8,0,0,0,0,0,4.125
Robby Shelton,28,2017,157512,0,8,26,5,0,0,71.6,0,0,0,0,0,3.615
Eddie Pepperell,33,2017,156809,0,1,4,1,0,0,70.8,0,0,0,0,0,4.5
Ernie Els,54,2017,155926,0,20,52,7,0,0,72.4,284.7,56.2,56.8,1.767,50,2.788
Richard Sterne,42,2017,154950,0,3,12,3,0,0,73.3,0,0,0,0,0,3.167
Young-han Song,--,2017,148800,0,4,14,3,0,0,72.2,0,0,0,0,0,2.929
Fred Couples,64,2017,148500,0,1,4,1,0,0,72.3,0,0,0,0,0,3.75
Keith Mitchell,32,2017,144900,0,1,4,1,0,0,69.5,0,0,0,0,0,3.25
Chase Koepka,30,2017,140225,0,2,2,0,1,0,74.5,0,0,0,0,0,2
Oscar Fraustro,41,2017,140000,0,1,4,1,0,0,67.8,0,0,0,0,0,5.25
Will Wilcox,37,2017,137567,0,14,30,4,0,0,70.9,0,0,0,0,0,3.633
Jason Gore,49,2017,133125,0,5,12,1,0,0,71.5,0,0,0,0,0,3.167
Satoshi Kodaira,34,2017,132814,0,4,16,4,0,0,71.1,0,0,0,0,0,3.5
Michael Putnam,40,2017,130984,0,6,21,4,0,0,70.8,0,0,0,0,0,3.667
Austin Connelly,--,2017,128917,0,1,4,1,0,0,69.5,0,0,0,0,0,3.75
Jon Curran,37,2017,128092,0,11,35,7,0,0,70.7,0,0,0,0,0,3.543
Brandon Stone,30,2017,127818,0,6,19,3,0,0,73.4,0,0,0,0,0,3
Marcus Fraser,45,2017,107245,0,3,12,3,0,0,72.8,0,0,0,0,0,3.083
Sam Brazel,45,2017,107000,0,2,8,2,0,0,71.6,0,0,0,0,0,3.375
John Senden,52,2017,104044,0,14,40,5,0,0,71.4,0,0,0,0,0,3.15
Mark Wilson,49,2017,100286,0,15,36,4,0,0,69.2,0,0,0,0,0,3.056
Steve Marino,44,2017,98573,0,15,38,4,0,0,69.4,0,0,0,0,0,3.421
Cam Davis,29,2017,98467,0,1,4,1,0,0,68,0,0,0,0,0,4
Rikard Karlberg,37,2017,93000,0,1,4,1,0,0,70.5,0,0,0,0,0,5
Richie Ramsay,40,2017,88000,0,2,6,1,0,0,71,0,0,0,0,0,2.667
Xinjun Zhang,36,2017,88000,0,1,4,1,0,0,70.8,0,0,0,0,0,4.5
Chesson Hadley,36,2017,82208,0,8,21,4,0,0,70,0,0,0,0,0,3.905
Ashun Wu,38,2017,80167,0,1,4,1,0,0,71,0,0,0,0,0,3.75
Miguel Tabuena,29,2017,77411,0,3,12,3,0,0,71.3,0,0,0,0,0,3.75
Beau Hossler,29,2017,77028,0,8,25,4,0,0,71.7,0,0,0,0,0,3.08
Bob Estes,58,2017,76930,0,15,37,3,0,0,71.8,0,0,0,0,0,2.757
Kramer Hickok,31,2017,75300,0,2,6,1,0,0,70,0,0,0,0,0,3.667
John Merrick,41,2017,74648,0,9,24,4,0,0,71.3,0,0,0,0,0,3.625
Shaun Norris,41,2017,69250,0,2,8,2,0,0,72.3,0,0,0,0,0,2.5
Tyler Aldridge,39,2017,67722,0,14,35,4,0,0,71.9,0,0,0,0,0,2.857
Y.E. Yang,52,2017,67091,0,9,22,3,0,0,70.7,0,0,0,0,0,3.455
Dean Burmester,34,2017,67000,0,1,4,1,0,0,71.8,0,0,0,0,0,4.75
Brett Coletta,27,2017,66410,0,3,9,1,0,0,72.4,0,0,0,0,0,3.556
Charlie Wi,52,2017,65613,0,6,12,2,0,0,70.6,0,0,0,0,0,3.667
Ryan Ruffels,25,2017,65572,0,7,16,2,0,0,73.6,0,0,0,0,0,3.125
David Drysdale,49,2017,64500,0,1,4,1,0,0,70.3,0,0,0,0,0,3
George Coetzee,37,2017,62000,0,2,6,1,0,0,73.2,0,0,0,0,0,3.167
Zecheng Dou,27,2017,62000,0,1,4,1,0,0,72,0,0,0,0,0,3.25
Freddie Jacobson,49,2017,61129,0,9,20,2,0,0,72.6,0,0,0,0,0,2.95
Matthew Griffin,40,2017,60106,0,3,10,2,0,0,75.6,0,0,0,0,0,1.9
Renato Paratore,27,2017,60000,0,1,4,1,0,0,71,0,0,0,0,0,3
Jerry Kelly,57,2017,59856,0,7,16,1,0,0,71.9,0,0,0,0,0,2.938
Jordan Niebrugge,30,2017,58637,0,2,6,1,0,0,72.3,0,0,0,0,0,3.167
Lee McCoy,30,2017,56667,0,3,12,3,0,0,70.4,0,0,0,0,0,3.583
Soo-min Lee,30,2017,56645,0,2,8,2,0,0,74.8,0,0,0,0,0,3.25
Bradley Dredge,50,2017,55000,0,2,6,1,0,0,72.8,0,0,0,0,0,2.833
WC Liang,45,2017,55000,0,1,4,1,0,0,72.5,0,0,0,0,0,3.75
Michael Johnson,--,2017,54768,0,2,6,1,0,0,70.2,0,0,0,0,0,4.5
Brendon de Jonge,43,2017,54273,0,14,30,2,0,0,72.3,0,0,0,0,0,3.2
Craig Barlow,51,2017,53426,0,3,7,2,0,0,72.3,0,0,0,0,0,2.857
Michael Hendry,44,2017,52000,0,2,6,1,0,0,72.8,0,0,0,0,0,3.333
Gregory Bourdy,41,2017,51500,0,2,6,1,0,0,73.3,0,0,0,0,0,3
Scott Langley,34,2017,49308,0,3,10,2,0,0,70.8,0,0,0,0,0,3.2
Alexander Levy,33,2017,47750,0,4,10,1,0,0,74.1,0,0,0,0,0,2.6
Jordan Zunic,--,2017,47750,0,1,4,1,0,0,73.5,0,0,0,0,0,3
Paul Lawrie,55,2017,47500,0,2,6,1,0,0,72.7,0,0,0,0,0,2.167
David Lipsky,35,2017,46625,0,2,6,1,0,0,72.8,0,0,0,0,0,3
Roberto Díaz,37,2017,45625,0,3,8,1,0,0,73.5,0,0,0,0,0,2.5
Laurie Canter,34,2017,45286,0,1,4,1,0,0,70.5,0,0,0,0,0,3
Jack Maguire,29,2017,44975,0,1,4,1,0,0,72.5,0,0,0,0,0,3
Matthew Millar,--,2017,44375,0,1,4,1,0,0,74.5,0,0,0,0,0,2.25
Pablo Larrazabal,40,2017,44250,0,3,8,1,0,0,74.5,0,0,0,0,0,2
Jacques Blaauw,38,2017,43000,0,1,4,1,0,0,75.3,0,0,0,0,0,2.5
Huilin Zhang,--,2017,42500,0,1,4,1,0,0,76.3,0,0,0,0,0,1.75
Nathan Holman,32,2017,42125,0,1,4,1,0,0,76.5,0,0,0,0,0,2.25
Arjun Atwal,50,2017,40799,0,6,14,2,0,0,71.1,0,0,0,0,0,3.643
Kurt Kitayama,31,2017,39257,0,2,6,1,0,0,69.2,0,0,0,0,0,5.167
Chase Seiffert,32,2017,38047,0,3,7,2,0,0,69.6,0,0,0,0,0,3.714
Zack Sucher,--,2017,35135,0,14,36,3,0,0,72,0,0,0,0,0,3.028
Bobby Wyatt,--,2017,33139,0,20,46,4,0,0,71,0,0,0,0,0,2.957
Robert Allenby,52,2017,32851,0,4,10,2,0,0,71.2,0,0,0,0,0,3.7
Charlie Danielson,30,2017,31302,0,3,6,1,0,0,72,0,0,0,0,0,2.833
Ted Potter Jr.,40,2017,31284,0,2,6,1,0,0,71,0,0,0,0,0,3.333
Andrew Dodt,--,2017,31070,0,1,4,1,0,0,70.8,0,0,0,0,0,2.25
Yikeun Chang,--,2017,31070,0,1,4,1,0,0,70.8,0,0,0,0,0,2.75
Tim Herron,54,2017,29857,0,8,18,2,0,0,72.1,0,0,0,0,0,3.5
Jonathan Garrick,--,2017,28490,0,2,8,2,0,0,71.3,0,0,0,0,0,2.875
Sam Horsfield,27,2017,27904,0,6,14,2,0,0,70.9,0,0,0,0,0,3.786
Larry Mize,65,2017,27720,0,1,4,1,0,0,76.3,0,0,0,0,0,0.75
Rich Berberian Jr.,--,2017,26284,0,7,16,2,0,0,73.4,0,0,0,0,0,2.625
Toby Tree,--,2017,25843,0,1,4,1,0,0,71,0,0,0,0,0,2.25
Wesley McClain,--,2017,25744,0,2,7,2,0,0,73.9,0,0,0,0,0,2.429
Thomas Aiken,40,2017,25026,0,1,4,1,0,0,74,0,0,0,0,0,2.75
Steven Bowditch,40,2017,24650,0,27,56,2,0,0,72.9,287.3,45.4,53.5,1.845,57.8,2.339
