NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Lucas Glover,44,2018,789382,324,18,61,15,1,0,71.2,297.7,65.1,67.1,1.809,51.6,3.475
Tyrone Van Aswegen,42,2018,763584,364,31,93,20,1,0,70.9,290.3,57,65.2,1.766,49,3.419
Corey Conners,32,2018,728296,353,28,93,20,1,0,70.4,303.3,63,70.2,1.797,44.3,3.71
Aaron Baddeley,43,2018,725928,342,27,78,15,1,0,70.7,295.3,53.3,63.4,1.782,57,3.333
Derek Fathauer,38,2018,708712,316,28,80,14,1,0,71.5,289.1,53.3,60.3,1.754,43.6,3.438
Robert Garrigus,46,2018,702030,353,27,76,13,1,0,70.9,307.9,56.4,65.3,1.785,43.2,3.763
Tom Lovelady,30,2018,700783,332,28,81,15,2,0,70.9,315.9,54.7,67.1,1.774,49.7,3.914
Shane Lowry,36,2018,696897,296,19,56,13,0,0,70.9,300.7,61.2,68.7,1.793,50.5,3.464
Jim Furyk,53,2018,660010,291,15,48,10,2,0,70.6,280.5,69.9,63.2,1.791,46.3,3.146
Johnson Wagner,43,2018,656322,338,21,69,16,0,0,69.9,286.1,64.2,67.9,1.754,52.7,3.652
Talor Gooch,32,2018,654200,308,27,72,12,0,0,71,298.9,57.3,63.6,1.777,51.5,3.403
Bill Haas,41,2018,638414,262,25,74,14,1,0,70.9,296.2,57.3,64.8,1.811,57.3,3.054
David Hearn,44,2018,622383,315,21,60,11,2,0,70.6,285.1,66.6,68.9,1.778,47.6,3.633
Ben Crane,48,2018,620646,267,21,59,11,1,0,70.6,281.1,67.5,64.9,1.762,66,3.407
David Lingmerth,36,2018,616758,274,26,78,16,0,0,70.7,285.4,68.9,63,1.738,48.4,3.795
Nicholas Lindheim,39,2018,593842,272,26,69,13,1,0,70.7,293.5,60.4,68,1.762,44,3.681
Steve Stricker,57,2018,582566,274,12,0,9,0,0,0,0,0,0,0,0,0
Graeme McDowell,44,2018,581024,274,20,59,13,1,0,71.1,293.2,64.9,64.5,1.796,47.4,3.339
Hudson Swafford,36,2018,569391,245,22,67,15,0,0,71,302.8,64.6,69,1.81,51.5,3.642
Chris Stroud,42,2018,565466,255,27,73,15,1,0,71.2,289.8,62.2,62.9,1.769,53.4,3.507
Michael Thompson,38,2018,563972,280,19,58,12,0,0,70.4,296.4,64.7,70.1,1.776,48.6,3.724
Retief Goosen,55,2018,545364,261,20,52,10,1,0,71.6,296.2,55.2,61.8,1.791,41.9,3.212
Matt Jones,43,2018,538681,264,23,62,11,0,0,70.7,304.5,59.4,66.5,1.765,51.4,3.629
Ben Martin,36,2018,532936,266,20,64,12,1,0,70.8,289.6,63.5,64,1.745,57.7,3.594
Shawn Stefani,42,2018,523204,268,25,74,12,1,0,70.7,299.6,56.5,67.5,1.78,47.5,3.635
Mackenzie Hughes,33,2018,518476,227,28,76,11,1,0,70.9,294.9,60,66,1.766,41.7,3.658
Denny McCarthy,31,2018,498341,267,22,63,13,1,0,70.3,295.4,63.5,68.2,1.777,46.2,3.492
Wesley Bryan,33,2018,498166,219,23,67,12,0,0,71.2,280.4,55.4,61.3,1.748,49.6,3.403
J.J. Henry,48,2018,482052,239,28,75,13,1,0,70.9,291.8,66.2,70.5,1.812,42.2,3.24
Adam Schenk,32,2018,474923,239,28,80,14,1,0,71,305.5,57.7,67.9,1.805,42.4,3.288
Hunter Mahan,41,2018,457337,234,21,63,12,1,0,70.5,296.9,65,69,1.757,41,3.825
Jonathan Randolph,--,2018,453328,166,25,65,11,1,0,71.6,289.4,62.2,60.4,1.789,54,3.169
Martin Flores,42,2018,449266,215,29,86,17,0,0,71.1,300,54.9,66.3,1.772,40.6,3.616
Fabián Gómez,45,2018,437032,221,28,84,16,0,0,70.6,291.1,65,67.9,1.78,43.2,3.393
Stephan Jaeger,34,2018,422260,211,26,75,14,0,0,70.9,299.2,58.8,67.1,1.79,47,3.44
Xinjun Zhang,36,2018,420377,195,28,75,12,1,0,71.1,298.7,65.3,67,1.802,49.2,3.547
Peter Malnati,36,2018,420001,226,28,83,15,0,0,70.5,290.9,56.9,63,1.723,56.7,3.735
Ross Fisher,43,2018,412954,119,13,0,9,0,0,0,0,0,0,0,0,0
Robert Streb,36,2018,411606,155,29,74,10,1,0,71.6,292.6,54.1,64.9,1.792,45,3.311
Blayne Barber,34,2018,398137,202,22,67,12,0,0,70.1,294.7,64.7,70,1.781,52.7,3.791
Dominic Bozzelli,32,2018,391634,190,20,65,12,0,0,70.8,297,55.7,60.9,1.75,44.8,3.569
Cameron Percy,49,2018,387612,191,16,50,11,2,0,70.1,295.6,63.7,69.6,1.76,54.8,3.76
D.A. Points,47,2018,377265,162,25,61,6,1,0,72.4,280.8,60.5,60.2,1.778,57.7,3.066
Jonas Blixt,39,2018,368518,167,23,61,10,0,0,71.9,293.1,60.3,62,1.8,52.1,3.148
Ethan Tracy,--,2018,364493,157,23,68,12,0,0,71.4,299,60.3,64.9,1.778,34.9,3.338
Lanto Griffin,35,2018,358380,175,26,74,13,0,0,70.6,302.5,55.3,67.4,1.772,50.4,3.77
Ricky Barnes,43,2018,340591,164,22,59,11,1,0,70.8,290.6,47.2,63.7,1.708,51.6,4.068
Zac Blair,33,2018,330507,176,20,58,11,0,0,70.5,279.5,62.8,66.5,1.758,61.6,3.586
Steve Wheatcroft,46,2018,309656,138,20,58,9,1,0,70.9,288.9,69.8,66.6,1.784,47.7,3.466
Brett Stegmaier,40,2018,305607,149,21,61,12,0,0,70.5,295.4,58.4,70.3,1.775,48.3,3.787
Cody Gribble,33,2018,302593,141,25,65,10,0,0,71.8,301,55.4,62.5,1.759,48.7,3.554
Matt Every,40,2018,299162,113,30,75,10,1,0,71.7,294.2,55.5,64.6,1.78,48.8,3.467
Nate Lashley,41,2018,296650,168,17,47,8,0,0,70.6,293.9,60.6,68.2,1.79,48.6,3.426
Greg Chalmers,50,2018,288023,133,20,52,7,1,0,72.4,282.8,58.9,56.9,1.747,50.4,3.173
Rob Oppenheim,44,2018,279019,148,26,68,11,0,0,71,285.2,56.3,64.1,1.769,60,3.471
Jonathan Byrd,46,2018,267055,147,24,62,11,0,0,70.7,291.7,58.6,68.2,1.779,57.6,3.484
Graham DeLaet,42,2018,251630,111,3,0,2,1,0,0,0,0,0,0,0,0
Roberto Díaz,37,2018,235635,107,25,68,11,0,0,71.3,286.3,63.2,63.7,1.794,50,3.176
Daniel Summerhays,40,2018,234510,89,19,45,6,1,0,72.5,287.1,54.7,56.8,1.737,52.4,3.222
Camilo Villegas,42,2018,229439,90,14,0,8,0,0,0,0,0,0,0,0,0
K.J. Choi,53,2018,219405,110,14,0,6,1,0,0,0,0,0,0,0,0
Tim Herron,54,2018,209216,87,12,0,4,0,0,0,0,0,0,0,0,0
Andres Romero,42,2018,206764,104,6,0,3,1,0,0,0,0,0,0,0,0
Smylie Kaufman,31,2018,201136,74,22,0,3,1,0,0,0,0,0,0,0,0
Conrad Shindler,35,2018,187399,92,20,56,9,0,0,70.6,291.3,65.8,66.3,1.781,48.1,3.411
Sangmoon Bae,37,2018,184057,71,17,0,5,0,0,0,0,0,0,0,0,0
Rod Pampling,54,2018,183806,64,20,58,11,0,0,72.1,288.4,63.7,62.6,1.792,43.2,3.172
Cameron Tringale,36,2018,179459,88,26,63,7,0,0,71.8,289.3,52,65.5,1.813,52.8,3.222
Stuart Appleby,52,2018,175235,84,12,0,5,0,0,0,0,0,0,0,0,0
Parker McLachlin,44,2018,174039,92,11,0,6,0,0,0,0,0,0,0,0,0
Morgan Hoffmann,34,2018,170673,81,9,0,3,0,0,0,0,0,0,0,0,0
Billy Hurley III,41,2018,145725,73,27,64,8,0,0,71.3,284,59.2,63,1.773,49,3.266
Bernhard Langer,66,2018,130200,57,2,0,2,0,0,0,0,0,0,0,0,0
John Merrick,41,2018,119407,79,11,0,3,0,0,0,0,0,0,0,0,0
Martin Kaymer,39,2018,115379,42,11,0,5,0,0,0,0,0,0,0,0,0
Brendon de Jonge,43,2018,110276,49,14,0,5,1,0,0,0,0,0,0,0,0
Jerry Kelly,57,2018,108500,54,3,0,1,0,0,0,0,0,0,0,0,0
Ernie Els,54,2018,102868,46,15,0,5,0,0,0,0,0,0,0,0,0
Davis Love III,59,2018,97920,45,12,0,5,0,0,0,0,0,0,0,0,0
Vijay Singh,61,2018,95334,24,10,0,5,0,0,0,0,0,0,0,0,0
Geoff Ogilvy,46,2018,93947,48,18,0,4,0,0,0,0,0,0,0,0,0
Padraig Harrington,52,2018,93260,29,16,0,7,0,0,0,0,0,0,0,0,0
George McNeill,48,2018,91100,42,10,0,4,0,0,0,0,0,0,0,0,0
Zecheng Dou,27,2018,90993,21,23,49,4,0,0,72.4,291.9,54.8,63.7,1.822,46.5,3.143
Matt Atkins,33,2018,89104,44,21,52,6,0,0,71.5,301.4,57.5,63.5,1.788,45.7,3.5
D.J. Trahan,43,2018,85595,46,8,0,4,0,0,0,0,0,0,0,0,0
Ken Duke,55,2018,82161,33,15,0,6,0,0,0,0,0,0,0,0,0
Luke Donald,46,2018,81989,42,9,0,3,0,0,0,0,0,0,0,0,0
Brandon Hagy,32,2018,76817,39,3,0,2,0,0,0,0,0,0,0,0,0
Steve Marino,44,2018,76616,36,6,0,3,0,0,0,0,0,0,0,0,0
Eric Axley,49,2018,69125,33,7,0,4,0,0,0,0,0,0,0,0,0
John Senden,52,2018,68604,25,7,0,4,0,0,0,0,0,0,0,0,0
Brian Davis,49,2018,60851,20,12,0,5,0,0,0,0,0,0,0,0,0
Jim Herman,46,2018,46962,13,9,0,3,0,0,0,0,0,0,0,0,0
Fred Couples,64,2018,46200,18,1,0,1,0,0,0,0,0,0,0,0,0
S.Y. Noh,32,2018,44516,19,1,0,1,0,0,0,0,0,0,0,0,0
Jason Bohn,50,2018,43620,27,9,0,2,0,0,0,0,0,0,0,0,0
Colt Knost,38,2018,43134,13,10,0,3,0,0,0,0,0,0,0,0,0
Dicky Pride,54,2018,42810,30,11,0,3,0,0,0,0,0,0,0,0,0
Andrew Yun,--,2018,41566,16,22,45,3,0,0,73,290.6,53.6,61.9,1.808,34.3,3.133
Tommy Gainey,48,2018,39508,26,10,0,2,0,0,0,0,0,0,0,0,0
Troy Matteson,44,2018,39000,28,7,0,1,0,0,0,0,0,0,0,0,0
Heath Slocum,50,2018,37814,24,5,0,2,0,0,0,0,0,0,0,0,0
Mark Wilson,49,2018,33348,9,11,0,3,0,0,0,0,0,0,0,0,0
Kyle Thompson,44,2018,24878,10,22,46,2,0,0,72,285.3,63,62.4,1.797,51.3,3.261
Andrew Johnston,--,2018,24448,5,2,0,1,0,0,0,0,0,0,0,0,0
Charlie Beljan,39,2018,21344,7,9,0,2,0,0,0,0,0,0,0,0,0
Omar Uresti,55,2018,21278,6,10,0,3,0,0,0,0,0,0,0,0,0
Angel Cabrera,54,2018,20353,11,5,0,1,0,0,0,0,0,0,0,0,0
Derek Ernst,33,2018,20353,11,3,0,1,0,0,0,0,0,0,0,0,0
Robert Allenby,52,2018,19970,4,8,0,2,0,0,0,0,0,0,0,0,0
Kris Blanks,51,2018,18998,6,6,0,2,0,0,0,0,0,0,0,0,0
John Daly,57,2018,18362,5,7,0,2,0,0,0,0,0,0,0,0,0
Paul Goydos,59,2018,18067,3,1,0,1,0,0,0,0,0,0,0,0,0
John Rollins,48,2018,15598,4,9,0,2,0,0,0,0,0,0,0,0,0
Bob Estes,58,2018,15431,7,8,0,1,0,0,0,0,0,0,0,0,0
Rick Lamb,--,2018,14136,6,10,0,1,0,0,0,0,0,0,0,0,0
Chris Couch,50,2018,13000,3,5,0,1,0,0,0,0,0,0,0,0,0
Cameron Beckman,54,2018,12694,4,6,0,2,0,0,0,0,0,0,0,0,0
Arjun Atwal,50,2018,12006,4,6,0,1,0,0,0,0,0,0,0,0,0
Charlie Wi,52,2018,10878,7,6,0,1,0,0,0,0,0,0,0,0,0
Daniel Chopra,50,2018,8784,6,6,0,1,0,0,0,0,0,0,0,0,0
Jay Don Blake,65,2018,7595,3,1,0,1,0,0,0,0,0,0,0,0,0
Michael Bradley,57,2018,7595,3,1,0,1,0,0,0,0,0,0,0,0,0
Olin Browne,64,2018,7385,3,1,0,1,0,0,0,0,0,0,0,0,0
Jonathan Kaye,53,2018,7004,2,3,0,1,0,0,0,0,0,0,0,0,0
Neal Lancaster,61,2018,6930,2,1,0,1,0,0,0,0,0,0,0,0,0
Shaun Micheel,55,2018,6930,2,4,0,1,0,0,0,0,0,0,0,0,0
Mike Weir,53,2018,5760,2,6,0,1,0,0,0,0,0,0,0,0,0
Trevor Immelman,44,2018,5520,1,2,0,1,0,0,0,0,0,0,0,0,0
Mark Hensby,51,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jamie Donaldson,48,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jay McLuen,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eddie Olson,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tayler Termeer,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nordin Van Tilburg,--,2018,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Do Yeon Kim,--,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sophia Schubert,28,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sophia Schubert,--,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Tomas Melo Gouveia,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Robin Williams,22,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Julianne Alvarez,--,2018,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Wenyung Keh,--,2018,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Rose Zhang,20,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ji Young Kim,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ji-Hyun2 Kim,32,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Solar Lee,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ho-Yu An,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ching Huang,--,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gyu Min Lee,--,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Justin Thomas,30,2017,9921560,3000,25,79,18,12,5,69.4,309.7,55.1,67.2,1.694,48.2,4.481
Jordan Spieth,30,2017,9433033,2340,23,78,19,12,3,68.9,295.6,60,70,1.711,55.8,4.487
Dustin Johnson,39,2017,8732193,1720,20,70,17,8,4,69.6,315,57,69.5,1.755,44.3,3.986
Hideki Matsuyama,32,2017,8380570,1093,22,76,19,7,3,69.7,303.3,58.6,69,1.739,50.9,4.289
Jon Rahm,29,2017,6123248,1620,23,83,21,11,1,69.6,305.8,58.7,68.6,1.761,59.1,4.108
Rickie Fowler,35,2017,6083198,1253,21,77,18,10,1,68.7,300.3,63.9,67,1.721,68.7,4.221
Marc Leishman,40,2017,5866391,1441,25,90,22,7,2,69.7,298.6,57.9,67,1.759,53,3.811
Brooks Koepka,33,2017,5612397,1040,24,80,19,7,1,70.3,311.1,55.8,63.5,1.721,48.2,4.2
Kevin Kisner,40,2017,4766936,901,28,98,24,8,1,70.3,289.5,67.8,66.4,1.785,52.1,3.602
Brian Harman,37,2017,4396470,364,30,100,21,7,1,70.3,289.9,62.8,63.8,1.738,58.7,3.67
Pat Perez,48,2017,4361401,596,26,91,22,6,1,69.5,290.9,62,66.2,1.754,54.5,3.681
Xander Schauffele,30,2017,4312674,2151,28,92,18,4,2,70.1,306.8,58.8,68,1.758,53.9,3.859
Daniel Berger,30,2017,4287161,556,26,87,20,5,1,69.3,296.9,60,66.7,1.755,43.2,3.805
Matt Kuchar,45,2017,4282489,648,26,92,22,9,0,70,285.4,65.9,66.7,1.77,57.6,3.62
Justin Rose,43,2017,4245308,1080,18,65,15,8,0,68.8,300.9,58.3,68.1,1.77,55.9,4.031
Charley Hoffman,47,2017,4161008,473,31,108,23,6,0,70.4,298.7,58.6,66.6,1.757,53.1,3.917
Paul Casey,46,2017,3906974,920,24,90,23,9,0,69.7,297.5,64.1,70.1,1.763,39.2,3.867
Sergio Garcia,44,2017,3522476,441,17,62,16,3,1,69.9,301.9,62.3,69.6,1.781,53.1,3.661
Adam Hadwin,36,2017,3455012,362,28,98,21,5,1,70.6,291.3,63.2,65.1,1.753,61.1,3.633
Russell Henley,34,2017,3413876,792,27,98,22,5,1,69.4,298,63.7,67.8,1.754,46.1,3.806
Kyle Stanley,36,2017,3402106,366,29,100,22,5,1,69.9,296.5,68.6,70.4,1.776,47.7,3.8
Jason Dufner,46,2017,3310341,287,24,82,20,2,1,70.4,294.6,63.8,67.2,1.764,42.1,3.78
Webb Simpson,38,2017,3209646,527,28,99,23,6,0,70,286.5,66.3,65.5,1.763,61.5,3.677
Kevin Chappell,37,2017,3149615,352,27,91,21,5,1,70.2,305,58.8,65.2,1.779,42.8,3.648
